"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",2.04554659318906,1.07710961845464,0.392943113518682,0.233135087076753,0.277504870994825,0.582602867101725,1.0449541262883,1.0130747212954,0.65598789937066,0.478138504272338,0.440236101599197,0.403942383415708,0.350720036556235,0.309300093235403,0.250248040030888,0.159690523565377,0.0829890048927418
"[5,10)",1.023605295326,4.4711914651476,1.75989619458118,0.459484783319542,0.285435454660406,0.358328712778238,0.616831286567315,0.776472615433474,0.588456685514625,0.379679034277204,0.321357941757116,0.343459707100433,0.367213431453891,0.375655568732935,0.343984199200739,0.251726417737134,0.156240015320563
"[10,15)",0.339903507013326,1.60191842251448,6.36737763441703,1.87196434473384,0.527551531149885,0.359126726340564,0.407298113069637,0.527836868194811,0.534464596057643,0.381004945525854,0.242434800814748,0.192117380549769,0.194414566259257,0.204237822843723,0.188340534910762,0.141753004338633,0.100463554393637
"[15,20)",0.172429278164422,0.357603601157822,1.60057112908627,5.23491311344655,1.66827511095057,0.639052833486898,0.482622264061584,0.472339764574078,0.520245377207945,0.503351559940097,0.351085178099881,0.203517574858161,0.147978919324704,0.147190793831812,0.146681443942452,0.11976716247131,0.0975277100240299
"[20,25)",0.167354211658454,0.181134565165173,0.367794270963874,1.36028633846137,2.98459699218263,1.12749545973839,0.610642072840763,0.470481361048994,0.434116987714444,0.48418202357958,0.476513345952971,0.319864722022519,0.18428992913725,0.142111004289,0.142710089205501,0.128500352550624,0.109460107437638
"[25,30)",0.284379295504631,0.184049374618704,0.202650238694688,0.421753554376839,0.912586673423317,1.38282268455922,0.694013924671311,0.4442429211067,0.352207530610663,0.350968492039109,0.417757675825325,0.406748919093357,0.274942690452826,0.16695233353488,0.126828609953735,0.107589408458975,0.0906854582646517
"[30,35)",0.417784041048109,0.259506592365867,0.188252631469561,0.260890703486782,0.404832442687595,0.568456777571139,0.78045296067516,0.468190239016883,0.326131279017669,0.284272943639131,0.300965152246565,0.3470260621326,0.330541636856949,0.22633381514157,0.130596997796325,0.0803867978023885,0.0619142625180927
"[35,40)",0.329656965317976,0.265873040082959,0.198561267067795,0.207812619389357,0.25386168868202,0.296152864267112,0.381055743241648,0.546218223441956,0.349358970591309,0.26152500266815,0.23439528460642,0.234217520510713,0.260821223238621,0.25122900651205,0.165291522034636,0.0785872729967154,0.042969206521115
"[40,45)",0.170562022073527,0.161000931705849,0.160649539990714,0.182890592873621,0.18716612668832,0.187611643881671,0.212092025860352,0.27914999824547,0.377520974718127,0.243968078650999,0.185372647387952,0.158797067263682,0.158131382119831,0.183418978811334,0.170940381382939,0.0925647622355826,0.0354745217910136
"[45,50)",0.0984891567416355,0.0822959943187247,0.0907275847774414,0.140185388448031,0.165377844024837,0.148107644056949,0.146458845365927,0.165549219673106,0.193277455087725,0.248328899950166,0.167317766069079,0.127013173145939,0.11193043262818,0.115835616765111,0.125806172593245,0.0947790537560119,0.0407475999557962
"[50,55)",0.0717869624167723,0.055141216153396,0.045701338638479,0.0774050059170283,0.128845411223652,0.139559371472236,0.122750003993317,0.117459464356412,0.116256988135706,0.132454671559342,0.201365347640036,0.144552115878788,0.111308411801456,0.098586841971491,0.0940139848331197,0.0852573440706032,0.059098351785028
"[55,60)",0.0519986813631263,0.0465238966435719,0.0285899634318044,0.0354218676320427,0.0682768089569726,0.107268932294254,0.111732721697061,0.092655564928962,0.0786192463680278,0.0793755911026872,0.114113607974748,0.19222942275158,0.134942995107854,0.105307153207659,0.0926706634755172,0.0803941291844974,0.0741946755575896
"[60,65)",0.035050649376301,0.0386172575664817,0.0224614778890401,0.0199954863622389,0.0305401424234313,0.0562927301923985,0.0826241572984757,0.080104634011724,0.0607808892542597,0.0543061447268333,0.0682187180203233,0.104764206794079,0.154636448861748,0.114144660477374,0.0959292554663903,0.0748819100053554,0.0580415689678165
"[65,70)",0.0226984901521874,0.0290090916710273,0.0173271497098404,0.0146047523348046,0.0172933285234707,0.0251005973041683,0.0415443283429297,0.0566586108541318,0.0517695848594235,0.0412690369187253,0.0443686230732214,0.0600346364108843,0.0838179488776943,0.129792771780883,0.0988714201835799,0.0600570673397376,0.0351418859613246
"[70,75)",0.0120035210200074,0.0173621636986998,0.0104437341616479,0.00951283095296221,0.0113508037365899,0.0124632081623801,0.0156681075815783,0.0243650761886206,0.0315352394765586,0.0292957905620897,0.0276547992656486,0.0345308555020074,0.0460419337571043,0.0646237009255845,0.100387039801897,0.050005818538246,0.0259690073161679
"[75,80)",0.00430157156764465,0.00713516768159211,0.0044142234825779,0.00436196723009056,0.00573966164808445,0.00593734344495403,0.00541599326946707,0.00650548154806104,0.00958974789661702,0.0123944048044818,0.0140838011468934,0.016822844734602,0.0201831724416529,0.0220442440453379,0.0280821643099194,0.0338762759238542,0.0163547286640985
"[80,Inf)",0.00143823124437991,0.00284923201239135,0.00201275418364722,0.00228524527265422,0.00314556016616828,0.00321973743960317,0.00268376352014702,0.00228846733878226,0.00236449393321101,0.00342827376690972,0.00628092500611542,0.00998867758956614,0.010064954480423,0.0082988192982937,0.00938265047721817,0.0105221259817141,0.00336504329460009
