"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",2.00057159414205,1.11730944962923,0.386202062934196,0.242065641282786,0.336548586383009,0.650556931726395,0.945512022006439,0.818396376245621,0.5283724425371,0.393003563953992,0.362304497344387,0.343017307712062,0.290413997456353,0.220787093753875,0.161539624343205,0.111136252313703,0.0658808024814698
"[5,10)",0.958884521450007,6.51656867747494,1.28636909370398,0.298193624353019,0.219839677306895,0.364604345841057,0.67328298859873,0.824707887955527,0.619153832148064,0.418413164296887,0.34411041670567,0.29893066204101,0.266042573555318,0.236298440596998,0.192326184010088,0.139041316854026,0.0891986025273446
"[10,15)",0.291174427481772,1.14313642567102,9.47177754845347,1.22026658730015,0.306172831763685,0.256490913529005,0.381937978880663,0.592644246000052,0.643789928294772,0.480567221220279,0.338044116724552,0.235370657310112,0.167239679151556,0.150166165154235,0.134238532319114,0.102939039600782,0.0684296712096382
"[15,20)",0.199142163980586,0.287233598915218,1.32702072284595,8.16486020320146,1.1939377092386,0.474865993584211,0.396970762332305,0.474866368574176,0.637249096930846,0.675409266547913,0.495553240551181,0.284835957734058,0.162058890234532,0.128259432171669,0.124348835483327,0.109077752720038,0.08108031307896
"[20,25)",0.429351986672325,0.328381436431347,0.51807628884714,1.83828800022461,4.80960513248184,1.73928453986213,0.989770484663537,0.805411732546374,0.849069449771213,1.04552635036225,1.0544317906495,0.698808274683342,0.359977809456144,0.223624973011418,0.198296542468782,0.188068531892818,0.162396204142304
"[25,30)",1.43995480463621,0.944913834901423,0.753003328667328,1.27762838055623,3.0148679948104,4.77422012506306,2.82355717725647,1.81644917016661,1.5056553817116,1.56400586222172,1.77738091939904,1.61970703723158,1.01115144586112,0.542558515003285,0.373085244175664,0.325794011375824,0.311250694581407
"[30,35)",2.8501144568117,2.37629142986077,1.52703661462369,1.45453339001475,2.3386435813445,3.84502568171035,5.2577541903587,3.47168684306351,2.35823117453851,2.04041237621335,2.03735672135695,2.10413447043549,1.83183153372507,1.15503643188358,0.644977570066081,0.430887337839128,0.40949626515109
"[35,40)",2.45984271640624,2.90235548201617,2.36264826974704,1.7349420853807,1.89756161650878,2.46662618851426,3.46169960173757,4.62121089911366,3.19171143719366,2.30317579935892,1.94616552227693,1.75926629052232,1.74129561246518,1.55743585754566,1.00052264205979,0.532052652201197,0.408176605044622
"[40,45)",1.27137477199375,1.74437080835275,2.05465527694404,1.86385699319038,1.60144098677469,1.63679940651176,1.88245481722414,2.55515308923279,3.31403643211545,2.39337754635137,1.69431222595421,1.26169256847107,1.06580964188716,1.13394548695213,1.06091745749835,0.643141766922067,0.386071778401915
"[45,50)",0.644145435382877,0.802970516484976,1.04472731262513,1.34562605521062,1.34324960499716,1.15814321916365,1.10945616565646,1.25594578299573,1.63030333860961,2.10167388732864,1.50575694526359,0.920609696153245,0.624229854992808,0.570150546961527,0.655614567263277,0.58963294036672,0.382050227037521
"[50,55)",0.352967261801729,0.392523203525971,0.436812886208851,0.586841676838688,0.805218021038981,0.782307802558795,0.658464751190057,0.63080747929507,0.685994628017721,0.895019553138352,1.20966454380716,0.783322533155487,0.436803872707737,0.318111123301832,0.315489083683991,0.360578227366768,0.340001137039156
"[55,60)",0.169054196661472,0.172499245826823,0.153859246650686,0.170637572566469,0.269961762729083,0.360647427670758,0.344023545754223,0.288468145362549,0.258422329325378,0.276820355679334,0.396272553257832,0.563566420376731,0.34349688897824,0.203831033037454,0.166203364713358,0.167374575912841,0.20318575053448
"[60,65)",0.0646970263064384,0.0693944486083929,0.0494159853355323,0.0438843392156775,0.0628603505356458,0.10176991910682,0.135380794871694,0.129061182271422,0.0986763300208575,0.084844533416303,0.099883224492223,0.15526864619217,0.232394217005566,0.148369346357986,0.0978550046296246,0.0756631419740753,0.0761858804877335
"[65,70)",0.0235498639365683,0.029510895572122,0.0212445809308694,0.0166292996999789,0.0186968874842391,0.0261455481014344,0.0408709898915633,0.0552689542814671,0.0502659003116276,0.037103665831621,0.034828347888496,0.0441138642620788,0.0710386964917312,0.117533510621741,0.0785443710082287,0.0413790255040626,0.0266533367909833
"[70,75)",0.00899028677340123,0.0125325574918553,0.00990907306686915,0.0084121329353922,0.00865055381684162,0.00938078098722833,0.0119081375475494,0.0185258334998747,0.0245381965978568,0.0222615616288037,0.0180226277422129,0.0187682753236818,0.0244461652777551,0.0409822183974497,0.0674806264842373,0.0344383796849204,0.0149589061399729
"[75,80)",0.00322786157511136,0.00472835244687623,0.00396552439126585,0.00385092680736168,0.00428163441630738,0.00427502539375782,0.00415171602641806,0.00514126660912807,0.00776305097921033,0.0104484879780468,0.0107497398188057,0.00986367425987723,0.0098645380296972,0.0112674254575992,0.0179724628963517,0.0253715645048624,0.0108831169452636
"[80,Inf)",0.0014889288490781,0.00236036914477157,0.00205126078060103,0.0022274112523529,0.00287690308481671,0.0031780581608333,0.00307022188733274,0.00306916001853953,0.00362618276690163,0.00526802808346576,0.00788741574025877,0.00931747828493915,0.00772899062603673,0.00564744398283437,0.00607463831177496,0.00846855293937977,0.00690711888968239
