"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.89698413796774,0.362425476178215,0.059889070667702,0.029824157124721,0.0387598692449561,0.063946353783751,0.082122930312116,0.0828398213826687,0.0798964550075693,0.0744787835071014,0.0587788717989809,0.0358698309194633,0.0159480230369076,0.00481923572231254,0.00110062418883055,0.000335774560583235,0.00194790399493725
"[5,10)",0.358481789465785,4.68781701229645,0.416759480086002,0.038658194484771,0.045011739758247,0.0946659797181967,0.153803297247465,0.156215470797297,0.143700779106221,0.156814330650262,0.153248557742504,0.0944570697939148,0.0392063972721931,0.015623380437172,0.0068984736625942,0.00337233214154018,0.00404783825824852
"[10,15)",0.058505368100082,0.412882282459846,7.15073677040241,0.488189894723725,0.0699010904197065,0.0756187296365938,0.1309736731859,0.169019589147427,0.161894761292137,0.169219769253784,0.181637627990844,0.11854414276871,0.0392221721146516,0.0112611686932556,0.00552266903479829,0.00425102620302228,0.00265951019603502
"[15,20)",0.029631661353217,0.0388698484046746,0.495413608448885,5.86011172329799,0.35199348413134,0.0787145156036151,0.0719051385340391,0.10336618659076,0.12683312009742,0.129951520120379,0.119356602653649,0.0747306312611806,0.0231669946607471,0.0047677909360572,0.00154784246963026,0.00134764362811628,0.00125308053761423
"[20,25)",0.0404976281197762,0.0475944750715564,0.074762375652162,0.368778288951103,1.83620737806365,0.22157406011133,0.0669027729788653,0.0530473612115729,0.0727941530982575,0.0919473927611895,0.0781019332136087,0.0406765661757113,0.0122250575464156,0.00255690633860862,0.000626397537765346,0.000400360260490947,0.000550048624577358
"[25,30)",0.0700904639059279,0.105007553311845,0.0848446345299116,0.0868380680072027,0.232264722148965,0.519547231891012,0.144385575368852,0.0438115440240989,0.0344830853807301,0.0512308495084229,0.0583914073089497,0.032997057669206,0.00977874235160868,0.00235936992436195,0.00065487323788852,0.000310002646715731,0.00025947804913345
"[30,35)",0.0927755140434092,0.175840145775967,0.151462387113558,0.081760028884813,0.0723378781793538,0.14879618823803,0.274827429657444,0.0911550219958306,0.0307258754899955,0.0306032810930641,0.0485949593610379,0.0443849941468203,0.0168197276160898,0.00412657176651424,0.0011479003000851,0.00045747127651734,0.00015831473655698
"[35,40)",0.0955955687051354,0.182434137029238,0.199658363393623,0.120057495368506,0.0585888681116036,0.0461258113081169,0.0931083449095224,0.155623636185317,0.0637507181178276,0.0337049595064831,0.0423714634362677,0.0549107431361402,0.0315862360540432,0.00841204452053776,0.00185032764914702,0.000594978858191954,0.000149454507815308
"[40,45)",0.0949234455534028,0.172778048263044,0.196893163709126,0.151666909418685,0.0827742390203794,0.0373773883513811,0.0323133004171537,0.0656316038211753,0.101118573564999,0.0642630193784934,0.044843559334001,0.0417352433272309,0.0285333000996625,0.0100659728648035,0.00230830457948031,0.000690700070853645,0.000218512944153291
"[45,50)",0.0915137876387846,0.194994859257787,0.212841794762393,0.160711700789217,0.108129971957346,0.0574304692923315,0.033285341384827,0.0358879919166921,0.0664599811288316,0.0991236593642019,0.0689638720312042,0.0316139868176604,0.014345299045784,0.00671020089071802,0.00278425449898887,0.00130286793740427,0.000586767077454552
"[50,55)",0.0727105051896296,0.191847334419959,0.230003050336839,0.148605383148533,0.0924677766386907,0.0658994378989277,0.053210606312832,0.0454203809888655,0.0466906595260711,0.0694292056805866,0.0865954972636808,0.0420963671746072,0.0114441693711241,0.00481582263211403,0.00366103515114465,0.00329931341871895,0.00184284541138935
"[55,60)",0.0421095171653407,0.112219636714104,0.142456703532823,0.0883002148051601,0.0457033391214625,0.0353413389810565,0.0461230658188978,0.0558611209240226,0.0412389784210078,0.030204819444472,0.0399506605313899,0.0495060758416436,0.0219976382942839,0.00671451366066209,0.00390389687429954,0.00418552730749534,0.00334221842901347
"[60,65)",0.0167406811488894,0.0416491999995837,0.0421453601365505,0.0244764340425333,0.0122820227578037,0.00936496428763997,0.0156284640085659,0.0287319789544261,0.0252099677847234,0.0122552428134087,0.00971123873924607,0.019669709281021,0.034358977649928,0.015097119537248,0.00369439763604293,0.00218492402404458,0.00335233364642783
"[65,70)",0.0043232233668759,0.0141836488509197,0.0103410545099545,0.00430485855135824,0.00219531598843798,0.00193100054332739,0.00327680030909572,0.00653931804956963,0.00760044948415623,0.00489904097135908,0.00349240074787843,0.00513089508979375,0.0129021498864026,0.0196072807164978,0.00547697972788139,0.00153467723083519,0.0024369662667804
"[70,75)",0.00082238159122506,0.00521639890159801,0.00422410983486523,0.0011640543621376,0.00044795778049419,0.000446424911785106,0.000759223364221328,0.00119807597140555,0.00145171530790852,0.00169312608610846,0.0022113745624527,0.00248474446322219,0.00262973323011241,0.00456192544007115,0.00555113955250115,0.00209578783938874,0.000864320456795342
"[75,80)",0.000214163231816991,0.00217676187090086,0.00277550978150037,0.000865135955201482,0.000244399774526215,0.000180392873214915,0.000258280739760227,0.000328851667989575,0.00037080078019459,0.000676306502318068,0.00170115850087144,0.00227403094358908,0.00132759984201189,0.00109115052750377,0.00178900155971907,0.000654860503420265,6.62710930594663e-05
"[80,Inf)",0.00191328212710253,0.00402363034103355,0.00267402204753429,0.00123880408289213,0.000517088958855517,0.000232524619289597,0.000137646089288686,0.000127210183056071,0.000180651948862771,0.000469054436977588,0.0014632699560929,0.00279637469627941,0.00313684046641272,0.00266828047663288,0.00113619253446374,0.000102055992804164,6.63288252873025e-08
