"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.839103461677894,0.329135486892564,0.0497756659567776,0.0247378452059281,0.0323052627767203,0.0532029915875813,0.0681202241522576,0.068688292581939,0.0662593768486227,0.0617933413070682,0.0487077930454921,0.0295905005216062,0.0131067899040835,0.00397233218113383,0.000916211645554275,0.0002800322353285,0.00114937812567975
"[5,10)",0.322738745584274,4.64758988245539,0.39701642124952,0.0317084584504168,0.0372023545914152,0.0782437739888837,0.126478932598227,0.128299511261815,0.118034466643909,0.128730215710227,0.125787886696165,0.0771017568775304,0.0319402553882676,0.0127891592278637,0.00567649088298475,0.00278216731030442,0.00285525721396674
"[10,15)",0.0469730115299531,0.385361599016219,7.09160982456572,0.451043039647265,0.0557078814728739,0.0608392348171751,0.105234402059166,0.135462923097217,0.129737365848168,0.135507460718495,0.14553610133642,0.0943823449985616,0.031088483408215,0.00899862909639269,0.00443894844292504,0.00341730653788528,0.00229723611688507
"[15,20)",0.0239512570447619,0.0313641340582124,0.461499305560614,5.75498536081728,0.30064978337939,0.063458072347626,0.0580733057437003,0.0833312558605284,0.102290267905174,0.104899391576502,0.0962288390456085,0.05984174120273,0.0184338647807303,0.00381846054307176,0.00124737947871534,0.00108137567565365,0.00111375214338683
"[20,25)",0.0360627296642736,0.042427503204469,0.0658977575108513,0.342637097098187,1.75320962034241,0.197488629534423,0.0593239622189372,0.0467375007871851,0.0639122439234759,0.0810576921021798,0.0689177463040666,0.0356033925836781,0.0106404874986493,0.00224220701367601,0.000554473446724912,0.000351670590235858,0.000514945772395105
"[25,30)",0.0700630886820866,0.10526760554845,0.0848995999213902,0.0863124923169196,0.232299059979844,0.515356743751376,0.144084663420623,0.0437294555954843,0.0341558567655403,0.0506716696748401,0.058053448712415,0.0326518314457372,0.00963945131732423,0.00234220390573474,0.000656812738564715,0.000310641049796045,0.00027601888688023
"[30,35)",0.0993936643732035,0.188535247032342,0.162708052250472,0.0875170637060609,0.0775402978964093,0.15957342617861,0.290822535490372,0.0978267928746958,0.0330590994953197,0.03267407945255,0.0520466546445982,0.0474024302885184,0.0178691066206506,0.00440932290543092,0.0012369179157174,0.000494809675232297,0.000193353273633045
"[35,40)",0.105808523820969,0.201908529173467,0.22111950419425,0.132580428213114,0.0644938200577991,0.0511515477634052,0.10326513845408,0.170596389973366,0.0709134141273986,0.0373597729421868,0.046945533468813,0.0607561904563895,0.0346633715693534,0.00925992950792733,0.00205774346274189,0.000665149866291356,0.000193806933659754
"[40,45)",0.102208414344052,0.18601153399125,0.212066981190104,0.162969816166772,0.0883157275338347,0.0400084071748852,0.0349500409816776,0.0710116910667125,0.108652239795574,0.0691668248070636,0.048238787822987,0.045016646359201,0.0306201390636182,0.0107932406780074,0.00249568830254463,0.000749802507255836,0.000269814804306223
"[45,50)",0.0919674311838297,0.195733247906195,0.213709711818163,0.1612496951188,0.108069039818821,0.0572669912128889,0.0333282955489863,0.0360959661435049,0.066736082489411,0.0995498387338091,0.0690617714893434,0.0315654180768719,0.0143714197437648,0.00673793075530828,0.00280229353053594,0.00131162021617549,0.000658618238910792
"[50,55)",0.0711096045530567,0.187611891046946,0.225148585498078,0.145100401347615,0.0901312844441066,0.0643583068549421,0.0520762852979217,0.0444924330488636,0.0456548472261991,0.0677450959574279,0.0847374318669115,0.0408543872931002,0.0110955285101107,0.00470516294143792,0.00358674968890349,0.00324015023680977,0.00202532809029432
"[55,60)",0.0435532705110838,0.115937642311412,0.147206809343852,0.0909716850324979,0.0469433983668024,0.0364941104062307,0.0478174525768593,0.0580525180130712,0.0429538697343651,0.0312167459759003,0.0411885408815789,0.051251853968369,0.0227910475094103,0.00699622059803519,0.00406087953229949,0.00434063947949379,0.00380448378247953
"[60,65)",0.0192227057078832,0.0478573109352538,0.048315490205755,0.0279233893948146,0.0139795884645823,0.0107353761934006,0.0179613255915237,0.0330028197435156,0.0291129379233605,0.0141620288976855,0.0111464445902371,0.0227098320798163,0.0397641049140456,0.0175400463853562,0.00430497171350851,0.00251745969570669,0.00389699422403404
"[65,70)",0.00541066968836101,0.0177966879870736,0.0129882455144884,0.00537189266517544,0.00273587248460904,0.00242257336630239,0.00411618356067041,0.00818795051755307,0.00953055125018066,0.00616651269327463,0.00438985645713615,0.00647441444828068,0.0162899514903247,0.0245857236772957,0.00695385496162376,0.00194598106080112,0.00297768716721064
"[70,75)",0.00104574718953741,0.00661915531840963,0.00536883026544962,0.00147049329798315,0.000566925945693128,0.000569271235242841,0.000967585039127186,0.00152469927844618,0.00184663872354324,0.00214907783887244,0.00280415590883446,0.00314907165790161,0.00335029478641352,0.00582710419853008,0.00706823990590301,0.00267980797199139,0.00120071141428912
"[75,80)",0.000250553022990286,0.00254311847028609,0.003239994194515,0.00099931354098557,0.000281865779030526,0.000211055774673347,0.000303422071538483,0.000386343129684599,0.000434909810715686,0.000788510253065428,0.00198576090487955,0.00263862014975978,0.00153580461031278,0.00127827638521661,0.00210070565367748,0.000788633259785339,9.65155237494679e-05
"[80,Inf)",0.00112135917739368,0.00284589439530238,0.00237495904271987,0.00112228697589756,0.000450047126224727,0.000204487793382083,0.000129285765063802,0.00012274765107326,0.000170650783107729,0.000431740898057203,0.00135346611982196,0.00252179099664285,0.00259234857125187,0.00213282596992633,0.00102633598161708,0.000105241594901037,8.68023052399519e-08
