"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.841870076932296,0.313736531537241,0.0469088003424509,0.0235822783383453,0.0307411635148209,0.0508141374456661,0.0653522763185567,0.065899653391751,0.063559175645057,0.0593122642578347,0.0467971402519293,0.0285754730802456,0.0127734379727927,0.00388694484744402,0.000884739271875807,0.000270688608892317,0.00115249868537993
"[5,10)",0.333332702911287,4.67636112937799,0.383896344571581,0.0332367299629204,0.0385012149056329,0.0807302622272504,0.131487614711682,0.133776160940135,0.122963314446801,0.134258924237602,0.131295297684534,0.0809678009707419,0.0336948467216646,0.013435828020155,0.00592772860196619,0.00291664816241384,0.00301595071697963
"[10,15)",0.0552370343140209,0.417210227677945,7.14800149006422,0.468688622551413,0.0671008916997518,0.0718026503918617,0.124076424429762,0.160745520764175,0.154275104864259,0.16110752440608,0.172749000106893,0.112738404059283,0.0374434393267556,0.0107004392833456,0.00520426862378171,0.00402197222011942,0.00269441167541814
"[15,20)",0.0317697677464678,0.0418778732277164,0.525761014732437,5.86422854462388,0.370285104044727,0.0846540129227475,0.0766201683890994,0.109999141664924,0.135313459286206,0.138748500133736,0.127146351967758,0.0795246040279902,0.0248101489544774,0.00511321019293953,0.00164178659410562,0.00142601155533796,0.00145552408106292
"[20,25)",0.0454649811634736,0.0532560802927624,0.0842769828267925,0.404089926768524,1.89711139382525,0.246364112783185,0.0748908643192184,0.059257926522528,0.0812937338575571,0.102759331336157,0.0871585612170459,0.0454201928292853,0.0137367787326401,0.00288221062036697,0.000700328954769996,0.000446995926939526,0.000647142654628913
"[25,30)",0.0779960030290497,0.115894333703447,0.093594911494579,0.0964510723925715,0.255557029022531,0.558628547919451,0.159530522854391,0.0484879677850276,0.0381590951962848,0.0567448547208199,0.064551879814035,0.03645432655835,0.0108682621866951,0.00262790622754908,0.000724013560314253,0.000343262733159104,0.000305046619653642
"[30,35)",0.100811720856667,0.189702566367871,0.162541233701195,0.0877334347119306,0.0781128416543524,0.160325054320726,0.293499782646869,0.098258085879564,0.0331341901560975,0.0330365939882595,0.0524741401372518,0.0477998504793269,0.0182001866000389,0.00447675178909166,0.00123682114621838,0.000494631322267331,0.000193188847956946
"[35,40)",0.101396351953651,0.192511190056173,0.210040020960491,0.125631983692321,0.0616494116755022,0.0486054975089217,0.0980079304658845,0.163209005071456,0.0671084310365092,0.0354544823298139,0.0446905029343752,0.057817374664383,0.0333748437632357,0.0089231913699416,0.00194821949898278,0.000629044156181372,0.00018285477665041
"[40,45)",0.0984829833653593,0.178195425823067,0.203003143918542,0.155630838900059,0.0851693430430223,0.0385206156366563,0.033281967478233,0.0675797755829771,0.104018068685333,0.0660707442059962,0.0461395979850712,0.0430117735975411,0.0295008253229678,0.0104491771466533,0.00237833704120284,0.000713967738330483,0.000256337578292461
"[45,50)",0.0944516040987222,0.199961344315096,0.217873611243828,0.164007932017173,0.110644387641095,0.0588712874406858,0.0341043511679422,0.0366941458840698,0.0679023845068399,0.10136805668073,0.0704455502363109,0.0323314548329015,0.0147131802902419,0.006895348154928,0.00285121923792168,0.00133868349565893,0.000669450316551783
"[50,55)",0.0776151321903033,0.203664018985555,0.243313722180023,0.156531847906922,0.0977418207898042,0.0697506391347791,0.0564185745176737,0.0481729374745939,0.0493876034997781,0.0733683866760961,0.0914798277321416,0.0445909022741221,0.0121835888772551,0.00511244321614554,0.00387954823142464,0.00350601161120188,0.00217533301888746
"[55,60)",0.0462710672376307,0.122621459815841,0.155028642167014,0.0955849074286979,0.0497288420469769,0.0384571749237805,0.0501755702189007,0.0608464514392654,0.0449490480152105,0.0328758129071238,0.0435348429818363,0.0538697664628903,0.0240896147080271,0.00735573612570955,0.00425231069812129,0.00455618176103948,0.00394312061350311
"[60,65)",0.0181676394670967,0.044822103573488,0.0452262319848463,0.0261933949956016,0.0132104888157956,0.010070777865687,0.0167809379359361,0.0308511062101363,0.0270795800487717,0.013141121226014,0.0104481367457599,0.0211597933601265,0.0367816994261689,0.016218373889464,0.003950750087075,0.00234308457132151,0.00357510268253025
"[65,70)",0.00441563439838083,0.0142753648255759,0.010323104167848,0.00431171549495917,0.00221387822712648,0.00194494266861058,0.00329683670294364,0.00658818425501485,0.00766097210399601,0.00491899175046056,0.00350175808252215,0.0051605356582703,0.0129541289666457,0.0197238191538137,0.00545875772131126,0.00153449542486582,0.00235494530458751
"[70,75)",0.000804589984100845,0.00504180075052798,0.00401923125492459,0.00110827552637043,0.000430630399459689,0.000428961413387095,0.000729148370798004,0.001151484251614,0.00139588543618014,0.00162826502739832,0.0021272247883987,0.00238818638618216,0.00252608625482154,0.0043698963437325,0.00533709560475974,0.00202218249432335,0.000899190179262729
"[75,80)",0.000207450708998127,0.00209058118063108,0.00261762833419479,0.000811221979465741,0.000231628393238341,0.000171389341387912,0.000245740223379461,0.000313319103723977,0.000353134859475233,0.000644255326595049,0.00162006039904605,0.00215640284898043,0.00126253145828475,0.00103520369067183,0.00170414508494332,0.000630748841835017,7.678771249123e-05
"[80,Inf)",0.000980376607400511,0.00239946705984005,0.00194643733483624,0.000919059476636166,0.000372216664473796,0.000169056132211571,0.000106533021614679,0.000101092657032542,0.00014072842851027,0.000357607005670508,0.00111570959053104,0.00207145963777095,0.00213820983069554,0.00176339090559198,0.000841094396434037,8.52313483524583e-05,7.18695774765215e-08
