"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.550244881538651,0.455831973068112,0.227777667544592,0.152714435543807,0.217127344508752,0.414400452407556,0.565708766012522,0.430665823681797,0.233243028479718,0.154924417878109,0.159083867722298,0.184999956598584,0.173302428794156,0.12610216349265,0.0869286019957494,0.0658182306068734,0.041144258768225
"[5,10)",0.4783463590149,0.773433792504036,0.510552907161044,0.185705221574268,0.120376800463447,0.209111444072535,0.463215189661635,0.614836813482517,0.415047724959077,0.207633343703564,0.137930347578088,0.141765901271292,0.159807513317714,0.14764372764376,0.112008933445531,0.0823843544076175,0.0544335177442782
"[10,15)",0.244483868392973,0.522206330562145,0.853604828558886,0.442587458237312,0.150214971097876,0.112160437711543,0.222937314741209,0.474359476197946,0.559104319413585,0.351060433151166,0.176123666437484,0.117034559915208,0.114734716863346,0.124557880579287,0.116462574978123,0.0912362322836832,0.0571942986692469
"[15,20)",0.162407130240281,0.188196450430782,0.438515588950101,0.703449439361562,0.353493680866608,0.133539022962167,0.114339136100254,0.219376456849171,0.41612593599407,0.459658577455089,0.288121022852507,0.142281552793813,0.0875605693519634,0.0798608917644026,0.0860910524163013,0.0823911746299272,0.0544211343286801
"[20,25)",0.227264326896235,0.120066501845443,0.146484239736611,0.34791520051926,0.549028703756714,0.296269036085126,0.128281291287717,0.107989719462815,0.184439725413846,0.327549334802532,0.359924734122746,0.221225154740891,0.101692072006515,0.0584499824623856,0.054269494836703,0.0621381042302691,0.0538847593271459
"[25,30)",0.433727723797782,0.20856290869088,0.109369843446502,0.131425656626072,0.296255537425655,0.467678527960247,0.279143072827546,0.120509820935312,0.0905516919826315,0.145255745888715,0.259952539199686,0.284843029267162,0.168520187518885,0.0749435673886943,0.0454149015013094,0.0462748792893626,0.0535444176441635
"[30,35)",0.605330784563463,0.472329375381864,0.22225091159344,0.115045532298488,0.131143395877701,0.285384081686577,0.453533755966697,0.26875963412382,0.105963547630262,0.0757743358827524,0.124756365230445,0.226633564148621,0.245651323618908,0.144821264510733,0.0686722042168461,0.0453331245572764,0.0489945750144308
"[35,40)",0.473751549052486,0.64451407933264,0.486159467641375,0.226921293770927,0.11349478254161,0.126658900329865,0.276295888904866,0.438084470955566,0.246808243963096,0.0953149735176064,0.0715627408524777,0.120645427677202,0.215572416852787,0.230569377072409,0.141194528722509,0.0702635567069501,0.0449770253626406
"[40,45)",0.265087095389544,0.449510938145864,0.59201634179208,0.444712870584629,0.200270799557631,0.0983285244820891,0.112547681341325,0.254993636560305,0.417748530957438,0.240636088333461,0.0986955446733037,0.0754433561529758,0.120775689342071,0.205506617045446,0.221715756735834,0.139339488571505,0.0573746770154582
"[45,50)",0.180152664769898,0.230080719597461,0.380332672070771,0.502610069389608,0.363898938912937,0.161382773942524,0.0823461129842296,0.100756184935523,0.246207717525682,0.4340844696876,0.264647917300712,0.108383574850525,0.0758507273760946,0.11206502321405,0.192434830285219,0.216996437586249,0.107029361127849
"[50,55)",0.18550793047199,0.153270467302476,0.191344062230343,0.315926667220558,0.400987912860042,0.289623262230434,0.135956257130486,0.0758600405942393,0.101263742184357,0.265389662605099,0.48738603683377,0.290435565280434,0.108374360888631,0.0700783911227609,0.107265808465974,0.198349123836345,0.186532423509741
"[55,60)",0.202998689439232,0.148236687784788,0.119645582046889,0.14680647225575,0.231920620930841,0.298627804379067,0.232405276482225,0.12034338988681,0.0728387850094086,0.102273769141408,0.273297126313833,0.494232728306031,0.27828825594421,0.0995197094495634,0.0682885460821643,0.112921485867905,0.202471350339576
"[60,65)",0.164237569762654,0.144320281137372,0.101303311412565,0.0780281727119653,0.0920742536315301,0.152588861384761,0.217564041117532,0.185716639851111,0.100708811567358,0.0618168389283807,0.0880760989962299,0.240348342935937,0.446026922732974,0.251246796638208,0.0937933404897676,0.0671947909601496,0.131711633561409
"[65,70)",0.0971757117970734,0.108420774662015,0.0894267268897524,0.0578687827350376,0.0430331193406426,0.0551788433561999,0.104296005540999,0.161520103731429,0.139341694691744,0.0742650470804598,0.0463108738816466,0.069891230160507,0.204299764126485,0.392794634590236,0.222379364882766,0.082494203831517,0.0683782718817446
"[70,75)",0.0528171601091764,0.0648525899129203,0.0659264471588831,0.0491864373100684,0.0315029613152456,0.0263641494798679,0.038993613796385,0.0779865996813124,0.118530193812488,0.100548411679536,0.0558904134211574,0.0378127801537609,0.0601335016136219,0.175336221683635,0.325010981283244,0.177225911300951,0.0533732970680161
"[75,80)",0.0311371300604904,0.0371397890100991,0.0402124610064377,0.0366511892592666,0.0280849481848035,0.0209161000282758,0.0200423286320373,0.0302170646242088,0.0579998239320919,0.0882803740040646,0.0804685776624094,0.0486841233715404,0.0335428626720784,0.0506431394457547,0.137989882554149,0.24160879320762,0.0882419823939516
"[80,Inf)",0.0230229879219755,0.0290255966548197,0.0298171489384093,0.0286348578569478,0.0288072393031095,0.0286265941059766,0.0256212660058884,0.0228787839918422,0.0282483302514537,0.0515032409170849,0.089509769034544,0.103251035208559,0.0777693946150246,0.0496518427030322,0.0491545951646856,0.104374719492153,0.150941567989267
