"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.798289982068828,0.419275257989613,0.15212875736692,0.0906505346112829,0.110206351119087,0.231327855081761,0.409708913163534,0.393185294777275,0.253528723486116,0.186328365958069,0.171917121998226,0.157638366527607,0.136863280997892,0.120699447362248,0.0973379517700011,0.0616494550851805,0.0320326865914144
"[5,10)",0.399975556423892,1.75647243637718,0.680895695513174,0.177378393813344,0.111721647752596,0.141831821950516,0.242994460420303,0.303939696813016,0.228211552145045,0.148053822999827,0.12591283744196,0.134603413914556,0.14388229477094,0.147173958106463,0.134485295662922,0.0978967128014889,0.058491856981183
"[10,15)",0.142744889363298,0.66972363038611,2.69849242192592,0.778647234926323,0.221347067558978,0.152746742583863,0.17311982420196,0.224012695658708,0.225623924980057,0.160843336650016,0.102674787809751,0.0811584423016663,0.0819947389919328,0.0861409312100619,0.079315513436245,0.0594556834050473,0.0410416310847772
"[15,20)",0.0907421639386664,0.186125236937388,0.830673311298931,2.75604442158209,0.876680108669731,0.341602954655419,0.258169844711246,0.25138400491563,0.27653585951275,0.268010323240533,0.188165894135809,0.108898186958147,0.0786351689546698,0.0779646577862289,0.077780578620026,0.0634384685719469,0.0511747596131117
"[20,25)",0.12794920081441,0.135967173727203,0.273876946054704,1.01679486666521,2.19217765871358,0.850606005536299,0.462181572695622,0.354477923762078,0.326507702972608,0.364372050294869,0.361092138043289,0.244484741066483,0.14083688572612,0.107730853357507,0.107766837327007,0.0968806027875978,0.0814398157402992
"[25,30)",0.300309068879386,0.193010076050365,0.211331007434216,0.443020040865111,0.951125897325986,1.41858910118672,0.721606605115431,0.46017276961793,0.365120761210228,0.364553177522257,0.433581624152779,0.424120807210751,0.288343525653393,0.174958942703738,0.131794279417568,0.111190481089634,0.0918073502409024
"[30,35)",0.522145504875455,0.324622253381674,0.23513305329718,0.328687269015005,0.50733847983719,0.708396023766658,0.96841100131947,0.580034236071564,0.404920497081138,0.354136852719215,0.374716163833167,0.431731217536546,0.412145301210106,0.283134131235409,0.162454255866231,0.0994482307487408,0.0750884309344407
"[35,40)",0.490155635866929,0.397182352083496,0.297618631567794,0.313065789743097,0.380622951723847,0.441893011643457,0.567380271239578,0.814642987403285,0.521016427842375,0.391313459067144,0.350626563248495,0.349273384387435,0.388800641915605,0.376560005537505,0.247800960754704,0.116868929670331,0.0621085868008657
"[40,45)",0.335008160926461,0.316105189239752,0.317734311878388,0.365040382595985,0.371612825447412,0.371641520901556,0.4198380989334,0.552259124582859,0.745440265304298,0.484096541290005,0.367541612253867,0.314402404894436,0.312129961215668,0.362049696995804,0.338676586956848,0.182609733242913,0.0663365411015908
"[45,50)",0.252082461875202,0.209966044097428,0.23190893397684,0.362223328247568,0.42459781833637,0.379912889006116,0.375940096069704,0.424670122975311,0.495641221931968,0.635777943542259,0.430573062706816,0.326320126258327,0.287454642678629,0.296718132082031,0.321857814020243,0.241387138707688,0.0970456865189303
"[50,55)",0.210969882579194,0.161970947759897,0.134281409892106,0.23067656486319,0.381670336237479,0.409856361613134,0.360817526375491,0.345151217789076,0.34133406124061,0.390557092506061,0.592772558622254,0.425805784506764,0.327839564878809,0.290298858529345,0.276459004895639,0.250104660314238,0.163583249174042
"[55,60)",0.163870524548656,0.146676580439165,0.0899131825821686,0.113089114920514,0.218907036926912,0.339615873488856,0.352156929944103,0.291251168555971,0.247341255115568,0.250737402223072,0.360702494595379,0.606713873558816,0.426280029385659,0.332697466015757,0.292431382227937,0.25344181096862,0.226701901623394
"[60,65)",0.11770178006567,0.129708734823576,0.0751506638234756,0.0675575896343392,0.104323354381268,0.191014251878704,0.278118773412569,0.268217014042596,0.203143684577137,0.182726592281586,0.229750317156198,0.352656711199906,0.519791545695783,0.384109877052986,0.322259042175855,0.250404500828314,0.191588082057323
"[65,70)",0.0781565006976109,0.0998979505149482,0.0594456577350695,0.0504334687918825,0.0600854019227611,0.0872680866049913,0.143858629705448,0.195594790121663,0.177418864836537,0.142016974063219,0.153180620361603,0.207238480838923,0.289213935867245,0.447590957978189,0.339614310058809,0.204952224521582,0.120750526192272
"[70,75)",0.0441646936309591,0.0639637039349696,0.0383532267558572,0.0352553821270056,0.0421160082536172,0.0460626651426247,0.0578372959657752,0.0901901835441081,0.116292036577432,0.107942735503631,0.102216835161225,0.127637437885996,0.170020796639203,0.237968336852708,0.369733778928039,0.182651375949064,0.0984391086647978
"[75,80)",0.0187873320322837,0.0312730155913836,0.0193098986114507,0.0193130025098443,0.0254297298564713,0.0261013494688666,0.0237802709290031,0.0285692080256981,0.0421144926969808,0.0543733810499252,0.0621092555540488,0.0742976733331985,0.0887323360616334,0.0964558739062602,0.122677748848843,0.146521615707634,0.0710012533585504
"[80,Inf)",0.00923353956978618,0.0176740485274613,0.0126081164639681,0.0147364168970453,0.0202199779763591,0.0203850502584792,0.0169836780244924,0.014361168036416,0.0144710304050103,0.020676995370142,0.0384248650760872,0.0628624199030275,0.0642165923433762,0.0537531670372068,0.0625387942819661,0.0671591199814935,0.0171618257922645
