"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.47782604145749,0.743314173841437,0.170479238389016,0.0842201053317313,0.107903387060435,0.17747159787762,0.228912477825334,0.231683901001316,0.223422929898577,0.20816901214963,0.164499192633938,0.100608277178094,0.0448453692332214,0.0135785354081374,0.00312805099881184,0.000947385971912782,0.00258969195061008
"[5,10)",0.652728515888341,4.96838655622102,0.622186585073956,0.0958771192086858,0.111133161973133,0.233872163516561,0.38254304623594,0.390397722091775,0.358503070386513,0.390321858791204,0.382622999395292,0.236921392113696,0.0987806645226785,0.0394396193633819,0.0174509347121069,0.00855107879876435,0.00747188285001254
"[10,15)",0.130590800648836,0.553118312129809,7.4829545009914,0.703267775234667,0.155003130870522,0.166735300923443,0.289505319409502,0.375291985633513,0.359380821505313,0.374773183064126,0.403962173819081,0.265637501991246,0.0885319997434742,0.0255379544568096,0.0125055475405732,0.00958970576487435,0.00683574884290731
"[15,20)",0.0562531227854889,0.073382972260285,0.621673160350547,6.31427958704038,0.573379889864937,0.150256014034363,0.137302151311682,0.197818267647742,0.242783893444482,0.248851030380362,0.229853249308307,0.145148722910525,0.0453307777190153,0.0093786547498073,0.00304436078275677,0.00259790598623472,0.00286956277979843
"[20,25)",0.0612041161912855,0.0722335052583422,0.114774374894071,0.490692513899448,2.16454778778481,0.3341663829479,0.103299986410351,0.0822110958365237,0.112785145165258,0.142500122042078,0.121618568914922,0.0637904254786754,0.019300251904035,0.0040489096828176,0.000993934430891101,0.000621745491499342,0.000929852588656272
"[25,30)",0.083748989311399,0.126467436035745,0.102715783866317,0.106157754280243,0.278619756367124,0.606940934731082,0.176491290856879,0.0537986975943861,0.0423249667858084,0.0627712413202902,0.0717282353176344,0.0406143128996111,0.012076868107327,0.00292058874607594,0.000813117208616793,0.000383180763677441,0.000355041702865479
"[30,35)",0.0897484071314429,0.171864848843535,0.148174251795281,0.0805941963064113,0.0714022658594568,0.146743364390292,0.273646477345712,0.0903282452829477,0.0303142481985711,0.0299827024928518,0.0476770512376887,0.0436375281669886,0.0165667485636131,0.00408341475209331,0.0011462451850427,0.000462263850066152,0.000202207818432733
"[35,40)",0.0755749738100041,0.145928086831195,0.15981235466448,0.0966090221558984,0.047278863880217,0.037188031930594,0.0751929991027284,0.129196776547565,0.0514052185898953,0.0268420130520636,0.0337620024271991,0.0440308306957414,0.0254381580355317,0.00681571207734531,0.00151964284422183,0.000495718339350801,0.000165072867063576
"[40,45)",0.0601148738811664,0.110534166980026,0.126231576657883,0.0978009814719117,0.0535008333473465,0.024132377395906,0.0208038501374337,0.0424186646108064,0.0674193060353681,0.0411668756708547,0.0287096276570161,0.0270392789852784,0.0186561892037802,0.00660862809251859,0.00152742056604655,0.000459095080335602,0.000183000549957532
"[45,50)",0.046068491274985,0.0989829167283489,0.108271792674504,0.0824511078258674,0.0555977979400672,0.0294372956811313,0.0169239370238891,0.0182104569314219,0.0338660415049532,0.0519368389255175,0.0352730881024596,0.0162756021994735,0.00746595814318561,0.00349724911317376,0.00144501131277413,0.000672961978760389,0.000365983574012295
"[50,55)",0.0300195077309399,0.0800129592338168,0.0962364087459252,0.0627999917633365,0.0391285838956134,0.0277382607704727,0.0221917677950422,0.0188879943420515,0.0194721164427532,0.0290906220592221,0.0371542431256966,0.017729868129277,0.00482333932635415,0.00202684340351599,0.00152836878101754,0.001375530806369,0.000943922512981547
"[55,60)",0.0149340170056422,0.0402992228128879,0.0514743923937715,0.0322570978899399,0.0166937103775759,0.0127753063897087,0.0165213597672661,0.0200363062012602,0.0149170806757205,0.0109167178957547,0.0144228461406231,0.018083682938932,0.00791726345950084,0.00241609902416258,0.00140145311677035,0.00149625650251509,0.00140115234705837
"[60,65)",0.0051914700247821,0.0131037064547747,0.0133792550470843,0.0078566075595604,0.00393903799910888,0.00296262275966115,0.00489162036648959,0.00902768214066899,0.00802678234196451,0.00390544376955135,0.00305971353143003,0.00617514548967743,0.0108517226549651,0.00476091180925369,0.00117938852641868,0.000686929462327319,0.00101279634690069
"[65,70)",0.001145757473776,0.00381348418866881,0.00281309753273698,0.00118481204931971,0.000602326963890817,0.000522227168570244,0.000878832238844808,0.00176306716480614,0.00207251119099181,0.00133345520280653,0.000937173867471217,0.00137344594127967,0.00347048446249569,0.0053402046536943,0.00150123126475333,0.000415779386246558,0.000578701655993136
"[70,75)",0.000174311069216508,0.00111434405641885,0.000909730521004167,0.000253989874975875,9.76479934288397e-05,9.60182041779954e-05,0.00016291886772492,0.000259603487753125,0.000316341069143448,0.000363860138684591,0.000466701830561895,0.000526122392287532,0.000567721437302135,0.000991468440759576,0.00122126124921063,0.0004596765006928,0.000219560793253104
"[75,80)",2.92972171831837e-05,0.00030301895404637,0.000387136050310551,0.000120279605546777,3.38974096497119e-05,2.5110329076818e-05,3.64612933488086e-05,4.69950654332747e-05,5.27652332228045e-05,9.40377091093395e-05,0.000233093383806768,0.000311718474509571,0.000183501161586328,0.000152378117830745,0.000255102494507287,0.000104508488278182,1.58223774345849e-05
"[80,Inf)",4.50979350921346e-05,0.000149103579595595,0.000155400910818347,7.48158173125686e-05,2.85480928842081e-05,1.31019881730765e-05,8.98150696444918e-06,8.81256019324324e-06,1.18442276914371e-05,2.87993201703839e-05,9.00751718026651e-05,0.000164380758311707,0.000152355427411607,0.000119432770200006,6.86139149245012e-05,8.91008969619191e-06,9.65386286172918e-09
