"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",2.37580033995506,1.2611748449346,0.460346811991146,0.273953376932075,0.328925707291736,0.693261836307297,1.2400304139001,1.19730463061666,0.77454229143641,0.56569376691899,0.519851112538287,0.474626732332382,0.410122941845325,0.360109534474869,0.289875751556239,0.18404607354759,0.0954865034203606
"[5,10)",1.03860324228922,4.53417379231241,1.78434373183028,0.465916305068493,0.291298834637931,0.368518929375946,0.635890081208091,0.79838314838659,0.602597111989279,0.38931427879076,0.330836751221865,0.353991617652641,0.378184347167302,0.386677324146723,0.353552457962937,0.258386493885193,0.159437685477117
"[10,15)",0.311827865571169,1.4676886221615,5.89237743843033,1.7179704400991,0.48511733003174,0.331692018556197,0.37731025512183,0.489494507570354,0.494514507927537,0.351817889819778,0.224198123697848,0.178159415163672,0.180521768331589,0.189595433621954,0.174574180034544,0.131249437804778,0.0927071140812614
"[15,20)",0.152963050385634,0.315895480456599,1.41610606347106,4.67204732420179,1.48394103117072,0.569958289953468,0.430757133043314,0.42170965472675,0.4645381912577,0.449095650127965,0.313167888735722,0.181605107896609,0.132077750618517,0.131441289430758,0.130848764994493,0.106749358559011,0.0869061196402496
"[20,25)",0.15232865221495,0.163812921326733,0.331665875114529,1.23080867357601,2.70445075400224,1.02421217184664,0.554833080957766,0.427273214278122,0.394240025996387,0.439757862919943,0.432920851730078,0.290809911781595,0.167468357101167,0.129107899398653,0.129632897572186,0.116618755317677,0.0992823901033102
"[25,30)",0.266946265835539,0.172310595575623,0.18855228339121,0.393060818549259,0.851594224495875,1.28860296142931,0.647494478264173,0.414257940922341,0.32845411666377,0.327443650424697,0.3897136095888,0.379519500427928,0.256479115887179,0.155575186347537,0.118201192764016,0.100249215833213,0.0843478208351016
"[30,35)",0.396267193533574,0.246753577893857,0.178001888181803,0.246534885634982,0.382855020883087,0.537359949187572,0.737458097858513,0.442223950495256,0.30810742077943,0.26868030232933,0.284493640778467,0.327987607812665,0.312340418166749,0.213503306634902,0.123031323124732,0.0758223651399854,0.0583442089688817
"[35,40)",0.316514602883344,0.256286704658807,0.19103244337105,0.199660776581739,0.243899536501544,0.284402477107045,0.365826841488844,0.524516348896896,0.335440613525016,0.251207428101551,0.225159179556341,0.224927481093348,0.250495420609225,0.241159578510037,0.15824790123447,0.0752368598506192,0.0410901310595346
"[40,45)",0.168866115829257,0.159532822822511,0.159164655381635,0.181388155751153,0.185598435302423,0.185971130260113,0.210205344821791,0.276645705142318,0.374050651975201,0.241853001677361,0.183765351501889,0.157404309395317,0.156712663208796,0.181852285581182,0.169134472106374,0.0914428794527462,0.0348525630249798
"[45,50)",0.10108984426774,0.084479647358832,0.0928141670047627,0.143732541553301,0.169689888828041,0.151962402245436,0.150247128402018,0.16981244756653,0.198234955567593,0.254657212867241,0.171709535186804,0.130329613065792,0.114837529741146,0.118875219340235,0.128980008572449,0.0969642504482419,0.0413244507505512
"[50,55)",0.0752359850655677,0.0581414698888513,0.0479014682513461,0.08117344555464,0.135291762872662,0.146475722669358,0.128843767351964,0.123267106525263,0.12198681306087,0.139064062524829,0.211388509246214,0.151785103823394,0.11684303680041,0.103469306457258,0.0986578734251885,0.0894082036759032,0.0614966069605913
"[55,60)",0.0548450073471074,0.049671069113824,0.0303923232714547,0.0375840074668074,0.0725621807100769,0.113891796235256,0.118600510122946,0.098319199503249,0.0834265230406792,0.0842756043570233,0.121190177603585,0.204064582514471,0.143198370897067,0.111743570587563,0.0982996714302139,0.0853007082555093,0.078454675551765
"[60,65)",0.0372818478522356,0.04174577627544,0.0242260808784259,0.0215032028713633,0.0328724704277068,0.0605492567951256,0.0888496602004661,0.0861378578415602,0.0653416472759219,0.0584172452965982,0.0733904529268431,0.112651385977052,0.166296073325321,0.122718467006923,0.103120124119107,0.0804156584234192,0.0622877456082741
"[65,70)",0.0249690908114849,0.0325568545334603,0.0194073482850154,0.0163226264619429,0.0193302353445701,0.0280144358797827,0.0463251604555931,0.0632533505763978,0.0578348341386657,0.046124673608342,0.0495716087086289,0.0670510756669243,0.0936040552632534,0.145196544603487,0.110405131860387,0.0669127749414311,0.0392261625516679
"[70,75)",0.014131062320419,0.0209287076178393,0.0125635725739405,0.0114241178479894,0.0136456544791302,0.0149643627082018,0.0187682092432925,0.0291817809713888,0.0378179234370684,0.0351851325579883,0.0332313542622506,0.0414696229359783,0.055299726748299,0.0776218655252921,0.120420440176024,0.0599669250461775,0.0313694743839662
"[75,80)",0.00544952167105552,0.00929024702877061,0.00573719349158478,0.00566092269127986,0.00745618108379904,0.00770879070377482,0.00702543746990279,0.0084270078609077,0.0124189346691659,0.0160663542288198,0.0182920577146396,0.0218574533820658,0.026193231645876,0.0285741131106947,0.0364234167657811,0.0437360180905776,0.0211862655813134
"[80,Inf)",0.00197962513261955,0.00401381706832361,0.00283742406814645,0.00322686985568614,0.00444456651373171,0.00454138455232724,0.00378514867387715,0.00322247387687157,0.0033141969369886,0.00479426377170518,0.00880938294244744,0.0140758585996282,0.0142056207246883,0.0117286677413743,0.0133409048354854,0.0148341802961841,0.00458021817905371
