"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00485347639071827,0.00783047803489464,0.00587252187035247,0.00607111425371921,0.0121623602029916,0.0265868760859355,0.0440208334725356,0.0534476758066986,0.0551640432768243,0.0520367938395367,0.0402307098142698,0.0223047603979642,0.00920465171115959,0.0035397386885796,0.001566042035242,0.000846575456079398,0.000621266408687761
"[5,10)",0.00773432998789292,0.0176896833368247,0.0136264860159178,0.0109842086630414,0.0231410235115221,0.0440166797087955,0.0597005791205838,0.0635081719287013,0.0634281197037967,0.0622920616345482,0.053426000985944,0.0350929167600346,0.0177700589846454,0.00815377519384304,0.00402871947893298,0.0023726231536336,0.00178966785710722
"[10,15)",0.00566129913874648,0.0132996714823114,0.0398701101978032,0.0337781152713571,0.0461509059696125,0.0636069805106945,0.070433189812929,0.0682315044319065,0.0671229901113233,0.0674760651576115,0.0602993078297898,0.0427358805825644,0.024883311920629,0.0137175304924075,0.00786473034077198,0.00498131286571804,0.00375537695024107
"[15,20)",0.0056242914811977,0.0103022899048898,0.0324596151977555,0.138545074824648,0.177126731799855,0.176027103365409,0.1686421508508,0.155052749802177,0.150514340279359,0.151111888437277,0.134293431128948,0.0940405104132213,0.0556393327115558,0.0330338036132799,0.0215710114691591,0.0150412268798087,0.011176953656165
"[20,25)",0.0106883662623731,0.0205893012457854,0.0420709420253703,0.168026647174868,0.478847965356776,0.480849329461414,0.420173815564135,0.371711384873125,0.349185054710416,0.339736292606031,0.293300647888872,0.199133773863934,0.114997521620931,0.0686629650245776,0.0483552626747638,0.0377999611485476,0.030311250865163
"[25,30)",0.0216713555201095,0.0363246654465013,0.0537813976860569,0.154881267384495,0.445999440652143,0.721856252252806,0.662542233118433,0.565500120682186,0.508986813406728,0.474530000050662,0.396611559259251,0.263489118154781,0.149645081609275,0.0881541733969326,0.0632837749400871,0.0535998607538726,0.0517524414601136
"[30,35)",0.0325139666443521,0.0446432513947321,0.0539631871358308,0.134455450849152,0.353140244375,0.600352739333152,0.722169589656444,0.63438044011398,0.54530563609862,0.487953143092033,0.396867234641434,0.260314850824016,0.146935901470983,0.0855016838634185,0.0605971076243861,0.0526493725080897,0.0651882597962568
"[35,40)",0.035303277864075,0.0424699154607884,0.0467497930974079,0.11055191377753,0.279382116662598,0.458247540836839,0.567315037790979,0.633153381088801,0.559467955523848,0.486695791657224,0.389092429077233,0.25241752343162,0.140950561785028,0.0806610410216542,0.0559815809915709,0.0485306374248077,0.0788266855518189
"[40,45)",0.032664031249132,0.0380242894487213,0.0412281194937026,0.0962037845924337,0.235275049362141,0.369744274358628,0.437161576562572,0.501536681515325,0.547848249391961,0.493382671295506,0.390037193474292,0.248550491876299,0.135121824168431,0.0751421228530173,0.0513300370818082,0.045062018590341,0.0969101973387322
"[45,50)",0.0276452337630443,0.0335048763163394,0.0371850204543999,0.0866580585670333,0.205380030176584,0.309281999796744,0.350974982631011,0.391454347566135,0.442669842795188,0.478330821964165,0.391373906391007,0.241975897027019,0.126396897996284,0.0680456263180388,0.0464251103427524,0.0425083123570895,0.111556684500322
"[50,55)",0.018795918077363,0.0252710969774335,0.0292231289757402,0.0677269010503058,0.15592846533369,0.227327748447714,0.251037960851501,0.275215203920403,0.30775008334606,0.344181861537544,0.346537447689103,0.219936351983695,0.11064194389642,0.058522502911248,0.0405675834973289,0.0387485252377512,0.0968121179375955
"[55,60)",0.00872752217175299,0.0139020370922702,0.01734581040653,0.0397199745948887,0.0886634970504981,0.126484502549406,0.137905201994747,0.149529435366247,0.164245822941729,0.178219725632161,0.184197854542575,0.146602764404621,0.0772370031379993,0.0411361303390241,0.0288540829901949,0.0270506607708335,0.0475880674560564
"[60,65)",0.0028324212859523,0.00553611288279766,0.00794268268407999,0.0184813200548677,0.04026665038424,0.0564929392916734,0.0612162492008735,0.065664568395555,0.0702202379992403,0.0732111398907439,0.0728726291211091,0.0607410794033196,0.043173469913437,0.0255151545573863,0.0170879256086067,0.0138430991956772,0.0136395992804801
"[65,70)",0.000817790223815067,0.00190719466648251,0.00328741994499589,0.00823815351139001,0.0180509390224233,0.0249858900204399,0.0267444508508545,0.0282129388928084,0.0293184144792305,0.0295911055794432,0.0289392822449592,0.0242885030289266,0.0191565997768214,0.0190885170880046,0.0129973459446284,0.00774066305720142,0.00390484344184651
"[70,75)",0.000268207625088262,0.000698554528032459,0.00139720484057082,0.00398784987989694,0.00942362479531372,0.0132966218408361,0.0140510217469762,0.0145153214639942,0.0148465515859019,0.0149661782665843,0.0148710281564618,0.0126293669977671,0.00951057031592256,0.00963499896023457,0.00923076786472969,0.00396684140985793,0.00112935997636384
"[75,80)",0.000105680159233809,0.000299862479775555,0.000645030343223336,0.00202680344515165,0.00536939894446958,0.00820866782683097,0.00889834603536368,0.00917186333372634,0.00950002473913366,0.00998830769797322,0.0103532598777493,0.00863002920505979,0.00561578700210558,0.00418249314000609,0.00289137830743471,0.000498800290874956,6.94573892760858e-05
"[80,Inf)",0.000100744066144306,0.000293818826254972,0.000631689530510182,0.00195643597164003,0.00559309242418965,0.0102956478715938,0.0143119660062852,0.0193521250963952,0.0265397843208423,0.0340508114102672,0.033602026967787,0.0197217874183694,0.00718774605777676,0.00274078215201325,0.00106931655426012,9.0226118114315e-05,1.0635583864802e-07
