"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.885353249352358,0.360065927946415,0.0586288973299837,0.0290304592100513,0.03790735156695,0.062361505702475,0.0798302923588394,0.08055635314033,0.0776928102081477,0.0724226647882042,0.0570800223292895,0.034778374747926,0.0154608277740292,0.0046633988965226,0.0010632426745647,0.000326376886591737,0.00164310476402151
"[5,10)",0.348272283830393,4.66923886365853,0.418737934751648,0.0366095275644271,0.0430358909640742,0.0904513732179686,0.146070301674624,0.148399433001,0.136465209441252,0.148854357686895,0.14532428253958,0.0893532046453286,0.0371407594569678,0.0148032398796481,0.00652334923090852,0.00319569258687734,0.00359914173969703
"[10,15)",0.0525742085850461,0.394022300077226,7.11329232819549,0.468530853747267,0.0619257052267532,0.0678551605652413,0.117208930451163,0.151078934046003,0.144632026314709,0.15116508190396,0.162325917835071,0.105617580431469,0.0349809994268182,0.0100760876492307,0.00495555351996906,0.00381485491276922,0.00246710700124983
"[15,20)",0.0257555476331032,0.0336705418126634,0.464884206171607,5.78852513964654,0.313650207827462,0.0682210074487868,0.062420126343983,0.0895998661371312,0.110100974757231,0.11288599006067,0.103585182741461,0.0646636032649182,0.0200386374520953,0.00412228705738428,0.00133986053608928,0.00116770313232036,0.00113840922945426
"[20,25)",0.038572581272733,0.0453967911148923,0.0702692313878451,0.355842107631205,1.7838781633539,0.210510528624945,0.0637023689887182,0.0499429976770647,0.068338980650232,0.0866996385999184,0.0736837965498994,0.0382227051537608,0.0114828162945236,0.00240370152034958,0.000589304113750294,0.000376267091112054,0.000532192098996892
"[25,30)",0.0750556920524285,0.112855129463459,0.0910728455106011,0.092548266125969,0.248278296153195,0.541955092553415,0.155310755760369,0.0470577230939139,0.0366574278095809,0.054437422275315,0.062275627191406,0.0351586916550044,0.0104283969009996,0.00251676894453503,0.000699514704732806,0.000332154999469597,0.000285140568351848
"[30,35)",0.102294132161142,0.194036765346957,0.167487610944231,0.0901551962118449,0.0802201234796305,0.165315866649096,0.299509676126732,0.10097649203595,0.0340050789848093,0.0337639403026605,0.0537105140108152,0.0488825534027317,0.0184984848708604,0.00453624536061557,0.00126235749001267,0.000506052959611485,0.0001861120947892
"[35,40)",0.101757487178868,0.194329134275093,0.212818545706061,0.127572496568653,0.0619991767951306,0.0493890241739868,0.0995462653856944,0.16524941819321,0.0680225258192786,0.035871954602478,0.0452234656530979,0.0585093214684466,0.0335307541020143,0.00890983246005227,0.00196104371186143,0.000635506359243621,0.000171658036362623
"[40,45)",0.0956206485668549,0.174113280476998,0.198506306022026,0.152737309289996,0.0826578474673217,0.0374857152089805,0.0326611626222454,0.0662785680727107,0.102108215430532,0.0647044659143682,0.0451646683351817,0.0421746163624787,0.0288090897759795,0.0101264863218939,0.00231622337035277,0.000697494416839647,0.000234744727505559
"[45,50)",0.0874037204628088,0.186232755592292,0.20344446785861,0.153560169249283,0.102829434213603,0.0545865855899797,0.0317998843121039,0.034272349916766,0.0634489841104179,0.0948865339021246,0.0657623149060568,0.0301388748809514,0.013720208391445,0.00641187073490143,0.0026532384099241,0.00124510428408333,0.000590845278304789
"[50,55)",0.0692670002965253,0.18281824310871,0.219669163139243,0.141684714563245,0.0878737137390194,0.0627904094313686,0.050864941823653,0.0434449708516678,0.0445317966023254,0.0661244775749724,0.082678478637815,0.040064998640343,0.0109072520856418,0.00459318390833977,0.00349721506295808,0.00315855425740003,0.00186125275422559
"[55,60)",0.0417279984189238,0.111139260054805,0.141316693361086,0.0874502969900939,0.0450696754903606,0.0350496701143877,0.0457708683035903,0.0555746524325646,0.0411148354652768,0.0299633168800584,0.0396133706092937,0.0491626665667158,0.0218968282790324,0.00668276086174112,0.0038826715225299,0.0041598637755846,0.00346887139337745
"[60,65)",0.0172477429816903,0.0429525949963072,0.0435181801071697,0.025197115949016,0.0125890421243436,0.00966607232280569,0.0161047017286301,0.0296125818059695,0.026113086773605,0.0126824984677734,0.0100270373830521,0.0203594792570093,0.0355371931281415,0.0155960557423474,0.00381144229436485,0.00225675474492842,0.00347364171713258
"[65,70)",0.004571391619961,0.015043252198918,0.0110148041936443,0.00455477795566544,0.00231564052150139,0.00204985040209521,0.00347023908414258,0.00691430961882709,0.00806554629068538,0.00520805067991625,0.00371037197402562,0.00545988521208012,0.0137045566094979,0.020791280940609,0.00580724317940871,0.00163668183763468,0.00255577273376267
"[70,75)",0.000905609361169311,0.00575994359718844,0.00470695078177401,0.00128632649964471,0.00049327910224478,0.000495037742006924,0.000839088680926976,0.00132229757457486,0.00160294303427884,0.0018725324860922,0.00245464447144019,0.00275626445125535,0.00291003574259764,0.00504584827819338,0.00613188461242939,0.00233294879790913,0.000994990096169139
"[75,80)",0.000239261816493737,0.00242861175691538,0.00311868138604927,0.000964871686711518,0.000271078439322148,0.000202314846050875,0.000289512264984841,0.000368813937147407,0.000415454896054896,0.000756317777970812,0.00190809545012264,0.00254164469399902,0.00148299209176279,0.00122397458814816,0.00200794217657423,0.000739493854951834,8.20264465962581e-05
"[80,Inf)",0.00156936246178037,0.003563658283329,0.00262775562008297,0.00122557397621077,0.000499541034012091,0.000226281982616245,0.000138723360359907,0.000129794284563654,0.00018217257515725,0.000467601995620971,0.00146494430211284,0.00276139118373594,0.00297401735009988,0.00249020084308281,0.00111575350432991,0.000106870526542056,7.88688004838039e-08
