"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00264583324352361,0.00426274221303362,0.0031928201012098,0.00332094905955447,0.00667512982426531,0.0145601633901789,0.0240257134265803,0.0291061370710485,0.0300220012428112,0.0282711177040696,0.0217538827981807,0.011970765970655,0.00491888835507189,0.00190750410706318,0.000851227595606227,0.000459960722738843,0.000343718547813399
"[5,10)",0.00424245322499222,0.00971139971542516,0.00745583426316376,0.00608246929112713,0.0127910860387083,0.0242310413483815,0.0327698650638595,0.0348121672868646,0.0347710987452164,0.0341151134051297,0.0291581013732695,0.0190358296832374,0.00960148520328753,0.00443264306304258,0.00220615427305099,0.00129890136041419,0.00100031061325442
"[10,15)",0.00317391853699306,0.00744714104544775,0.0223897788569682,0.0191283477290353,0.0260758948726947,0.0358196653495836,0.0395838459242108,0.0383223070856313,0.0377191525484342,0.0378958782142162,0.0337616996478492,0.0238090493970021,0.0138297539145978,0.00766392295514682,0.00442027503029472,0.00279935256140277,0.00216414056577812
"[15,20)",0.0034190859195438,0.00629215963734712,0.0198108875036725,0.0858171790831016,0.108587933572472,0.107582402657511,0.102910217768214,0.0945876020490817,0.0918529750473593,0.0921401594145699,0.0815958037392375,0.0568352808511301,0.0335569674858987,0.0200293883165423,0.0131475086911761,0.00917125576218807,0.0070043472243105
"[20,25)",0.00733033729071771,0.0141137905707035,0.0288059456056332,0.115823853414704,0.328233168442214,0.32912537647211,0.287525713634982,0.254359141187937,0.238981991654299,0.232274018903899,0.199789628794434,0.134923325755552,0.0777679549672794,0.0467083612031022,0.0330491681111287,0.0258561042813257,0.0213239434936637
"[25,30)",0.0166502570141642,0.0278418942023488,0.0412054717309655,0.119494559284977,0.342729762836838,0.551849622687333,0.506497866055835,0.432331317570254,0.389109662640446,0.362355945533388,0.301792205278384,0.199473150070938,0.113083355446952,0.0670283599847721,0.0483303886915118,0.0409604553048608,0.0405977202305613
"[30,35)",0.0276895355005903,0.0379477506219399,0.045891899993599,0.115199362159858,0.30175315962129,0.510460691679181,0.613123647508205,0.538616878246354,0.462936270071669,0.413795194761244,0.335463197706366,0.218966429560681,0.123372964773788,0.0722333488406112,0.0514213185851848,0.044698418941181,0.056369318283569
"[35,40)",0.0328072553733677,0.0394265156612822,0.0434525881033205,0.10355515998079,0.26107689400841,0.42613512404316,0.526775914354857,0.587615660600296,0.519223609503669,0.451266947167293,0.359671960128801,0.232200290935108,0.129407043508475,0.0745100816459762,0.0519542031138096,0.0450666235495026,0.073253709642783
"[40,45)",0.0332731786988275,0.0387208671929805,0.0420528325410828,0.0988780927282604,0.241187940137707,0.37711341029874,0.445180860124041,0.510532926497745,0.557741887526526,0.501868534033596,0.395502099569825,0.250723546785013,0.135985374840688,0.0760960218675366,0.0522402998561093,0.0459088508556902,0.0965509674126801
"[45,50)",0.0325251591581294,0.0394362197502078,0.0438578260686631,0.102962151834551,0.243339630585962,0.36455003992218,0.413068917884163,0.460600757337152,0.52096886025763,0.563165266753989,0.459228864709908,0.282285027513584,0.147059263535252,0.079702523829299,0.0546761305690997,0.0501499735319292,0.127119189034591
"[50,55)",0.0264582249679284,0.0356332281874209,0.041307308258843,0.0963926554742299,0.221275137264582,0.320979462811199,0.354021326559555,0.388101367702195,0.434028312127939,0.485485928301138,0.487607053986304,0.30767939179846,0.154413945266342,0.0822967893247872,0.0573769459843068,0.0548871980907624,0.133755268208985
"[55,60)",0.0150419196407378,0.0240339493306411,0.030095533960046,0.0693667797771059,0.154384650822963,0.219185124656705,0.238736862961494,0.258856309043512,0.284263954068321,0.308313623775992,0.317874589070981,0.251555827201572,0.132416951035851,0.0711004485279584,0.0501286846269218,0.0469720792071964,0.0823392296292597
"[60,65)",0.00618827047206794,0.0121370389537493,0.0175023130485245,0.0410050389171619,0.0890920103562503,0.124407429048395,0.134673747571825,0.144435818919792,0.15436181297156,0.16081192729527,0.159722066569643,0.132575899335743,0.094398620651741,0.0562991244034732,0.037827029863362,0.0305120729705605,0.0304764711418684
"[65,70)",0.00221066905715608,0.00516170308378454,0.0089348662161441,0.0225464482295425,0.0492933846329947,0.0679300839050678,0.072636786551617,0.0766104407804699,0.0795729667383703,0.0802885977327856,0.0784182637730692,0.0655766561168871,0.0518629921905693,0.051982561517166,0.0355199215413576,0.0210439816170496,0.010894636052035
"[70,75)",0.00079157273188144,0.0020613560703391,0.00413497697962891,0.0118751962861277,0.0279860381252062,0.0393016447372755,0.0414905280347047,0.0428627952589699,0.0438324895598302,0.0441943195035607,0.0438690913024994,0.0370979674574073,0.0279605075918836,0.0285009199193638,0.027184236378239,0.0116450349832021,0.00342384749012387
"[75,80)",0.00032346763130496,0.000917821568471567,0.00198037006252127,0.00626456738329566,0.016558040085476,0.0251895357215698,0.0272748810001208,0.028117698709268,0.0291307622528268,0.0306552129290276,0.0317363678550913,0.0262886655535917,0.0170560897671379,0.0127696720414038,0.00880654882650203,0.00150409251391802,0.000215479642126604
"[80,Inf)",0.000332414851365495,0.000972040441528455,0.00210543379326942,0.00657956704817286,0.0187793575926472,0.0343340000634398,0.0473021471902269,0.0628523823958261,0.0842518461678669,0.106859247675377,0.106356595362773,0.0633728043728058,0.0234282477140521,0.00909142428769389,0.00356079302869422,0.000296328631492564,3.5258744099628e-07
