"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.847583802316941,0.317682670900181,0.0480395941776528,0.0238860760520921,0.0311423539505647,0.0517008988128467,0.0663101641741877,0.0667611256982152,0.0644086496702499,0.060167706634336,0.0475733099100338,0.0290041477369984,0.0128839300825173,0.00388996342534914,0.000889602638769558,0.000273463220833492,0.0014569580181558
"[5,10)",0.335994436768342,4.67246829539542,0.399010923052712,0.0334527226569299,0.0388033500543334,0.0819621727487807,0.132877792795433,0.134623951246746,0.123869354223081,0.135132362173745,0.132404408204281,0.0816216279183947,0.0337752107968932,0.0134220142799448,0.00593427425251769,0.00291663731897635,0.00334768097885323
"[10,15)",0.0520338626087913,0.405195074839457,7.12015285274489,0.473935928761143,0.0619358919671666,0.0672609705671504,0.116651482796635,0.14981057805039,0.143476999345696,0.149844774693466,0.161016932612279,0.105155070287749,0.0347030097131969,0.00993485976861093,0.0048814405196101,0.00376468317781177,0.00240084938528129
"[15,20)",0.0259262174411996,0.0341022409731692,0.475001288969357,5.81394827532258,0.321884697241363,0.0683473947681115,0.0630567651461916,0.0905466327387443,0.11084044631077,0.113569670659976,0.104440958271937,0.0654209073072475,0.0202252801252325,0.00414474571108743,0.00135049369744245,0.00118091311893179,0.00112478125792706
"[20,25)",0.0349813693147027,0.0409365926437639,0.0642304596086955,0.332354320295875,1.76068453399767,0.19049481818889,0.0570983279495342,0.0456001471716447,0.0624746104946011,0.0789486188188684,0.0672144137088698,0.0349812330124294,0.0104830313395662,0.00218174602156984,0.000534916519106627,0.000343937342577995,0.000479027321694431
"[25,30)",0.0643485005450232,0.0958100134817238,0.0772888298219729,0.0783732677122228,0.210694636441685,0.482967959724119,0.13030651398954,0.0396995241419384,0.031128470224547,0.0461423373307782,0.0529302230616956,0.0299998959194042,0.00887068923044898,0.0021323958623242,0.000592389102776606,0.000281429766502329,0.000238016781789948
"[30,35)",0.0962424500358414,0.181132371481303,0.156311199148901,0.0843187007831668,0.0737776110769755,0.151838347774199,0.279369781050665,0.0937790690327344,0.0317050829458549,0.0312507082825024,0.04973181716957,0.0457808683329858,0.0173780934290313,0.00424429662839467,0.00117806446218264,0.000470564080215956,0.000168176878363992
"[35,40)",0.109237222146899,0.206883774125665,0.226309476789464,0.13649758031061,0.0664244354405963,0.0521905603559754,0.10569076153963,0.173758516506967,0.072578364404971,0.0383031914065293,0.0478925128990795,0.0622201203866065,0.0358099160850857,0.0094947416441895,0.00208348802360936,0.000672628966787934,0.000177312089202353
"[40,45)",0.110303544088894,0.199235280889287,0.226851064661042,0.174883642369868,0.0952496657738373,0.0428314436424415,0.0374099905972461,0.0759591809224759,0.115689628815605,0.074119787849657,0.0516793970529998,0.0481285800582968,0.0328767241539853,0.011532747366787,0.00263627466591212,0.000793096699457615,0.000261512664274654
"[45,50)",0.101666767062363,0.214452949818937,0.233760120511303,0.176800534392353,0.118761239808397,0.062643325843368,0.0363821913027943,0.039555194042288,0.0731319888352618,0.108637793817696,0.0758270224751343,0.0347855580774043,0.0158090583956623,0.00736883323828299,0.00304010074262545,0.00142244871675361,0.000661509277146676
"[50,55)",0.0757963825290515,0.198127452510347,0.236848110023761,0.153306867553571,0.0953371480292258,0.0677561150185296,0.0545924860374224,0.0466343296763881,0.0480792047972241,0.0714992872846458,0.0892516283129434,0.0433101211546272,0.0117493873933994,0.00494734807296945,0.00376167062707915,0.00338242467030962,0.0019478156717352
"[55,60)",0.0424044676177418,0.112076319184571,0.141936793078528,0.0881198442886489,0.0455303774512064,0.0352395956374031,0.0461157169722319,0.0555949516412511,0.0410874589194396,0.0300978120885668,0.0397431722601889,0.0493060662728657,0.0218394689344813,0.0066502368509572,0.00388313590507859,0.00416819744687468,0.00340136879988177
"[60,65)",0.0168217555155396,0.0414169511828287,0.0418314928127175,0.024328938155402,0.0121849702270671,0.00930550579742903,0.015632862859757,0.0285745410658255,0.0250649142239945,0.0122155606884204,0.00962837663371907,0.0195038453128831,0.0341455285963743,0.0149323273029116,0.00365039430610307,0.00217019170212635,0.00331919719761838
"[65,70)",0.00449803189229827,0.0145764514171583,0.01060600964839,0.0044155067688444,0.00224592803324815,0.00198109136711415,0.00338139708451702,0.00670985550073948,0.00778689858494784,0.00504266578646458,0.00359057802341069,0.00525971992608303,0.0132246793796611,0.0200970079861613,0.00560476369691403,0.00158123996259117,0.00246981540440548
"[70,75)",0.00091759339865097,0.00574882292780771,0.00464852834976573,0.001283371620549,0.000491196042085832,0.000490931547392995,0.000837214431860551,0.00131340368268138,0.001587813908306,0.00185578063327049,0.00243528544740984,0.0027395882960883,0.00288383918761814,0.00499960658235927,0.00607010083051984,0.00230747378109783,0.000966613113990544
"[75,80)",0.000256540520689799,0.00256978373619026,0.00326060916372885,0.00102065894532154,0.000287244028884315,0.000212122501292148,0.000304151003074363,0.000385643145773946,0.000434448115144951,0.000789729042775938,0.00199159061049622,0.00267456910787604,0.0015593090106297,0.00128285572480074,0.00209864935759948,0.000761312305853041,8.15253783391822e-05
"[80,Inf)",0.00196639932698845,0.00424351600246106,0.00299159541549453,0.00139861570888556,0.000575571914888499,0.000258102326823709,0.000156388350486167,0.000146256787248668,0.000206097219130795,0.000528378409059281,0.00165001322202821,0.00313998010407796,0.00343111106834293,0.00288278438942794,0.0012648037480114,0.000117289865160249,8.35854716169991e-08
