"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.780749865804802,0.290475149832179,0.0386915215161334,0.019469818761681,0.0254632414948312,0.0418896068066624,0.0536501192563957,0.0541048999387706,0.05218223967903,0.0486291643493586,0.0383540926857944,0.0234765664147492,0.0105229857881636,0.00320403306046562,0.000727154131005004,0.00021954761791614,0.00137766212065082
"[5,10)",0.289834277294898,4.62240092418561,0.360005957189043,0.025490900936026,0.0298805604403282,0.0626924727081402,0.101461465577678,0.103021795677701,0.0947444838425531,0.103425467373405,0.101045399832292,0.0624767163927832,0.0261036365969873,0.0104165676921854,0.0045816545236587,0.00223136198081131,0.00275754985397557
"[10,15)",0.0409051711074543,0.378894526342128,7.07583635264302,0.417981461113336,0.0495928082395195,0.0535493698404203,0.0923817390650669,0.119384399605537,0.114565627369184,0.119660065340065,0.12830455093311,0.0840092666242631,0.0280374354014419,0.00800883959015782,0.00387785403547069,0.00298556531310498,0.00181321657291774
"[15,20)",0.0246836742724909,0.0324143388636973,0.487392124087438,5.72175352336544,0.307458999420064,0.0657983210441176,0.0594777690860088,0.0851696472275256,0.10495038639117,0.107686891026322,0.0985466218355511,0.061765164337693,0.0193827193031555,0.00399760841548732,0.00127140473007305,0.00109875907766194,0.000989936568209836
"[20,25)",0.0401458967899966,0.0472520112266919,0.0739577637249536,0.376113333289979,1.80118346833488,0.218420463928612,0.0660594813170985,0.0519076008351157,0.0710807972629847,0.0901102467345767,0.0765601020920755,0.0399779371148563,0.0121447846299332,0.0025590129257724,0.000619184898405357,0.000390811602724611,0.000516050204233024
"[25,30)",0.0778034772892012,0.116791761290228,0.0940772649068287,0.0963961386257441,0.256668813382527,0.555425181733757,0.15980646376312,0.0486077736608118,0.037989535188948,0.056469731437767,0.0644788647071057,0.0366580067028648,0.0109868172356815,0.002662703739962,0.000733016026515106,0.000343842209428638,0.00027472149039893
"[30,35)",0.109440128060443,0.207592240877103,0.178250037165221,0.0957001620991301,0.0854699766809396,0.175446102821793,0.316324611496697,0.107665925564364,0.0362943083843294,0.0360937588001997,0.0573311488992595,0.0525112697429009,0.0201477868619499,0.0049657127439004,0.00136786457993121,0.000541010193432935,0.000179108900559749
"[35,40)",0.11393038887194,0.217588621982999,0.237787026385906,0.14146204498221,0.0693276474225262,0.0551081698041536,0.111134821122185,0.182548460112183,0.0759112975111467,0.0401495647797476,0.0505614955732865,0.0654782776057249,0.0380516363268578,0.0102234955412351,0.00222843791473435,0.000710438096900988,0.000170917282096977
"[40,45)",0.111737579972097,0.203486014083217,0.232043003527667,0.177260793782163,0.0965386811373797,0.0437973468071154,0.0380986134179463,0.0771920063117618,0.118034583604936,0.0755089579488529,0.052760376358691,0.0491728209328284,0.0338674504585575,0.012066335356184,0.00274821178302701,0.000814439616794451,0.000246736941392052
"[45,50)",0.108275395063722,0.230974772112443,0.252011175853697,0.189124551549316,0.127256412081367,0.0676949028195885,0.0393966397554091,0.0424532390066758,0.0785139370241086,0.116794953925777,0.0815431989543189,0.0375204792122715,0.0170879073647175,0.00802290539399284,0.00332029460214863,0.00154677975814243,0.000668609368665424
"[50,55)",0.088891441664268,0.234892347298745,0.281272900721142,0.18015324103755,0.112544238095352,0.0804586784549136,0.0651377841117194,0.0556499997066527,0.0571057152315124,0.0848783692545746,0.10558590753631,0.0517685968715916,0.0141836322613634,0.0059321505275718,0.00448712526722059,0.00404703523956642,0.00217334594418699
"[55,60)",0.0515393222936213,0.137570845176323,0.174449172070189,0.106954688643605,0.0556668991473491,0.0433291577602931,0.0565133098202782,0.0682650464045092,0.0504141793505246,0.0369947017726852,0.0490372058378999,0.0605116001513989,0.0271251145798314,0.00828228262001473,0.00477342992506368,0.00511624502464071,0.00393261681648298
"[60,65)",0.0189427387290449,0.0471312420573427,0.047739697856956,0.027521404522045,0.0138664767619592,0.0106483658014917,0.0177797329001909,0.0325292568145571,0.0284714603655674,0.0138152801474889,0.0110164840962636,0.0222423837397725,0.0385380119251855,0.0170573130581014,0.00416289611144957,0.00246391630455577,0.0036553931476354
"[65,70)",0.00422990946522967,0.013793129340723,0.010000950398862,0.00416280853304404,0.00214278742057246,0.00189262341235107,0.00321373287502862,0.00640959389240517,0.00743931466817988,0.00475699597643291,0.00337907638887838,0.00498058097116103,0.0125097931399373,0.0191308936384304,0.0052833314280453,0.00146880464187256,0.00229772490902655
"[70,75)",0.000692196002995776,0.00437450618298854,0.00349165772013902,0.000954637601192459,0.000373848370695434,0.000375684569810101,0.000638322002450475,0.00100739587655243,0.00122173288248962,0.00141953550838814,0.00184298826134227,0.00206980312548438,0.00220137686969572,0.00380961237672252,0.00467305843202557,0.00174480317306767,0.000700580972888394
"[75,80)",0.000168861078600945,0.0017213728286719,0.00217202590536493,0.000666584802250701,0.0001906517533754,0.000142386001696168,0.000203986006945203,0.000259492069896602,0.000292538597282376,0.000534313736327176,0.00134304195375961,0.00179245408808848,0.00105274453521967,0.000855718226824939,0.00140976137895354,0.000519462567991154,5.04730119524455e-05
"[80,Inf)",0.00166209640811612,0.00333688278274509,0.00206919189244414,0.00094204785032641,0.000394891670258262,0.000178448706331281,0.000105931411860699,9.79256561135926e-05,0.000139018028241847,0.000362287192176764,0.00113134254177011,0.00216118030441909,0.00244987429815659,0.00209979763586854,0.00088791055798213,7.91720581745788e-05,4.94003833645489e-08
