"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.22034604264239,0.638407852972936,0.232179974274548,0.13793634091144,0.165198151171278,0.346661525581475,0.618311738461759,0.597367649360384,0.386407137194979,0.282188877553303,0.260360632505952,0.239423618921085,0.208448517194031,0.184147320134683,0.148864219131777,0.0946920439217517,0.0492059564782599
"[5,10)",0.655604258740909,2.87669316740396,1.12192094611135,0.292890129320115,0.182597301607129,0.229754788405601,0.394174028307152,0.494723384451106,0.374344423939932,0.241661304681739,0.204691437513838,0.218681282842736,0.233834618905431,0.239270363466826,0.218743408742644,0.159514300207719,0.0955143472348366
"[10,15)",0.239997351889422,1.12927678920071,4.50124271136164,1.31797729151924,0.372613391725328,0.25461705371476,0.288329009802954,0.372779989780456,0.377185906140771,0.268930171671908,0.171094024039969,0.135364060209008,0.136760169733296,0.14370614986294,0.132358356680616,0.0993476894360354,0.0685684077611329
"[15,20)",0.139962424813919,0.289396948277178,1.29377571022358,4.23540733092039,1.35295197037945,0.521181368263681,0.393740542960559,0.3843678382512,0.422983086605162,0.409733468211485,0.286252604233703,0.166003434522837,0.12036344588257,0.119496880664972,0.119111678495463,0.0971318180122306,0.0781755811614195
"[20,25)",0.161447672565855,0.173771046220852,0.352292481224128,1.30309545098593,2.82727757096664,1.08000457891608,0.586205287820575,0.451231124350082,0.415902028881457,0.464089787077133,0.457743508203739,0.308473469413372,0.177994702638151,0.136647733877423,0.136980240296377,0.123135576147704,0.103451352112586
"[25,30)",0.320567617551021,0.206887871540048,0.227782210397681,0.474974320957856,1.02191081739796,1.5374054452773,0.776841278874017,0.497177898738894,0.394266565250776,0.393041756232585,0.467858755263508,0.456383923444618,0.309882814860772,0.187890610003228,0.142006545905915,0.12008454323064,0.0991690106438303
"[30,35)",0.526645294230587,0.326930302766231,0.237584096276072,0.330512656997002,0.510897575889345,0.715531908233422,0.980620942021868,0.589323783187651,0.410639846386624,0.358194412105005,0.379158269722945,0.436816395696119,0.416945110484293,0.286012044587796,0.164252703978031,0.100764258426899,0.076065987027174
"[35,40)",0.455512110134427,0.367347527813433,0.274997742736119,0.288850093425853,0.352071337441922,0.409973737219068,0.527595982305998,0.755686380742772,0.483598239374987,0.362183730330834,0.324586327983984,0.324068190647913,0.360726112063046,0.348246474881606,0.228532241727065,0.108130861872561,0.0576817558154733
"[40,45)",0.260571693867737,0.245815871069613,0.246068409533167,0.281107441117952,0.286976628847648,0.287513366871469,0.325111602665022,0.427669796247205,0.577624386039508,0.373600361076244,0.283879827102563,0.243204343590897,0.241936891485647,0.280686222934411,0.261481084694437,0.140811242138552,0.051394390489319
"[45,50)",0.167729459635726,0.139872721853455,0.154641941600847,0.240014864330246,0.282257090821684,0.252635363200689,0.249964046079681,0.282319037838262,0.329302210823432,0.423053540002499,0.285510258300624,0.21680357492063,0.1910746289255,0.197452233476136,0.214268728751662,0.160733771973953,0.064761181902494
"[50,55)",0.135191558572358,0.103497625835553,0.0859463438837858,0.146484254986036,0.243203513460832,0.262709036954101,0.231144771028253,0.221027469624324,0.21858818921527,0.249417268166299,0.379569207789344,0.272879832473922,0.210078332704474,0.185922182573394,0.177050903453099,0.160297071655308,0.105281308140157
"[55,60)",0.105277142519658,0.0936343424786879,0.0575822696694665,0.0719368495839256,0.138790042791565,0.217011840175359,0.225504551677428,0.186872447676767,0.158582890007079,0.16038512280729,0.231081022457125,0.388410176741569,0.273068234906106,0.212895594008885,0.187155184548023,0.162267533198153,0.145253788021805
"[60,65)",0.0728429600264003,0.0795708574641507,0.0462345585530888,0.0414524907533722,0.0636457262538125,0.117104143471858,0.171063338701069,0.165313426692519,0.125374373243337,0.112336876520028,0.141382540180538,0.217016552806369,0.319715682026024,0.235892629554402,0.198046511657881,0.154153601096265,0.11795518837938
"[65,70)",0.0471263321925574,0.0596270881097275,0.0355788494908826,0.0301385288343454,0.0357827789107675,0.0519983194785127,0.0859353486716107,0.116876376360405,0.106521491089765,0.0850140746618844,0.0916336928975335,0.123907562350913,0.172752298158303,0.267634396113973,0.203214388843193,0.12291587102942,0.0722615185656921
"[70,75)",0.0263774185062465,0.0377427374834191,0.0226888059998674,0.0208000104973148,0.0248355215099238,0.0272104876266062,0.0341699054925991,0.053104487029357,0.0687068673399175,0.0638750574107654,0.0604179320652853,0.0754182986486992,0.100420039595825,0.140701324105747,0.218666635695769,0.108332913735939,0.0580738238713971
"[75,80)",0.0107899261653212,0.017699502505879,0.0109516879793038,0.0109077140107248,0.0143569412339367,0.0147971503578107,0.013480337905597,0.0161583279604549,0.0237936032116081,0.0308136157622192,0.0351767987103171,0.0420503406471876,0.0502654854515984,0.0547286465157182,0.0696664113612526,0.0833913009681846,0.0402957034658958
"[80,Inf)",0.00493255793478622,0.00932351305479551,0.00664962096023146,0.00772312169990001,0.0106111897823091,0.0107501987023859,0.00895229336164178,0.00758289007839616,0.0076399081975626,0.0109219410235991,0.0203250457712059,0.0331142471699087,0.0338362940149252,0.0283050133128101,0.0328543571241581,0.0354493500268679,0.00927722669942304
