"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00715347210964178,0.0118692635224357,0.00894589879873545,0.00919285358574299,0.0183525068317059,0.0402294703670912,0.0668716952830377,0.0813757483130076,0.0840697933504698,0.0794113491332047,0.0615208741488226,0.0339312205858161,0.0139290884719057,0.00536042066024009,0.00237197881799793,0.00128575584520226,0.00093662537613247
"[5,10)",0.0103287838598693,0.0235176573330391,0.0182827769806149,0.0146114987927093,0.0309910278417025,0.0593202990009803,0.0807572490023015,0.0860457375252497,0.0859562888630255,0.0844812670301056,0.0726014582848502,0.0475424443793288,0.0239753632563229,0.0110010174596658,0.00543515583784114,0.0032083203482531,0.00243723924547955
"[10,15)",0.00681307205504013,0.0160005807365151,0.0482639515233611,0.0404722053178139,0.0555204924535625,0.0767960912050116,0.0851933870491604,0.0825844653769484,0.0812147098659598,0.0816801948124871,0.0731562652697251,0.0517579025259031,0.0300616947020442,0.016576210624632,0.00950206762098007,0.00603185546259937,0.00466841723209079
"[15,20)",0.00617545660796035,0.011279454080526,0.035699045118483,0.151543512886087,0.195243617188628,0.194492923070455,0.186520505564983,0.171557837960573,0.166502210904092,0.167290953850076,0.149073887874401,0.104250940816482,0.0615798788525047,0.0366012400480434,0.0239031053371861,0.0166995121141356,0.012903018486967
"[20,25)",0.0108306284819517,0.0210169081959362,0.0430221958163239,0.171520635852172,0.491711982376264,0.494052579205485,0.431744104774211,0.382043268753439,0.358885913720166,0.349483614362798,0.302525638803107,0.205047842024624,0.118202541492896,0.0706627481616654,0.0497681174413179,0.038942631021257,0.0324436035754635
"[25,30)",0.0207366426836211,0.0351375958629185,0.0519773631771899,0.149237924833681,0.431528055118127,0.700865706244061,0.643169822692749,0.549096334261469,0.494318844432364,0.46129660693321,0.386485838772707,0.256230732851751,0.145239573339178,0.0856655538273916,0.0615073919694961,0.0521018571451293,0.0510171585096291
"[30,35)",0.0300377117657004,0.0416850773139936,0.050247145637155,0.12471892676031,0.328618995875418,0.560474737521588,0.674769905764608,0.592895267141709,0.509825064063696,0.456647413079519,0.372192543979223,0.243562731355083,0.13720578905106,0.0799404277108407,0.0566663897664189,0.0492090081786562,0.0584450463926349
"[35,40)",0.031598840659699,0.0383954796926024,0.0421071176859918,0.0991671853356132,0.251379837765019,0.413647656993605,0.512542195496409,0.572028212595094,0.505678580474047,0.440330706174977,0.352718401501861,0.228262575235765,0.127209370764365,0.0728959431744919,0.0506046468988814,0.0438307483144009,0.0627143306438183
"[40,45)",0.0272317662189742,0.0319954387205171,0.034542321827549,0.0802854976218042,0.196985372701449,0.310633913244483,0.367648247660508,0.421826864389143,0.460586623941705,0.415173281608048,0.32888144459571,0.209080110711358,0.113455501712901,0.0631965426725095,0.0431803262523467,0.0378480636312559,0.0653471713824309
"[45,50)",0.0200826149881978,0.024551198029331,0.0271228580862202,0.0629783697018902,0.149763590048888,0.226320460824177,0.257095323664472,0.286774483346466,0.324138975079796,0.350120197319655,0.28707036888611,0.177086593177189,0.0923447228579551,0.0498032411382302,0.0339759862118256,0.0310234495781107,0.062432128270723
"[50,55)",0.0114818074411447,0.0155706839015224,0.0179275229134139,0.0414162342367367,0.0956735048142035,0.139935278875937,0.154643232044608,0.16952733128832,0.189492184588683,0.211854864683539,0.21378907823918,0.135295834957121,0.0679230016305324,0.035981230301581,0.0249332026999046,0.0237476416962916,0.047583345486376
"[55,60)",0.00479886691677762,0.00772672246961595,0.009611626603314,0.0219482791575486,0.0491401143068179,0.0703033974443032,0.0766876707326013,0.0831376573076596,0.0912885092051895,0.0990346608605829,0.10252644275033,0.0816337870092664,0.0429001904531441,0.022880072378558,0.0160475645554925,0.0150192076340295,0.023592163312315
"[60,65)",0.00154937112785296,0.00306459113240554,0.00439063384287588,0.0101965407860532,0.0222792882317599,0.0313417756102157,0.0339766600766099,0.0364397771722395,0.0389603179427126,0.040616935771799,0.0404819915902451,0.0337405966750304,0.0239601110864051,0.0141805506258522,0.00949869046045365,0.00769700318142147,0.00766007332339487
"[65,70)",0.000443286866868071,0.00104542631809684,0.00179991604175442,0.00450570818141046,0.00990189351880733,0.0137435235190449,0.0147172933889014,0.0155243418778024,0.016134053100535,0.016285680544366,0.0159431539595687,0.0133783995675853,0.0105425659188681,0.01050135355158,0.00715967193870664,0.0042848691067731,0.00241488796723041
"[70,75)",0.000141728029475931,0.000373191313127909,0.000745493837956194,0.00212608457462984,0.00503892496627977,0.0071298127750164,0.00753782368289991,0.00778680300302474,0.00796516967624969,0.0080274817394585,0.00798243239018583,0.00677976827323937,0.00510241661293923,0.00517311428750218,0.00497333752609233,0.00215875873441542,0.000727481333411148
"[75,80)",5.05585236610268e-05,0.000144973353451165,0.000311435274822042,0.000977509368339883,0.00259479410090433,0.00397461393545346,0.00430780440389957,0.00443852436370879,0.00459455771646828,0.00482378869112494,0.00500343892293525,0.00417583830816135,0.00272097643528716,0.00203745227086632,0.00142067599300676,0.000252905172786533,4.33553246967882e-05
"[80,Inf)",2.95246148678056e-05,8.82858426670386e-05,0.000193227521574935,0.000605467601974992,0.00173296241245836,0.00311989844748651,0.00410148867340936,0.00509106871563678,0.00635929957761393,0.0077819560418232,0.00803684389621578,0.00525831820144522,0.00217079336796363,0.000920511707277279,0.000383791394687311,3.47556078035604e-05,5.5900298303515e-08
