"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.553511112885932,0.289361868476488,0.105093411738141,0.0625230514693244,0.0753397696029548,0.159077337613179,0.282130682689513,0.269408834462156,0.174438406863215,0.127980640274138,0.118116369948173,0.10838890918251,0.0942287767225996,0.0832443942513212,0.0670899828708562,0.0423888097089922,0.0220278446850184
"[5,10)",0.297007708881791,1.30545198246509,0.507031449727647,0.132372797372159,0.0827788024352087,0.104910454444445,0.180300964839205,0.224144695920541,0.168890811649756,0.109448602490607,0.092831712997389,0.0993247127443085,0.106165718061145,0.108490415644678,0.0987954904352158,0.0716793016775861,0.0403213632593522
"[10,15)",0.110907856955463,0.52130909170838,2.08597879046969,0.608359062956346,0.172093204880715,0.118024536367959,0.13423584390453,0.1732267650821,0.174428651281361,0.124472294283874,0.079107842603499,0.0625912145959864,0.0634035326519959,0.066512433198799,0.0610240093623317,0.0456156895875513,0.0299358287817553
"[15,20)",0.0683996175751816,0.141086621189943,0.630647484189215,2.07069887578621,0.659394057261831,0.254592418186589,0.19282256588932,0.188524199151185,0.207340734489084,0.200784615161826,0.140107171630477,0.0808077021699523,0.0587820228342355,0.0585921423870354,0.0582129836821133,0.0473177677884337,0.0370632598919898
"[20,25)",0.0867570684496904,0.0928695408726124,0.187783522279087,0.694084109865663,1.5011564284475,0.573947573007458,0.312531137057612,0.240825425938171,0.222446067515696,0.248199129034115,0.245058921281097,0.164274003447393,0.0945156764720564,0.0731468522713587,0.0733304797123252,0.0656803688547972,0.0535774872795751
"[25,30)",0.199367836035623,0.128097049880794,0.140162637686133,0.291661254566872,0.62465241599319,0.937341093972937,0.474968560755192,0.304670350652057,0.242285393509518,0.24150081731028,0.287641516105667,0.280493312939157,0.189355962979635,0.115106843142672,0.0871610265707729,0.0734624032901058,0.0583026491786059
"[30,35)",0.397196810610726,0.247301677351517,0.179075885677502,0.248141716892396,0.382092175199728,0.533548023325229,0.732042771464371,0.441047187424437,0.308284401563416,0.269103171516279,0.284187808976249,0.327486630280652,0.311904637192293,0.213557683828857,0.122707222813011,0.0749699425083533,0.0543776543314602
"[35,40)",0.427936000443136,0.346871832880279,0.260732496573155,0.273728859051095,0.332191676592564,0.386144987420199,0.497618610773903,0.712641845547739,0.457940571189566,0.342895951751997,0.306684828013461,0.305585842422486,0.340551439816019,0.328162324608123,0.215003261653036,0.101220380834828,0.0514596942978793
"[40,45)",0.297629227311079,0.280745669831452,0.282009972047144,0.323373621321099,0.329592724847781,0.329848046981066,0.373619541775603,0.491898611171753,0.661762236660524,0.42947732751619,0.325543445381943,0.278442132282427,0.277842594257866,0.32252334732261,0.298439526400482,0.15937408697857,0.0535784024932875
"[45,50)",0.211210394262284,0.175976553474553,0.194651108277758,0.302892091090779,0.355705582365059,0.318011505173155,0.315452803944808,0.356259436109595,0.415410802051848,0.532761124748796,0.359313354611911,0.272530492515688,0.240477191038592,0.249519775345413,0.269588784285198,0.200205995405376,0.0720358756363618
"[50,55)",0.181304727835354,0.138825415101511,0.115061956948446,0.196582971769362,0.326654747456355,0.352292847436108,0.309848250797522,0.296363243382517,0.292869757842685,0.334196108182904,0.50976624713257,0.365124768650501,0.281367781701364,0.24941213913666,0.237510811793285,0.2144495461079,0.128026312386242
"[55,60)",0.163493784089377,0.145964517605602,0.0894628968872467,0.111418074765829,0.215181366193787,0.33759198793177,0.350876709739195,0.290190131710755,0.246160228179375,0.249092408871674,0.358805141077915,0.605721799529634,0.424333592910981,0.33216864326125,0.292159677857727,0.252974694323161,0.214113270419146
"[60,65)",0.150306397413788,0.164987785136435,0.0958342053667094,0.0857087047279328,0.130923370907263,0.241005035821281,0.353394927314873,0.341987035773554,0.259752222786876,0.232432468291944,0.292394528332575,0.448729815590024,0.66139514149782,0.490888117501208,0.41179764307285,0.318115427799047,0.234968759304684
"[65,70)",0.137029802821984,0.173990279958976,0.103747119776711,0.0881629077956435,0.104562292480551,0.151186981955181,0.249700725737161,0.340080526639103,0.311162841433043,0.248882291909275,0.267472159915368,0.362495206393643,0.506580703248118,0.788088982254685,0.595628469875156,0.355064519245848,0.209616448050398
"[70,75)",0.10092268704005,0.144791085459309,0.086985134536318,0.080045602092802,0.0957932855662566,0.104618064123052,0.131113019188718,0.203614724932875,0.263120085064544,0.245732124593515,0.232763816891567,0.291363402974688,0.388347995731428,0.54431027997397,0.838593514227282,0.412623888966721,0.232261744885211
"[75,80)",0.0528050537390242,0.0869944629552424,0.0538457821104933,0.0538809207014156,0.0710524846568919,0.0730201327477391,0.066337028266955,0.0793825862525524,0.1163612858815,0.151122920347083,0.174040515450938,0.208922371527517,0.248436319469779,0.268702377035703,0.341701992555525,0.40321389874024,0.193806797054586
"[80,Inf)",0.0410793038357021,0.0732588091848438,0.0528999830812983,0.0631802262225113,0.0867666500793545,0.0867546130545522,0.0720304463947893,0.0604159043821353,0.0585608490286309,0.0814008425896991,0.1555432854288,0.264714819039576,0.274705453130695,0.237474177188526,0.287937102333788,0.290132116597533,0.0536129821432375
