"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.12420927275844,0.93529330175087,0.467177043926184,0.31778107094077,0.457641501644423,0.861980647282379,1.16582020097918,0.886389621817164,0.479203530706091,0.320170335694479,0.330355131446946,0.383749127900287,0.359643269223682,0.26114197555045,0.178665297228404,0.135205184837876,0.0889587554915115
"[5,10)",0.756673222091383,1.22399522982815,0.804620571296198,0.290876841433299,0.192705481243725,0.33551112599817,0.736445649180072,0.979090437002708,0.658267076082031,0.328796480068356,0.21986850193025,0.226481617236801,0.255413638958193,0.236006008531849,0.177813862000911,0.130656036639621,0.0901101361311306
"[10,15)",0.327539234402746,0.697288377000168,1.1514172156717,0.590279711928994,0.20110689715266,0.151216857586301,0.297552381278967,0.636994704423366,0.755241458049773,0.47362981449539,0.238205341272035,0.158362408579069,0.15482531684946,0.16830330916446,0.157226999463637,0.122916040878475,0.0802332582054769
"[15,20)",0.220591097346663,0.249579299582842,0.584434679268905,0.94708944600279,0.476566353705099,0.181560798529935,0.152874607157354,0.290796500716277,0.556956425005898,0.620244713531557,0.391677842310122,0.194217795172458,0.118685091211371,0.107280237995008,0.115768714897229,0.110878440565326,0.0763991201464637
"[20,25)",0.335044668366987,0.174385686830134,0.210001520639253,0.502621115603329,0.792333348133014,0.432650301211129,0.18769786082491,0.155101558682158,0.263818603531496,0.47085608384579,0.520872824359692,0.323825107098234,0.149550825097574,0.084865343410334,0.0782511328948437,0.0896650617683606,0.0805148829096289
"[25,30)",0.617886853625509,0.297274615012533,0.154607235001918,0.187488039170445,0.42361481557198,0.662414461423859,0.398164218782345,0.171371645291544,0.128251382264961,0.206224980326106,0.368188268130568,0.404457759963825,0.24140166006085,0.106955116425329,0.0641819756266997,0.0656055313488892,0.0769267230546474
"[30,35)",0.713460566744695,0.557081271240142,0.259728730692724,0.134776382476402,0.156899085330855,0.339929760086008,0.536162891383867,0.317138551191498,0.12459433513667,0.0899155546916331,0.148551306866783,0.268443886674459,0.291220445273958,0.171369133078315,0.0802041071220152,0.0533407607729659,0.0578773415363543
"[35,40)",0.44757665353422,0.61108979345544,0.458771836243379,0.211530005949028,0.106974832508792,0.120717515568297,0.261669679219649,0.415778084987091,0.232757680357688,0.0897433584677508,0.0679274185999465,0.114318234696473,0.20399352111922,0.218959359690402,0.132502936589088,0.065828938168404,0.0427825327376191
"[40,45)",0.21427089700319,0.363818493773534,0.481667302050029,0.358760350769191,0.161128100119936,0.0800007011521398,0.0910338850124944,0.206112550118334,0.339421524645919,0.194804349209599,0.0801498793171181,0.0611792871940557,0.0972763629152104,0.16646537819683,0.17986690930217,0.112312297572017,0.0482805909967572
"[45,50)",0.135295114617226,0.171738490841557,0.285468518564206,0.377575788583436,0.271776499401526,0.121571242308356,0.062086539338566,0.0751035696518437,0.184101146790034,0.325578087733553,0.199181156711671,0.0819531835660363,0.0568389468823484,0.0834393379876687,0.144689549527089,0.162577196475769,0.0852501321240577
"[50,55)",0.128910813522199,0.106050023342983,0.132579980921288,0.220179732035049,0.277627627698884,0.200431879226536,0.0947210210050939,0.0524941176687229,0.0699468218301521,0.183931248406805,0.336511214480941,0.20192022614725,0.0757116927360333,0.0484086811328268,0.0745222693155058,0.137749653327959,0.135624881958143
"[55,60)",0.120432644709898,0.0878555574472314,0.0708870796974138,0.0878063419851145,0.138812964955111,0.177075531735496,0.137661323971126,0.0710508976708332,0.0429396061075537,0.0608641592759695,0.162393392302424,0.291891880508781,0.165323186801189,0.0588382997168644,0.0403497390168808,0.0674674606359143,0.1220647277354
"[60,65)",0.0766347381254004,0.0672724562000814,0.0470558782059823,0.0364325820723458,0.0435276524205433,0.0717600203903319,0.10139982472778,0.0860849740585743,0.0463572736741974,0.0286614884186838,0.0413436109260703,0.112251121054264,0.207139386440398,0.115904040936457,0.0426934749533539,0.0312471877815514,0.0599185634707222
"[65,70)",0.0341685502238062,0.0381691409613177,0.0314094756728925,0.0202213263486817,0.0151671132779794,0.019522704999033,0.0366390385183112,0.0567375552787755,0.0487113998202409,0.0258356678755229,0.0162317305788328,0.024530881744275,0.0711696292797992,0.137571390146783,0.0764503432514917,0.028399867393425,0.0230004903084487
"[70,75)",0.0162539772405511,0.01999514301917,0.0204016236693722,0.0151722746823823,0.00972372718726561,0.00814556254364698,0.0119227833210181,0.0238727352786633,0.0365954873182881,0.0311498229160377,0.0173738961187682,0.0116966999438369,0.0182275041196561,0.0531555986962485,0.100411733205761,0.0545658025260265,0.0169378017715029
"[75,80)",0.00999082105040201,0.0119337455363361,0.0129549148252647,0.01180307009866,0.0090501083071848,0.00676296051032162,0.0064406343127048,0.00963345164165859,0.0185605981136327,0.0284293179513947,0.026084952880953,0.0158856641380268,0.0108359010485794,0.0160388889136245,0.0443209376652468,0.0779174097453754,0.0310097549409705
"[80,Inf)",0.00673300444185867,0.00843011127537655,0.00866149374371795,0.0083300690725124,0.00832375059033181,0.00812243033738891,0.00715797832258927,0.00641274441972902,0.00817239974310273,0.0152691281330953,0.0263057860489943,0.0294383569560566,0.0212827554232835,0.0133047717891773,0.0140915188888107,0.0317622092477716,0.0466554310123137
