"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.827764941036446,0.30547655678672,0.0445252244776179,0.0224202056391771,0.0292265636942093,0.0483225594839417,0.0621366001016799,0.0626153770225554,0.0603982891857368,0.0563858366406676,0.0445939358099173,0.0273005058924907,0.012200743632557,0.00369110483542849,0.000846820806228036,0.00025892894387565,0.00122284721778591
"[5,10)",0.324392342211634,4.66867258772613,0.376470542150047,0.0316005637528757,0.0365955461978384,0.0767912110018197,0.12510758964928,0.127051905023273,0.116864548829355,0.127554495174122,0.125017605568448,0.0774481129724964,0.0321827563135852,0.0127658340022934,0.00565928348030013,0.00279193176434915,0.00300129494942192
"[10,15)",0.0531521478031681,0.413916582029823,7.14008529719983,0.461841613863787,0.0647409375519047,0.0692504926230555,0.119853057830353,0.154975397420487,0.148706883167878,0.155237488828654,0.166627334376079,0.109426707344449,0.0363330583630299,0.0103022914617489,0.00502075696513093,0.00388161238751957,0.00254552972488943
"[15,20)",0.031019335577899,0.0409167445168636,0.523960731812624,5.84840374434433,0.364311963646492,0.0826466821211152,0.0748949474323743,0.107535072569264,0.132113713113628,0.135446024277752,0.124287142064134,0.0781419134753234,0.0243986745540894,0.00498692642116878,0.00160614188310304,0.00138763105335178,0.00138030510542188
"[20,25)",0.0448930015659273,0.0526068700173464,0.083303868690587,0.401636976661519,1.8891071164287,0.243098993545326,0.0737102581509435,0.0585638606228273,0.0803630064009198,0.101449161416449,0.0863435802288464,0.0452052871234466,0.0136658071045099,0.00284471247038915,0.000695179416373887,0.000440844311468254,0.000623291347130217
"[25,30)",0.0773780105580628,0.115078048649616,0.0928914616497327,0.0956533432606568,0.253311948209411,0.554676930156417,0.157340329666166,0.0479274390221971,0.0378501023005235,0.0561689963755156,0.0641157245795344,0.0364653059024111,0.0108628023697665,0.00260681949054519,0.000722787861059737,0.000342129562683697,0.000295008346618937
"[30,35)",0.104690080945993,0.197267276396295,0.169157970925433,0.0912047946563956,0.080850943834179,0.165513866893491,0.302258315767398,0.101706641960791,0.0344049528269549,0.0342099251002672,0.054310717056178,0.049985060862562,0.0191073802778401,0.00466550824353158,0.00129595666976661,0.000519253552559674,0.000194374080337378
"[35,40)",0.112459871668251,0.213555670341669,0.23316568820717,0.139596270818018,0.0684771055384017,0.0537567713314124,0.108404309762273,0.178765145455018,0.0744715041722091,0.0394601488981207,0.04939626661115,0.0642050633940086,0.037317497727881,0.00992892968400793,0.00218165626591014,0.000705891288921853,0.000196528915374667
"[40,45)",0.116143898310797,0.210313858307036,0.239545563527349,0.183622865700835,0.100606733811506,0.0454539038683286,0.0392676290105656,0.0797268419543026,0.121554297537973,0.0782280247889354,0.0545579447100806,0.0507120807292678,0.0348708571396291,0.0123159847325634,0.00282918157708488,0.000851866193989335,0.00029370416934585
"[45,50)",0.112254805020418,0.237653394429554,0.258890920195392,0.194898399789418,0.131486899703161,0.069833521840089,0.0404230412977335,0.0437398256015532,0.0809875225924695,0.119963123421404,0.0840533284508749,0.0387024132058359,0.0175914382106357,0.00820763411637956,0.00340372685685474,0.00159822819218005,0.000770192227147016
"[50,55)",0.0859440540148941,0.225488579336073,0.269011952903356,0.173130400421468,0.108335102053396,0.0771679486825491,0.0621251598131873,0.0530050896817741,0.0546797186153579,0.0813698834981005,0.101259470986348,0.0495895334983843,0.0135143986003423,0.00564923241458245,0.00428108406754805,0.00385876952051722,0.00231787236480589
"[55,60)",0.0464842927154311,0.123412660690534,0.156078888351924,0.0961671343050568,0.0501099393761957,0.0387746390303103,0.0505146919178198,0.0608678873167316,0.0449029838179374,0.0331008134584695,0.0438121254901511,0.0541141274408268,0.0240626941612348,0.00730738525613914,0.00425467001941166,0.00456010013663279,0.00383884696763137
"[60,65)",0.0166239668592497,0.0410378823405815,0.0414701511709109,0.02402822540976,0.0121222367569911,0.00924320555026252,0.0154522405655506,0.0283102884379145,0.024708092798359,0.0120396759764532,0.00955443599783115,0.019256178172994,0.0335303029596741,0.0146943550325796,0.00361479522169873,0.00214174216566452,0.00322799645883524
"[65,70)",0.00391693589469165,0.0126780546306736,0.00915818084343597,0.00382498859544755,0.00196529420232001,0.001727561086096,0.00293853586445589,0.00586645758424526,0.00679653353010905,0.00437495067044186,0.00311056653016323,0.00455424673533491,0.0114445926679912,0.0175175343693688,0.0048929707265994,0.00137123117465537,0.00208460951535883
"[70,75)",0.000703566856482177,0.0044003644132056,0.00349436567960097,0.000964505837193136,0.000376019069130698,0.000375022282335023,0.000639066841825391,0.00100921476254019,0.0012223706463479,0.00142047515789856,0.00184555748663157,0.00207608056620455,0.00220419082000149,0.00383088943605598,0.00467820178554457,0.00177414742510616,0.000767910792446649
"[75,80)",0.000160725129680312,0.00162188974229381,0.00201836938135959,0.00062256441828715,0.000178150702348215,0.000132625232119189,0.000191304247328327,0.000243963257581729,0.000274981076005776,0.000498318557879755,0.00124283075890609,0.00166242488782948,0.000975712815082607,0.000802091251790147,0.00132550242014408,0.000504806236542913,5.93853945988313e-05
"[80,Inf)",0.0008038900827417,0.00184648800593896,0.00140180609264139,0.000655853236482636,0.000266756298062351,0.000121113106737354,7.58411262386919e-05,7.19340222410285e-05,0.000100406729501044,0.000254324788193612,0.000790631216269815,0.00148214174122782,0.00155743223052225,0.00129139500845948,0.000607605071251827,6.28928163915407e-05,4.97625355339774e-08
