"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00370339546817118,0.00593791185670065,0.00443660086205385,0.0046290498751773,0.00926407906278698,0.0201633076132465,0.0333331101757405,0.0404945044161896,0.0418023273841961,0.0394199356733471,0.0304822325364927,0.0169088150285732,0.00695282932419847,0.00266698361846928,0.00118386932160872,0.000643712145817198,0.000472446172400063
"[5,10)",0.00611479236109307,0.0140911027519516,0.0107408672797269,0.00880670340866587,0.0183868407282749,0.0347651414039759,0.0470665115751016,0.0500647041089557,0.0499929506074285,0.0490938291260865,0.0421145887005733,0.0276809902668724,0.01398568858791,0.0064067997986014,0.00317566829523847,0.00188013924699374,0.00143604061299789
"[10,15)",0.0049387620801274,0.011610719365187,0.0349618827736199,0.0300473813665433,0.0407606443829827,0.0559143608428205,0.061816881079351,0.0598608568525862,0.0588772795115126,0.0591937317291267,0.0528992114690616,0.0375031950567241,0.0218014299300639,0.0120134002749745,0.00691066170167001,0.00439873976931596,0.00341307490810923
"[15,20)",0.005644855981136,0.0104286095756185,0.032915457020217,0.14191171998068,0.179277277312088,0.177542823770475,0.16990272281368,0.156135727292735,0.151475203720568,0.152020755823957,0.135037460865025,0.0945261352534136,0.0557839946855673,0.0330825030269075,0.0216562677586399,0.0151642685493832,0.0117262881089016
"[20,25)",0.0117680692516436,0.0226809953177597,0.0465132041804182,0.186752835493843,0.525912989282894,0.528029450125036,0.461453092652583,0.408125837747785,0.383166071358842,0.372660543094981,0.321628640043125,0.218342148260561,0.125778266427737,0.0750311262986262,0.0529513851806834,0.0415081760319376,0.0346182417562429
"[25,30)",0.0244668853447477,0.0409649985095791,0.060949834421478,0.17666846184299,0.504396534198592,0.812978892445707,0.746563039547842,0.637172407847703,0.573183321914029,0.534234513096067,0.446492482729097,0.296642538786851,0.168064287788699,0.09892362878329,0.0711707385838201,0.0603778339189842,0.0593047960579597
"[30,35)",0.0357106731266176,0.0489650544555499,0.0594924072615265,0.149266218801325,0.389176669426958,0.659131053563075,0.792429702396776,0.696136736738603,0.598051283470524,0.535019164070124,0.435199338192532,0.285488615218205,0.160750776541009,0.0934586688474498,0.0663946440524923,0.0577694542412511,0.0692436757014385
"[35,40)",0.0368764089718055,0.044272721604776,0.0489697309422751,0.116598729711452,0.292579344092546,0.478181295525147,0.591731772408194,0.660492923900639,0.583180391828563,0.50713740863695,0.405489728838162,0.26308862503957,0.146547995092295,0.0837849058976058,0.058291871283257,0.0506082794913485,0.0738511285284625
"[40,45)",0.0332984267674274,0.0386708799859768,0.0421311430420082,0.098947264483406,0.240274308723679,0.376270254380223,0.444671689975372,0.51012150436695,0.557515485432144,0.501872839673487,0.396789345123694,0.25287263654009,0.13710573681783,0.0761615583583211,0.0521588594575738,0.0458540335487686,0.0817448063682415
"[45,50)",0.028924192677513,0.0349803599076656,0.0390169492604114,0.0914717980521205,0.215256257176904,0.323043022425565,0.366431224980355,0.408618897160623,0.462291358062312,0.499695955512208,0.408888949530645,0.252798883739872,0.131661056539346,0.0707975656812444,0.048440737342868,0.0444091073641518,0.0927732159607471
"[50,55)",0.0202725939626464,0.0271986373260021,0.0316041418850239,0.0736471266388099,0.16838922649932,0.244714549220248,0.270164684296843,0.296135091519381,0.331283113353618,0.370614655704442,0.373005430782574,0.236748591458758,0.118746464037827,0.0627500209587986,0.0436311194463305,0.0417071810288541,0.0860538721772623
"[55,60)",0.00948002473825717,0.0150705794967148,0.0188884717242307,0.0434597469479578,0.0963675712849847,0.137060659031605,0.149404229694795,0.161974196456078,0.177981507595861,0.193163966442967,0.19958189919217,0.158815414483296,0.0834307008187485,0.0443994991865264,0.0312343315281953,0.0293066173309914,0.0468328369494365
"[60,65)",0.00316247246094318,0.00617733380176817,0.00890804531108579,0.0208072070354686,0.0450368311901881,0.0629975575782027,0.0682489642037789,0.0731968733875393,0.0782884253270633,0.0816163530674262,0.0812125822918622,0.0676853654374561,0.0480711838196591,0.0283975309997435,0.0190562462731345,0.0154525570040025,0.0154027439571801
"[65,70)",0.000992733480640532,0.00231582376508483,0.00401708038852749,0.0100983327204555,0.021986232894471,0.0303455804411796,0.0324720504604121,0.0342472396352905,0.035589746094205,0.0359157807165456,0.0351207390219097,0.0294777339586162,0.0232395502759709,0.0232238749917256,0.0158227159924217,0.00943701401247138,0.00524625673648421
"[70,75)",0.000360048738199035,0.000937874422722181,0.00188803227652405,0.0054010740684521,0.0126774495112848,0.0178378327872187,0.0188481346188644,0.0194676257855425,0.0199141768699321,0.0200781149921446,0.0199522249391046,0.0169431222736002,0.0127417681907238,0.0129278480429657,0.0123069942161018,0.00531273342435771,0.00175774701696626
"[75,80)",0.000146363480815937,0.000415128999802403,0.000898465798615343,0.00282749266211704,0.00742970744132544,0.011313621445748,0.0122607515398785,0.0126360130052159,0.0130886639430573,0.0137615621184171,0.0142590079947336,0.0118853074863339,0.00772460349572284,0.00576452204908696,0.00397192943216172,0.000693653995244992,0.000115990461393338
"[80,Inf)",9.92136885252736e-05,0.000292845136517265,0.000643868732489232,0.00201938355598013,0.00572296783463055,0.0102634215453489,0.0135730414743108,0.0170303613468628,0.0215504417852302,0.0265519571195395,0.0271723454965569,0.0175417707170016,0.00711135195877916,0.00295975988775722,0.00121371886971875,0.000107127386876854,1.67650539093823e-07
