"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00733871668731209,0.0120916913860328,0.009111347322795,0.00933886189744988,0.0186577587603789,0.0409552765865621,0.0680371256488166,0.0827776559935461,0.0855184118047468,0.0807268122750819,0.0624372912450876,0.0345500870546237,0.0142111944947538,0.00546091539077398,0.00242762411729092,0.00131957117599929,0.000944796658717678
"[5,10)",0.0108259731185554,0.0246393611929519,0.0191684572209967,0.0152282474622413,0.032342088815824,0.0619697027483865,0.0843331664136307,0.0898541907106404,0.0897562881565527,0.0881866978922892,0.0756833351911525,0.0496620485215877,0.0250793060187965,0.0114942479078407,0.00570169185300977,0.00337271242567348,0.00253658977087342
"[10,15)",0.0071672841611895,0.0168414426570778,0.050595460708453,0.0422764195617074,0.0580891307167393,0.0804468429279371,0.0892682744431665,0.0865511936666509,0.0851088252544208,0.0855782083835876,0.0765462836367389,0.0542345501191109,0.0315227553147659,0.0173587092787889,0.0099800155161671,0.00634705381499951,0.00490346236695874
"[15,20)",0.00626863038834374,0.011416914428785,0.0360748794699414,0.152139614320697,0.196842626244845,0.196351332415854,0.18841639765584,0.173343939692106,0.168232952176578,0.169016417624003,0.150423101875881,0.105371150787638,0.0622959504298165,0.0369871810914881,0.0242046704866197,0.0169369266411596,0.0131493660003747
"[20,25)",0.0105789658135458,0.0204819789508018,0.0418703505154648,0.166273937123284,0.478625791077244,0.480959152269961,0.420398938969524,0.372055591287239,0.349457057924614,0.340223628145094,0.294124400526134,0.199709272780005,0.115224709429841,0.0688128868022118,0.0485452738941779,0.0380198216044377,0.0318294398415235
"[25,30)",0.0199590621040406,0.0337310444630638,0.0498387625203478,0.142555969629969,0.413385005348701,0.67259277050723,0.617303140597448,0.527069628364776,0.474345747644037,0.442442462762054,0.37019918676493,0.24589852718839,0.139501027946433,0.0821938445077828,0.0591021053099282,0.0500603947098526,0.0485636720083221
"[30,35)",0.0286428850786722,0.0396542115765127,0.0477744748178072,0.118170966735774,0.312139459329618,0.533260017957419,0.641995359229184,0.564182352296489,0.484946838460501,0.434087042660712,0.353366623458222,0.231711663753934,0.130642361395754,0.0760350134891055,0.0539800768282722,0.0468338644432303,0.0533249863779677
"[35,40)",0.0294560286235679,0.0357124393346083,0.0391527354130291,0.0918948178117006,0.233499074826062,0.38485647159259,0.476880718668281,0.532199598123689,0.470242067843421,0.409167698755235,0.327362578848428,0.212303430274416,0.118423233003936,0.0677886168893614,0.0471366675013582,0.0407735832519957,0.0533152681749166
"[40,45)",0.025074930209542,0.0293944338653896,0.0317236157629272,0.0734873288291233,0.180713327273574,0.285394008545818,0.337756282325595,0.387472170730929,0.423208930035678,0.381175030277632,0.301568921209274,0.192132559674029,0.104352713295836,0.0580569543629859,0.0397334849738228,0.0347658760725477,0.0521173666232171
"[45,50)",0.019201785066921,0.0234286352714161,0.0258770621967256,0.0598927125139005,0.142726472415718,0.215948571466803,0.245261748700687,0.273504246315845,0.309220400290288,0.334166845034083,0.273634236968791,0.169156031190032,0.0882740793343533,0.0475409788818352,0.0324839544559979,0.0295965070960192,0.050241634560356
"[50,55)",0.0119448478731658,0.0161717471180917,0.018616098094223,0.0428718672215564,0.0992393438878625,0.145325479177882,0.160579940793295,0.175996703746066,0.196762823436972,0.220081331039346,0.221862798658382,0.140749947293061,0.0707197034833809,0.0374129590364795,0.0259636251157449,0.0246614944924957,0.0424952966874235
"[55,60)",0.00523713118368689,0.00840792920657896,0.0104507709040429,0.0237950882140875,0.0533898617906249,0.0764838899369304,0.0834298378339939,0.0904357717517033,0.0993265084103081,0.107797327230517,0.111520826134976,0.0888243723042644,0.0467239307457474,0.024887257026412,0.0174785342842021,0.0163220416414798,0.0234834948590168
"[60,65)",0.00166044199774487,0.00327286996683503,0.0046821494953412,0.0108436185493828,0.0237440614542234,0.033445698296183,0.036258208774021,0.0388838241837007,0.0415830907339095,0.0433613227795093,0.0431913707995896,0.0360153957405581,0.0255808392051973,0.0151198412331074,0.0101479712089772,0.00822544578177435,0.00807905656344206
"[65,70)",0.000475636532441982,0.00111817666829834,0.0019220078853538,0.00479934841856865,0.0105705064070753,0.0146898981498043,0.0157308641686927,0.0165922567970106,0.0172458220130866,0.0174082083357486,0.017033160763119,0.0143002122317476,0.0112710366268507,0.0112275151266016,0.00767829190491363,0.00461023100089301,0.00271741741377587
"[70,75)",0.000148342008141341,0.000389140616501057,0.000775250233845474,0.00220344987101712,0.00523173726740436,0.00741063452903417,0.00783511555744282,0.00809432274338164,0.00828055149988481,0.00834502808761504,0.00829299628454991,0.00704601258684851,0.00530724101745473,0.00538688336757353,0.0052012954859546,0.00227915303391063,0.000833089478996503
"[75,80)",4.73044663573963e-05,0.000135041965254185,0.000289247415145683,0.00090453468119297,0.00240378522598087,0.00368242008247244,0.00398803093919775,0.00410759047332341,0.00425052327579804,0.00446052508583697,0.00462117216727273,0.00386010841110958,0.00252368789656971,0.00189750206565421,0.00133708834578289,0.000245148814649134,4.67927352420081e-05
"[80,Inf)",1.91588790506133e-05,5.74515954435454e-05,0.000126404510870523,0.000397244460897969,0.00113835312066112,0.00202075191037215,0.00256857172475634,0.00303824139288325,0.00360440932478515,0.0042832330668686,0.00450439059692008,0.00314159480684672,0.00140216547526073,0.000632671607011721,0.000276465336228849,2.64692022454391e-05,5.04431796030956e-08
