"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.861897555069866,0.344123003312585,0.054074594299293,0.0268629225933872,0.0350858755818936,0.0576633617159121,0.0738925254080591,0.0745712399684916,0.0719161302778578,0.0670239824884076,0.0528449098440252,0.0322506247424446,0.014336222378334,0.00430153494372417,0.000980723256952367,0.000302744661508088,0.00142594381949987
"[5,10)",0.335606620465146,4.65954295701697,0.406087726748805,0.0342123395646856,0.0401789136755348,0.0842595627581412,0.1363288891077,0.138568125624185,0.127430372967785,0.139048239288405,0.135747494046568,0.0836269245436697,0.0347331382487629,0.0137888233419857,0.00608207274779227,0.00299268519936842,0.00326262706194107
"[10,15)",0.0503571195489028,0.391695986325812,7.10698024603227,0.458345444413092,0.0596602597406957,0.0650920390655681,0.112424205579318,0.145155932637956,0.139015516987023,0.14532717585613,0.155972448696953,0.101701305391842,0.0336613227459348,0.00963428618729262,0.00474220768357638,0.00366004895696232,0.00240147019788435
"[15,20)",0.0257431440692195,0.0336927054778563,0.470334875908048,5.77583213825315,0.314061611894382,0.068396127783784,0.0622590782047685,0.0893822670666634,0.109921497156711,0.112699624429711,0.103352255279466,0.064624318085805,0.0200295347834452,0.00409286687012053,0.00133176786582808,0.00116158063336209,0.00115604515954205
"[20,25)",0.0394316362331572,0.046404003984977,0.0719995876169751,0.363645160110411,1.79488220605058,0.215751133035536,0.0651748616153457,0.0510480712514033,0.0699160885286123,0.0886283927688485,0.0753030567983896,0.0391555567304425,0.0117605484248024,0.00244565819357338,0.000600504322396204,0.000384393088465553,0.000549666026984062
"[25,30)",0.075021908155465,0.112655431338067,0.0909386314720026,0.0928562919375393,0.249158019679977,0.543156090637955,0.155327925633371,0.0470127177045072,0.0367557468959784,0.0546199026647957,0.0623390373381508,0.0352489840328769,0.0104495239778901,0.00250617470428979,0.000696886985048571,0.000332378567895717,0.000289414688925524
"[30,35)",0.0995401408701606,0.188725429539191,0.162625991848273,0.0875169353468876,0.0781205656871717,0.160808686086659,0.292733377292885,0.0980355539239655,0.0330066639654579,0.0329028770201811,0.052267483312748,0.0475977814736682,0.018010683614236,0.00439060090895359,0.00122318238985236,0.000492873895764784,0.000185937373311726
"[35,40)",0.0984867754825886,0.188067902819587,0.205860836895691,0.123182664334887,0.0599892472100159,0.0477236622237065,0.0961215676321901,0.160294181699476,0.0656734712001516,0.0347042823546704,0.0437518822462379,0.0566191699173784,0.0324996105483908,0.00858624242820734,0.00189060024598597,0.000616225962573383,0.000171515966977039
"[40,45)",0.094835403453843,0.172687906718048,0.196852010308559,0.151258048899269,0.0820368222920955,0.0372547187906214,0.0323108271470793,0.0655733248989287,0.101178077378864,0.0641821216378969,0.0448058196983466,0.0417660201049715,0.028543842461975,0.00999347413274031,0.00228794985562862,0.000693517874719121,0.000239781925236329
"[45,50)",0.0901259145009016,0.192145285991612,0.209845025482609,0.158137036992872,0.106042473397867,0.056452376388279,0.0328439655364929,0.0353342574500175,0.0654462516136911,0.0977594188718978,0.0678846410945301,0.0311360139267107,0.014134101249095,0.00658422068622296,0.00273053199425721,0.00128881292930305,0.000625220683796935
"[50,55)",0.0728704684752211,0.192364534800192,0.230955697361974,0.14871679988548,0.0923950120730899,0.0660724397130682,0.0535035067997936,0.0456813140053675,0.0468531335048008,0.0696138879556485,0.0868747666152596,0.042255558384194,0.0114897631517322,0.00482269140853836,0.00367639174181868,0.0033232043210648,0.00200170719460316
"[55,60)",0.0432633015025565,0.115284902590864,0.146500950717287,0.0904626223721032,0.0467371741015087,0.0363446073961476,0.0473991436624666,0.05750935147462,0.0424874272287133,0.0310616902160293,0.0411073096643642,0.0509213226152375,0.0226457037698755,0.00688276788046386,0.00401588522870336,0.00430557952008155,0.00364768809315978
"[60,65)",0.0173673804211586,0.0432402701436079,0.0437888112804833,0.0253199080417317,0.0126769472481634,0.00972989036747659,0.0161969053437254,0.0298106325262855,0.0262221222899265,0.0127335157972097,0.0100939759207817,0.0204507824802228,0.035709181974079,0.0155854423121004,0.00381706206090491,0.00226988070160588,0.00348815904370317
"[65,70)",0.00461941059400992,0.015217212438367,0.0111100251779638,0.00458651061164538,0.00233693369657599,0.00206864660402849,0.00350017156472809,0.00698167620199731,0.00813833228127363,0.0052583323826686,0.00375581492942061,0.00550991257325134,0.0138161241659471,0.0210032282894037,0.00587193233238398,0.00166323935837424,0.00256801414705395
"[70,75)",0.000957137737959272,0.0060999231175962,0.00496982303765289,0.0013562762932142,0.000521472755681618,0.000522759785394766,0.00088617897925185,0.00139707950490696,0.00169328586029341,0.00198178154706444,0.00260196438178426,0.00292164692952792,0.00307508835290189,0.00533638069074723,0.00647631675708801,0.00248015563536003,0.00106904324400909
"[75,80)",0.000254808633641968,0.00258847196961452,0.00330793471221635,0.00102018440726429,0.000287872868906583,0.00021502180799363,0.000307946818079393,0.00039270920687425,0.000442640470415566,0.000806692602951677,0.00202836584504013,0.00270139277392564,0.00157703411969202,0.00130355478474182,0.00213889316644762,0.00079172110472323,9.13731690138646e-05
"[80,Inf)",0.00144126744513797,0.00338886588005589,0.00260646413140176,0.00121929455662663,0.000494343214969724,0.000224840521019533,0.0001395118545714,0.00013126234661431,0.000183786843578836,0.000469954750523333,0.00146721686969677,0.00274838981988732,0.00291030732271741,0.00241699895725018,0.00110715766116492,0.000109729463258878,8.53978128518084e-08
