"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.87764704324545,0.728366320285358,0.363895087735678,0.245716850705674,0.351242462725595,0.666454731844393,0.906045171177429,0.691233492314628,0.374488341383276,0.248672200295209,0.255627590729006,0.297221079752054,0.278446339308414,0.202241213781293,0.139123877922691,0.105563107926577,0.0720224186462156
"[5,10)",0.677192360813999,1.09556149300198,0.721797948354336,0.262039250872046,0.171381333770943,0.297868877766142,0.656828413145309,0.873830372892024,0.5911755770872,0.29516119904027,0.196113006405858,0.201661589983263,0.227384676688943,0.210002808321235,0.158981965263442,0.117206982721736,0.082884599870525
"[10,15)",0.322659425343359,0.688369487562483,1.13053716544313,0.58380842703478,0.198487893873582,0.148468113216608,0.293355590528974,0.625066746915187,0.74194636946786,0.466642939772656,0.233932726248015,0.155236491281188,0.151969313152906,0.16508807974415,0.154347338494004,0.121208751655737,0.0810545345232971
"[15,20)",0.214919363816691,0.246515800389628,0.575894329771306,0.927200064989701,0.466394073744977,0.176772307837883,0.150152698705042,0.286053547397524,0.545620167814855,0.607054953538691,0.381885748724991,0.188692118850434,0.115748725061537,0.105191104448898,0.113427511251402,0.108781187555049,0.0770509530959148
"[20,25)",0.308163578253229,0.16172442607832,0.196399399386714,0.467828539716202,0.737757994549502,0.400023675738553,0.173436070997644,0.144602949347304,0.245895019127078,0.438671197770349,0.484384758597902,0.299066905418553,0.137702048645136,0.078690139650711,0.0728893986468123,0.083385451989175,0.0767222844202635
"[25,30)",0.571369904773889,0.274668996169675,0.143552821242302,0.173268785627909,0.39089319242046,0.614600239007833,0.368264369918976,0.159151395430695,0.11890401404204,0.190586480424414,0.3413986869809,0.374776597010819,0.222483901858957,0.0986379398664058,0.0596305567774759,0.060699779227046,0.0719785088512909
"[30,35)",0.723950867837156,0.56448054661673,0.264353733907511,0.137167675590682,0.157951725534714,0.343219725467602,0.54325319354698,0.322777238598217,0.127117596355039,0.0908771516715732,0.149832839093016,0.271834212639897,0.294504678140861,0.173076426248807,0.081789379130094,0.0542428163957479,0.0582739624480481
"[35,40)",0.492237940143671,0.669291413393077,0.502005579704471,0.232893326358527,0.117368936151365,0.132194704094128,0.287669600841991,0.45520411250645,0.256035059025096,0.0986278542346199,0.0743646972435846,0.125619085967589,0.224115388877489,0.239127235517323,0.145519100902912,0.0728214163432016,0.0470024911983219
"[40,45)",0.23732827153057,0.402963271714113,0.530292549756639,0.395331102337607,0.177617851103588,0.0878943552955926,0.100822532925756,0.227855911406365,0.373589595554086,0.214419235806961,0.087931789696479,0.0674502802100442,0.108058372378924,0.184187537268932,0.197968880157081,0.124593844407249,0.0548720428287512
"[45,50)",0.144498094114456,0.184472635826777,0.305809813772274,0.403294485075024,0.290535835781809,0.12917553417765,0.0660891772804363,0.0804792933885701,0.196601782539439,0.347504466598206,0.211724822265159,0.0868315811784405,0.0607729223760961,0.0898931860815049,0.154558626894219,0.173953332301969,0.0954772887392947
"[50,55)",0.136751540811512,0.112841462010971,0.14113909248736,0.233570154048756,0.295352516887667,0.213029448135166,0.100316475956446,0.0558651544476283,0.0742265438797554,0.194922241375143,0.358171921560609,0.213782674127616,0.0799441551672262,0.0515586634421493,0.0791137692914508,0.145519491110909,0.150135924756566
"[55,60)",0.136982735457467,0.0999648271655471,0.080688544607639,0.0994258659885982,0.15710148459822,0.201470741481296,0.156794599273388,0.081300186934172,0.0490522361797437,0.0688698369232269,0.184176506405998,0.33276103236566,0.187765529699961,0.0669065474105291,0.0459738030327008,0.0757849691008822,0.139933466950419
"[60,65)",0.0990201917659456,0.086972359102221,0.0609494776624705,0.0470606434166332,0.0558146694544752,0.0922856418718873,0.131073593240252,0.111918947391143,0.060635853862965,0.0371926813474067,0.0531428040857051,0.144881151881285,0.268287564928483,0.150425906257466,0.0559893027455212,0.0403607082640825,0.0747503243353013
"[65,70)",0.05219399311068,0.0582926459513619,0.0480505556132857,0.0310376813342647,0.0231471156806263,0.0296925945616794,0.0559022820395607,0.086662176505593,0.0750066773266485,0.0399248002857932,0.0248729908395988,0.0374656484165223,0.109166967657396,0.210755882525544,0.118805618918729,0.0444089573466062,0.0338308954818518
"[70,75)",0.0271531443087229,0.0333736817162012,0.0339742153437221,0.0253102392471245,0.0162146853518946,0.013575024180852,0.0199781891935231,0.0398830298898183,0.0609683167607401,0.0519130830779531,0.0288633029741624,0.01946895570112,0.0307284929910909,0.0898472054009919,0.167412275360345,0.0920571270571218,0.0289845819722311
"[75,80)",0.0149946868951825,0.0179067398872859,0.0194173987445356,0.0176660080272886,0.0135002318210851,0.0100569349147267,0.00964291240319067,0.0145255987546157,0.0279261229388253,0.0425229224590943,0.0386386460294341,0.023357270191412,0.0161213631892241,0.0244424620529101,0.066998363965893,0.116588161459428,0.0488380257930015
"[80,Inf)",0.00815595910009425,0.0100952943960206,0.0103518147298553,0.00997573139346479,0.00990272156914549,0.00950743745789899,0.00825890830511851,0.00747442696213048,0.00980499308801547,0.018606836163328,0.0317809927623605,0.0343829158852641,0.0238033547175001,0.0148446502634722,0.0168172866055809,0.0389350022168764,0.0583907246816459
