"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.09560573773699,0.479327610735808,0.0948646384932117,0.0472811488742695,0.0612170699304565,0.10113215584684,0.130253669005777,0.131492635672127,0.126837302246113,0.118490343292182,0.0938072188202142,0.0573136927670117,0.0255643605846233,0.00775413302959583,0.00177623991291177,0.000539197329288887,0.00316139047749275
"[5,10)",0.481283136657183,4.81781790005935,0.493048692070487,0.0623992369774005,0.0721553887987538,0.151594171636116,0.247420884790616,0.25196591857117,0.231491878915186,0.252169996979817,0.247855829160198,0.153440363240845,0.0637503258447454,0.0253750811981864,0.0112175500214087,0.00549460009273924,0.00655589891429894
"[10,15)",0.0961283296971293,0.496851414968485,7.33461155981985,0.596779913771948,0.115372033957388,0.123828034372944,0.214561282084346,0.277748160386602,0.266327786449842,0.277502709253622,0.298946549882301,0.196500072082293,0.0652630764844382,0.01867243445604,0.00910828225165282,0.00700535935882354,0.00433224438246638
"[15,20)",0.0478226299593292,0.0628429128471799,0.595676332197322,6.14886497165305,0.500312383853076,0.127300492493627,0.116048109365168,0.166878427685616,0.204814368388771,0.210062053244037,0.19361303431583,0.121959684626603,0.0380212835543152,0.00782356842315919,0.00252556155958964,0.0021805124499581,0.00200007985624621
"[20,25)",0.0600352259901234,0.0704585943366147,0.11165729948853,0.485876085054926,2.11185747367829,0.322382379972388,0.0996611490192713,0.0791940234216468,0.108457106756454,0.137171818945749,0.11725249755139,0.061347251570163,0.0185199082771316,0.00387223241133607,0.000944855791207223,0.000598503041505174,0.000803666786605692
"[25,30)",0.0938966437315573,0.140144126354744,0.113457377969852,0.116854502928765,0.305406850118298,0.647215341663764,0.193041807810425,0.0589896586353359,0.0463730001219764,0.0686436647072959,0.0787872448799582,0.0447149717800252,0.0132860578513122,0.00320241045680999,0.000886253799261512,0.000418059907646811,0.00034305100375621
"[30,35)",0.11400135341332,0.215619477876206,0.185320881505144,0.100418256343194,0.0889431120257532,0.182012869302565,0.329372270802041,0.112087456443347,0.0379103643345109,0.0373455803288215,0.0594462380032071,0.0546957476740739,0.0208123806006239,0.00510786494488621,0.00142018969090747,0.000567065506404092,0.000194069554849926
"[35,40)",0.108618340090802,0.207240735437013,0.22641535793976,0.136287647474014,0.0667053285832965,0.0524827774395667,0.105801076415565,0.175263171031319,0.0728009530168567,0.0382113289867452,0.0477851529915468,0.0623712175322207,0.0361103956952525,0.00964193893598471,0.00212334848881504,0.000684428294301451,0.000170306997827306
"[40,45)",0.0953711142325302,0.17331542354219,0.197623824507688,0.152259656480994,0.0831561289889795,0.0375555606926527,0.0325692514136415,0.0662767237129447,0.101909538425452,0.0644994008438716,0.0449585695463533,0.0421781762985856,0.0290530909994219,0.0102577869546527,0.00234620751050019,0.000700262709217961,0.000217081563874745
"[45,50)",0.0753785446656786,0.15973121544764,0.174214772412421,0.132119512180511,0.0889807531111956,0.0470331913628033,0.0271446321817428,0.0294276242580695,0.0545754662384612,0.0817982176600456,0.0566993850522717,0.0261669901403507,0.0119981175514706,0.00560417313468646,0.00229695241120888,0.00106263892726293,0.000468016576196106
"[50,55)",0.0487894432262177,0.128357228628562,0.153439122909072,0.0995585947261469,0.0621839195897916,0.0441351606673123,0.0353259569932688,0.0300871361692948,0.0310979833185245,0.0463598035278152,0.0584870040103626,0.0282195901172151,0.00767748269986194,0.0032255916170836,0.00243349587432512,0.00217981416946646,0.00120084880343978
"[55,60)",0.0242818749506947,0.0647284246600752,0.0821560405917759,0.0510851513440732,0.0265024074501775,0.0204040314450852,0.0264763033561034,0.0319894164490597,0.0237652159152299,0.0174266057925547,0.0229885263201649,0.0286387481627688,0.0126223341490785,0.00384536970393514,0.00223561010217673,0.00239607686635273,0.001882829290968
"[60,65)",0.00859092993127104,0.021331394312182,0.0216434128933919,0.012632420713381,0.00634615189576213,0.00480884277059932,0.00799110725545104,0.0146904723008219,0.0129845746140263,0.0063380194021492,0.00496060317548466,0.0100125669155415,0.017531623234851,0.00769267994409191,0.0018905535147723,0.00111531052945636,0.00165962236116952
"[65,70)",0.00196883146228825,0.006415260949524,0.00467874307059418,0.00196396951952094,0.00100254320600544,0.000875772864947684,0.00148181728791521,0.00296372524198995,0.00346385024796367,0.00223677369508459,0.00157469001378237,0.00230456821025064,0.00581253685999377,0.00891019613713074,0.00248252729698905,0.000691333097301974,0.00106420121024758
"[70,75)",0.000333493114107721,0.00209707930240281,0.00168762008969425,0.000468810974931538,0.000180891085483899,0.000179218382230959,0.00030465728006527,0.000482619419442485,0.000585843757834756,0.000677910644829519,0.000878468632987581,0.000990734948203697,0.00105625549042964,0.00183574413055809,0.00224990556458069,0.000845569541075713,0.00034477204827736
"[75,80)",7.28854484360539e-05,0.000739538485371472,0.000934493911430076,0.000291411195935962,8.24946622143574e-05,6.08654467808595e-05,8.75802713886931e-05,0.000112000335011482,0.000125887971943881,0.000225794848050859,0.000566530071535635,0.000764486845626339,0.000448625192630393,0.000368048585889989,0.000608780661215074,0.000232176670455569,2.38981378934398e-05
"[80,Inf)",0.000550869553921195,0.00113745564473425,0.000744966144327249,0.000344566086112867,0.000142795012466286,6.43826012940102e-05,3.86374091587037e-05,3.59253817217172e-05,5.03064545313845e-05,0.000128193815475898,0.00040231790120484,0.000774386455351583,0.000860547138109105,0.000730329905141694,0.00031997601962673,3.08064592258735e-05,2.03410879409902e-08
