"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00263664900231901,0.0042410364097299,0.0031713133194735,0.00331246401671529,0.00666183099247417,0.0145074696156288,0.0239025002539851,0.028955746871189,0.0298695730249842,0.028150513348255,0.0217029301718259,0.0119850523737348,0.00494962725349112,0.00191050875282673,0.000846904211709816,0.000459484826910709,0.000335701534655564
"[5,10)",0.00428883256623823,0.00986069960166676,0.00753217981722842,0.00619231058798126,0.012982781884459,0.0245240756397058,0.0331146656497543,0.0351694419469586,0.0351237649558324,0.0344781964593916,0.0295141324816818,0.019328078089304,0.00979421499146031,0.00450856477144565,0.0022319666551878,0.00131881768162881,0.00100583092102233
"[10,15)",0.00337427423985094,0.00792491865839701,0.0238795133618715,0.0205352414721081,0.02791622748088,0.0382578894063644,0.0422317166526309,0.0408757834499418,0.0402268876593251,0.0404304929838269,0.0360683741102758,0.0254978597103236,0.0148618795171097,0.00822022690748083,0.00472423621132379,0.00300207051367285,0.00233597734183641
"[15,20)",0.00387073838838713,0.00715530730587768,0.0225528400410762,0.0980513558564281,0.123416903703998,0.122094378053408,0.116733466363307,0.107276051424083,0.104144537670476,0.104484507084168,0.0926377114900522,0.0646604527835108,0.038269014063957,0.0227751603405047,0.0149037848272477,0.010427240435258,0.00810767292258442
"[20,25)",0.00870620745317506,0.0167778408542886,0.0342886908928985,0.138028064116821,0.3896229414834,0.390535118201674,0.341220585707087,0.301843437066548,0.283538080446463,0.275625997214458,0.237365476540363,0.160649970758007,0.0928207321830672,0.0555548118462336,0.0391908782600009,0.0307237086172931,0.0257826689615348
"[25,30)",0.0204618032569503,0.0342040703371234,0.0507144847454131,0.147368699645064,0.421479957224989,0.677171703076359,0.621703803286317,0.53068202457656,0.477606311188165,0.44490123015295,0.370983336119387,0.245750963308419,0.139676371907966,0.0824881400220621,0.0592891900423402,0.0502932956752002,0.0494921450644494
"[30,35)",0.0342312396793593,0.0468956521048667,0.0568429758629962,0.143064548100962,0.373920365196538,0.631263363703317,0.757699409720587,0.665714854783068,0.572267417534676,0.511757022307277,0.415364793663534,0.271714103952706,0.153495240847038,0.089545610825305,0.0635366690156919,0.0552466599283786,0.0654979646608412
"[35,40)",0.0401253601699111,0.0481928442707263,0.0532364438377366,0.127216751522,0.320059342737091,0.52139434283279,0.644159067286373,0.718499773094657,0.635025390178623,0.55218457893774,0.440598030936006,0.285069421658483,0.159304197175078,0.0913947316626521,0.0635098486562715,0.0550973613655148,0.0778379234838461
"[40,45)",0.0396828158246706,0.0461431711836872,0.0502283225655607,0.118404255865778,0.288236822104351,0.449874408790977,0.530876120550511,0.608808047513175,0.664967590327299,0.598645110503241,0.472317228848202,0.300125393361464,0.163265745357451,0.0910264338199123,0.0622664891407855,0.0547071479077703,0.0920726991299506
"[45,50)",0.0364726400880084,0.0441731460341559,0.0492321377562655,0.115848423958777,0.273253453462753,0.408688346027764,0.462983375516008,0.516274867055669,0.583817158670003,0.630917837659818,0.515137517900665,0.317490269508366,0.165943842772674,0.0895844568049267,0.0612218199642552,0.0561004475727826,0.109129236044651
"[50,55)",0.0274518669958904,0.0369161536035072,0.0428784278831869,0.100276387592862,0.229739496950204,0.332702205958996,0.366862988942991,0.4021720571546,0.449690625294761,0.502916416070197,0.505635740280277,0.319908722555889,0.161070350999588,0.0854671884397452,0.0593574090659863,0.0567170611929415,0.110068920403742
"[55,60)",0.014391216007815,0.0229498122110964,0.0287753131193892,0.0664436752128822,0.147605590236254,0.209218724281159,0.227819262631591,0.247015393240519,0.271260670638942,0.294243645857864,0.30368974317569,0.240924164939361,0.127150184831567,0.0679542130139922,0.047739674032498,0.0447341527564448,0.0690283404753645
"[60,65)",0.00526469064775647,0.0103015578283294,0.0148570598983488,0.0348341314198419,0.0755457351946186,0.105334605654392,0.11400292168956,0.122276615358668,0.130713959867553,0.136232467772276,0.135444837035164,0.112631483161365,0.0801805142610195,0.0475665288270265,0.0318763682136204,0.0258080758132707,0.0256563219727796
"[65,70)",0.00164493748965936,0.00383858877729895,0.00665185766824229,0.0167810510942202,0.0366004687296921,0.0503546571281235,0.0538350814456494,0.0567854872688795,0.0589921777315366,0.0595322298143111,0.0581763234059831,0.0487258247135811,0.0385036112606926,0.0384522764581372,0.0261931209407119,0.015620127624105,0.0088816852857269
"[70,75)",0.00056802964212482,0.00148032583299873,0.00297801640797437,0.00855442116515255,0.0201134375882059,0.0281942138479732,0.0297565004245461,0.0307392744476515,0.0314353007049973,0.0316929058699161,0.0314744485529213,0.0266660445650915,0.0201004221638714,0.0204043886988658,0.0194840780303141,0.00840280268242024,0.00287259418711454
"[75,80)",0.000226413345163315,0.000642611534691816,0.00139030636372135,0.00439701132242672,0.011584280994228,0.0175706855745708,0.0190089258914759,0.019591941488178,0.0202909066895018,0.0213361615297786,0.0220948497846889,0.0183574564818927,0.0119560055923579,0.00893953764469089,0.00617331311201296,0.00107545960065452,0.000186598660837536
"[80,Inf)",0.00014545260335873,0.000430949184919505,0.00095125197899786,0.00300622679865015,0.00854792383745503,0.0152038023273985,0.0198160313606142,0.0243374594778458,0.0300279428156388,0.0364945829536662,0.0377033001964423,0.024907953660002,0.010451104888626,0.00446954367556801,0.00185569134658708,0.000164076297846454,2.70301537678782e-07
