"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00233238307065027,0.0037825853248411,0.00283017801482031,0.00296278930830172,0.00595587719622002,0.0129540541254273,0.021339129217549,0.0258577641580581,0.0266826829809569,0.0251384517387351,0.0193106869989863,0.0106132818361329,0.00436707882143782,0.00169410274479433,0.000756805500477249,0.000409552935951425,0.000303824842802123
"[5,10)",0.00368838993496369,0.00847195889587372,0.00647374670229307,0.0053526355304671,0.0112162777848297,0.0211721424217039,0.0285906358050611,0.0303730755043486,0.0303350860644497,0.0297743034039349,0.0254277987799506,0.0165909933537314,0.00838033228079796,0.00387140786898871,0.00192915445391947,0.00113736480456471,0.000873499608863986
"[10,15)",0.00285450475961507,0.00669614156117999,0.0202673382784434,0.017479108299629,0.0237339165843237,0.0324923587869082,0.0358563891668878,0.0347064485790146,0.0341503724557748,0.0343247876652927,0.0305669779537397,0.0215499078873609,0.0125377989155594,0.00695728915104855,0.00402048031519312,0.00255071230918581,0.00197717587002684
"[15,20)",0.00337987478177582,0.00626209165185073,0.0197697918475381,0.0866117055442958,0.108526480176206,0.107228873856852,0.102471091439299,0.0941646605306743,0.0913883683681663,0.0916790983807445,0.0811239689754087,0.0564640643903978,0.0333687178417403,0.0199267434052818,0.0130996653997882,0.00915725679149687,0.00704135784222671
"[20,25)",0.00792280694471511,0.0153014997937891,0.0313029834964934,0.126552058831034,0.356007754639633,0.35672066773568,0.311676091841229,0.275736794493025,0.258955416405213,0.251665884165772,0.216266114192217,0.145958780246803,0.0842171196961457,0.0505940453826833,0.0358240099056147,0.0280675559357182,0.0233309615782304
"[25,30)",0.0190816361921228,0.0319835462811792,0.0474541420255731,0.138459196508279,0.395007041242141,0.633450397275213,0.581637228050242,0.496595040970342,0.446885813281267,0.416115804920577,0.346200278280044,0.228712418104701,0.129816490132472,0.0769656719324082,0.0555083719907448,0.0470507054835557,0.0466767333253582
"[30,35)",0.0322213904557886,0.0442734436069013,0.0536805700072519,0.135634166969959,0.353783630939227,0.596224580062028,0.71536770975538,0.628735993721289,0.540494851448522,0.483078343403,0.391179734819209,0.255226360144399,0.14398398170158,0.0843268622034511,0.0600437189441166,0.052162460662276,0.0647532619014176
"[35,40)",0.0375057120910647,0.0451800929703821,0.049911382850579,0.119727674870953,0.300654583328684,0.488988808697934,0.603958620477206,0.673501767041209,0.59531552248544,0.517320639005107,0.411803917726571,0.265754115224776,0.148304409318265,0.0854241916881991,0.0595828491698264,0.0516390580934566,0.0806878733112777
"[40,45)",0.0358611380787756,0.041811111049637,0.0455064542675391,0.107667753940632,0.261629211265704,0.40773804432839,0.481081380676916,0.551614067187287,0.60240161883222,0.541936613300971,0.4265319117797,0.270319382158113,0.146845485423669,0.0822204749361534,0.0564620410538956,0.0495509642990014,0.097747440730207
"[45,50)",0.0323320548936347,0.0392724771670298,0.0437709146722805,0.103363039755018,0.243324471459062,0.36332818440968,0.411476242333002,0.458720491725034,0.518619333227587,0.560739102965463,0.456650034095761,0.280616989624299,0.14642912608729,0.0793995294443601,0.0544731064656766,0.0498686393760324,0.11735228149173
"[50,55)",0.0258537193864087,0.0349129042425237,0.040575211415594,0.0952082657575765,0.217660911773857,0.314660924778966,0.346843907016412,0.380110034542085,0.424895629256586,0.475350570353125,0.477620168960728,0.301229901044265,0.151399634549495,0.0807168101987393,0.0562778297458402,0.0537338533775589,0.122932619916871
"[55,60)",0.0150922186574213,0.0241951147406353,0.030383079586504,0.0703842821937016,0.156027186695573,0.22079194896714,0.240359523340522,0.26054152119574,0.286013153218298,0.310257702167376,0.319945616633114,0.253070787146736,0.133424901359974,0.0716659276527659,0.0505279337062739,0.0472703423915327,0.0799625796670599
"[60,65)",0.00625191457871696,0.0123036834433461,0.0177961593843687,0.0418756616998652,0.0906335622769106,0.126165892353553,0.136511299164277,0.146375915036139,0.156418469607846,0.162987648554294,0.161890560116103,0.134324583854836,0.0957018276658689,0.0570930861624792,0.0383759665640186,0.0309595387886418,0.030910472670588
"[65,70)",0.00221065514376422,0.00518086274174698,0.00900128034221804,0.0227938528076342,0.0496303479380853,0.0681817924232737,0.0728751747430674,0.0768520905198835,0.0798300979893501,0.0805572070021048,0.0786719541383303,0.0657643585121937,0.0520406565994741,0.0521386486867358,0.0356718825223369,0.0211951090144915,0.0112980495036518
"[70,75)",0.000768786550627594,0.00200974243336062,0.00404932298616567,0.0116649225056057,0.0273566147435095,0.0382798372947882,0.0403944311114033,0.0417288406113255,0.0426759796062339,0.0430238091785514,0.0427005562321221,0.0360952159236938,0.027230700860749,0.0277693857426296,0.0265697850001318,0.0114551949527611,0.00353309800719943
"[75,80)",0.000292668335505874,0.000833522608399574,0.00180721637694311,0.005736291927419,0.0150777643597576,0.0228255856657916,0.0246863100809791,0.0254411981575683,0.0263465184018045,0.0277075695345073,0.0286806093272422,0.0237547820680109,0.0154539026216554,0.0116070029727316,0.00805836030328744,0.00140469145470976,0.000214357752486626
"[80,Inf)",0.000240460929712431,0.000708983062336851,0.00155149193771033,0.00488514899218494,0.0138809931345434,0.0250790909412576,0.033940271043399,0.0440274024544946,0.0575614948174166,0.0722134337391899,0.0726713237550713,0.044504573649314,0.0170885369286735,0.00685241189611669,0.00275267809997795,0.000237407667367829,3.12759926813808e-07
