"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.14668529082223,0.598321345612768,0.217733873433925,0.12927497138794,0.154354528921581,0.324141689631588,0.578663596430595,0.5580044509387,0.36112555825019,0.263925874264613,0.243651450442793,0.224333740423069,0.195578073481122,0.172972432261735,0.139964828933685,0.0890058417738555,0.0463609255773309
"[5,10)",0.636077006469556,2.79418679921644,1.09043984617413,0.284854170719058,0.177050483806431,0.222438811328676,0.381906279952974,0.478578854691484,0.362093684028109,0.233935638338855,0.197996337932481,0.211450534116883,0.22613392041896,0.231454085506539,0.211705810079071,0.154278797618638,0.094692642001295
"[10,15)",0.238834173508111,1.1251151752136,4.47047571832374,1.31412452029263,0.370672339495773,0.252849023071727,0.286527887577151,0.370319694733777,0.374312284160357,0.267020991237013,0.169905201720563,0.134357129591571,0.135680582664923,0.14260292758892,0.131412367688021,0.0985731114282511,0.069560783937347
"[15,20)",0.138015953044415,0.286063350752872,1.27903046247444,4.1705274114062,1.33145128399209,0.511999381886426,0.386989081920998,0.378289601262858,0.416337391477831,0.402978067094716,0.28146042836236,0.16328148232315,0.118466546222883,0.117568722111032,0.117235794888897,0.0955418850672904,0.0779719430272895
"[20,25)",0.15466160305085,0.166872606230625,0.33859679313367,1.24960735592642,2.71561904929403,1.03378271152763,0.561182176665477,0.432294126226616,0.398983749185225,0.445180560593304,0.438847982320099,0.295672208931858,0.1707840345183,0.131034206257109,0.131351728761159,0.1180478017185,0.100581285883741
"[25,30)",0.304755230809859,0.196721416530132,0.216724039967159,0.450890282159106,0.970023847536436,1.46136725198521,0.737333945400179,0.472327860348979,0.374909210109745,0.373821914850801,0.444930988381734,0.434257060886546,0.295375784435314,0.179133031122193,0.135139241116259,0.114196088173156,0.0959348367310047
"[30,35)",0.516590708509141,0.320702266294848,0.233193723776939,0.323596862998998,0.499989826142884,0.700113384159605,0.960374412035801,0.577460390959869,0.402736161698712,0.35134896414659,0.371598860597607,0.428056342518955,0.409400343824943,0.281668034928749,0.161519432164913,0.0987804209227699,0.0758483520395608
"[35,40)",0.470997704586795,0.379978858628113,0.284962339812295,0.299082286577211,0.36416426895667,0.424041550461947,0.545987750612157,0.782041258227748,0.501103518469966,0.375240596762178,0.336132570027323,0.335252845767593,0.37306164315812,0.361155116943499,0.237488242497408,0.112096895660468,0.0609196799572213
"[40,45)",0.281355796143439,0.265364846331586,0.265865050782021,0.303828296491439,0.310234231511966,0.310675833912358,0.351477750427169,0.462534322062032,0.62403138739919,0.404009790132787,0.306855934362889,0.262835688748156,0.261238342880859,0.302997922469087,0.282907810694266,0.15224781164311,0.057327900457424
"[45,50)",0.184035539453176,0.153440822716278,0.1697440907725,0.263200251982667,0.30980811626425,0.277247865022138,0.274434039646211,0.309990525395326,0.3615879747179,0.464305128092044,0.313430554077044,0.23798141638141,0.209740634180766,0.216554862562111,0.235170278300769,0.176348808841083,0.0739211114260368
"[50,55)",0.14787435522631,0.113033147512233,0.0940069730513736,0.16000235277734,0.265812156152142,0.287210451930411,0.252625861696613,0.24168702258012,0.239034589128184,0.272800689504993,0.414999480487916,0.298389937632693,0.229780843326331,0.203341928467241,0.193605984531206,0.175245452228609,0.119142694322935
"[55,60)",0.114436802116802,0.10146229988564,0.0624829266555563,0.0780177123233294,0.15052841571862,0.235614344463004,0.244597279976131,0.202610739225169,0.172090862128699,0.174098260066417,0.250802248821192,0.421532201577451,0.296600991320287,0.231136262778115,0.20313651817771,0.176066510154039,0.161351048846224
"[60,65)",0.0774212176936475,0.0842035392646675,0.0489651472241268,0.043925905474254,0.0674720603495625,0.124365077514089,0.181538025767708,0.174960215567211,0.132733062219761,0.119070089747612,0.149875204928207,0.230166077506772,0.33894824193477,0.2499608140009,0.209788120633846,0.163266308992953,0.126825699070707
"[65,70)",0.0475162052289546,0.0598073429648117,0.0357127118369062,0.0302511449459692,0.0359241423642644,0.0523388595025707,0.0866726334480808,0.117537784976133,0.106833355118101,0.0853125783028386,0.0920381609368597,0.124469180021217,0.17345904602414,0.268383884707605,0.203781167693162,0.123336329747935,0.0726600225948684
"[70,75)",0.0253274924178318,0.0360355250047316,0.0216789901145472,0.0198709518202939,0.0237217070741342,0.0260098875835182,0.0327399209690479,0.0509136534796454,0.0657083518582123,0.0610289614862754,0.0577255648196719,0.0720593209146774,0.0958990566057183,0.134237070452134,0.209012371500361,0.103332752572008,0.0547134273984392
"[75,80)",0.0102515679882069,0.0167148633436465,0.0103504630751492,0.0103074384890896,0.0135695847513497,0.0139896463098071,0.0127444831692439,0.0152962242727882,0.0225073934654289,0.0291289335786408,0.0332578888784802,0.0397536880017395,0.0475038189655843,0.0517127874260021,0.0657713121662705,0.0787952176033954,0.0383334884897436
"[80,Inf)",0.00439640261095674,0.00844668684827832,0.00601366675058038,0.00692578296165414,0.00951917721870417,0.00967621307186762,0.0080569576299677,0.00684418665035872,0.00697772349560784,0.0100529637731642,0.0186161090110812,0.0299948045604741,0.0303817503120368,0.0250828008891781,0.0286725292145033,0.0315610845223926,0.00907145146518935
