"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.890295777319568,0.738060014847722,0.36871906997948,0.247844209521229,0.352644337208391,0.670446769430182,0.916487897765137,0.703122580852397,0.381604913318899,0.25180067721738,0.257660985902006,0.29994097097304,0.281601385774872,0.204912341550135,0.140922839742377,0.106739541002688,0.063156259318297
"[5,10)",0.742080910232917,1.19996396892348,0.791410770225415,0.287696545070617,0.187060321482442,0.323694995147188,0.714746567705735,0.956069377026938,0.651437776495143,0.325276757253423,0.214594340490073,0.22008324825035,0.248258749351729,0.22969230312431,0.174033750904988,0.128069696265438,0.0809734708752753
"[10,15)",0.369825142636731,0.789483772907092,1.29287965407188,0.6694838219986,0.227704351954187,0.169578469286893,0.334109185791487,0.712276321374966,0.849903836040101,0.537383693208266,0.268585132659488,0.177557983044286,0.173652029144271,0.188663553761197,0.176510402882323,0.138406820266558,0.0833640827646866
"[15,20)",0.246742912013231,0.284866233635617,0.664515571541844,1.06732257899622,0.537580182833657,0.203588018165967,0.172672256262484,0.328256477665155,0.626146529849568,0.699960498610795,0.440761331196338,0.217207890786752,0.133248352083319,0.12109220904526,0.130579711302855,0.12510454156962,0.0794521329731202
"[20,25)",0.344233068909068,0.181609167973275,0.221608376302138,0.527099999666557,0.830426577029941,0.450038430721632,0.195161414216922,0.162605543840853,0.27568944902994,0.492458729136571,0.545510649252467,0.336337894261251,0.154883294711771,0.0885815987040779,0.0820594761568048,0.0939253777711941,0.0786714841491777
"[25,30)",0.622510506405514,0.298922623833423,0.156982868371341,0.189875394321864,0.428071495982849,0.673180701206431,0.403478394606982,0.174576397538171,0.13013366977486,0.207873419839713,0.373547339732457,0.410464931061465,0.243544014520634,0.108036780628657,0.0652966287406629,0.066571021478874,0.0753125016740048
"[30,35)",0.76927410785683,0.596687413893615,0.279603087695728,0.145583124351502,0.167815728626292,0.364747464611606,0.577110119458144,0.343463133839981,0.135572542394807,0.0964680201849575,0.158939076149442,0.289016004223612,0.312785936661907,0.183761730194215,0.0867767865192699,0.0575508478315369,0.0620133755828227
"[35,40)",0.503733069465706,0.68123859255688,0.508764840305603,0.236220080421186,0.119340840170987,0.134701540138898,0.293153554615598,0.463322412442027,0.261369970492289,0.100652274852989,0.0756365652291589,0.128095722787814,0.228348139214527,0.243167717832215,0.147678778423961,0.0736425012178834,0.0473223314465329
"[40,45)",0.225268738495791,0.38247259866932,0.500214094810753,0.371276138183291,0.166721435225794,0.0827359509835432,0.095346406344183,0.215364065490392,0.352097985435125,0.202081352123554,0.0826083406403239,0.0635852949683787,0.102241099067716,0.173984522660017,0.186274723892061,0.116361159811147,0.0466332391270021
"[45,50)",0.122372198798828,0.157224173162462,0.260381137396842,0.341690962762472,0.245177174254072,0.108803395155768,0.0558540738052275,0.0682778830674788,0.166366216352742,0.29366514359645,0.178265866976193,0.0729846413737908,0.0514483828625719,0.0763917625287692,0.131167523336666,0.146692339643362,0.0681436114477463
"[50,55)",0.105437625814667,0.0873384813305827,0.10957919083246,0.181169268533948,0.228683332664897,0.164630470224338,0.0774860027195751,0.0432025454202511,0.057264290374511,0.150102968055816,0.276801395409549,0.164677445367402,0.0616418861345323,0.0398926972033491,0.0613387025593671,0.113025060279968,0.100128073318175
"[55,60)",0.102186680977806,0.0745737368121784,0.060311186133694,0.0743306943477775,0.117386627853709,0.150609433668991,0.117307562851515,0.060914924728691,0.0366968022451859,0.0511639550911005,0.137102592716113,0.248685146329754,0.140341245488008,0.0500408980433926,0.0343575367196502,0.0569016886870113,0.098665903693519
"[60,65)",0.0732567168766834,0.0642329169454144,0.0450393062323309,0.0348183832293378,0.0412763767232418,0.0682350856248737,0.0969405548139957,0.0829164544702545,0.0450558516985482,0.0275396566993211,0.0391869649479069,0.107161674058928,0.198444552925504,0.111337393422151,0.0414021628153247,0.0298850868761741,0.0593581547910099
"[65,70)",0.0379098682904498,0.0422640410894087,0.034799366385652,0.0225026907780159,0.0167885040270144,0.021526499359172,0.0405027815830111,0.0627943632944397,0.0545265231751671,0.0290806975787005,0.0180356004711867,0.0271738237394693,0.0791794618363569,0.152746350068837,0.0860183326137473,0.0320119516008416,0.0277795427170462
"[70,75)",0.0193320747753366,0.0237449346513881,0.024141627951986,0.0179931365232715,0.0115321463721651,0.00964729272309458,0.0141822867775027,0.0282778088445221,0.0432876529751823,0.0370252098661034,0.0205629164910729,0.0138344086200739,0.0218326999204102,0.0637828529008676,0.118971656374872,0.0650075450780458,0.0193905230527869
"[75,80)",0.010835045222354,0.0129298115406818,0.0140075459236538,0.0127559428273529,0.00976725830970448,0.00727793604806603,0.00695989587894612,0.0104343286318193,0.0200090500006149,0.0306398731463993,0.0280371064622015,0.0169539950549472,0.0116613077423322,0.017564402854213,0.0481029911874173,0.0841106363587502,0.0287263654134613
"[80,Inf)",0.00792155057209793,0.0101012931100747,0.0104249010682119,0.0100099855724636,0.0101087037415307,0.0101736897748675,0.00926669333607956,0.00828496190365035,0.00990837450284598,0.0175870531679042,0.0306904110669659,0.036324730210318,0.028619466147288,0.0188336602998272,0.0177290818013247,0.0354951555023801,0.0495551126704456
