"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00287630930782553,0.00462139500906666,0.00345989099787503,0.00359762992293154,0.00722799327951847,0.015774523871109,0.0260436822486187,0.0315518863044908,0.0325319892873879,0.0306632646619158,0.0236687636864983,0.0130523552003865,0.00535865424946416,0.0020709215819681,0.000923873854707697,0.00049932165400141,0.000373978522891162
"[5,10)",0.00465868782019214,0.0106711261783193,0.00818553675817254,0.00667133316098513,0.0140207171388418,0.0265706672423642,0.0359419124389141,0.038175186014639,0.0381295875083494,0.0374259495202872,0.0320592243770347,0.0209690759901694,0.010572157335082,0.00486832666739632,0.00242255628836048,0.00142651401994793,0.001097080313035
"[10,15)",0.00352334255304022,0.00826892584228697,0.0248412160868813,0.0212207767641027,0.0289208944967033,0.0397387419834284,0.0439178543957655,0.0425089486657935,0.0418491008423999,0.0420524618503902,0.03753602808345,0.0265093884150147,0.0153889961474205,0.00851072352614923,0.00490828042770874,0.00310886084216412,0.00238727730841664
"[15,20)",0.00379432507836993,0.00697975471486492,0.021977934462468,0.0949478462038157,0.120268917084958,0.119191940759876,0.11402381755012,0.104780602781025,0.101787514970604,0.102125502235991,0.0906198443453273,0.0632097406775936,0.0372885765611192,0.0222103533581291,0.0145753291248506,0.0101676512888712,0.00768823038506242
"[20,25)",0.00799135496974806,0.0153773815887145,0.0313994434930172,0.126077629041633,0.357342484139926,0.358386098446828,0.313056154794775,0.276857196153923,0.26023879945373,0.253053409553209,0.218120830436748,0.147503748577643,0.0849364776007335,0.0509016676819197,0.0360046218720528,0.0281654710585797,0.0230063363414
"[25,30)",0.017917969713643,0.0299394957010309,0.0443255569031577,0.128369361288721,0.368197649604476,0.593406594790636,0.544527943239571,0.464570464862814,0.418345916452978,0.389887556215382,0.325394260779881,0.215337169508169,0.121950615451978,0.0721191647808092,0.0519848184657284,0.044051906981944,0.0435193517676948
"[30,35)",0.0296192810785825,0.0405492465223692,0.0490479417512362,0.122955979197484,0.322026557678,0.545204909117284,0.655074119513004,0.575093151308559,0.494570004030457,0.44252873029033,0.359466029716568,0.234888102948543,0.132204195097628,0.0772243154997728,0.0549553969212701,0.0477614201510735,0.0609202274467459
"[35,40)",0.0361265358798273,0.0433602357745683,0.0477957084440937,0.113753255463606,0.286717450128579,0.468295569362485,0.578984666148179,0.646147792483588,0.571279505166896,0.497090957854971,0.396950453685193,0.256520299844261,0.142798810367085,0.0820198233870823,0.0571664638757761,0.0495755996359318,0.083382940764402
"[40,45)",0.0383497139081992,0.0445885240324028,0.0484445790863127,0.113770055509992,0.277473091253513,0.434164693378199,0.512633702932126,0.588164976932391,0.642357493082211,0.578730600043913,0.456984417706337,0.290004367815437,0.15711032845324,0.0876950885018375,0.0601795374659831,0.0528718311240628,0.117669546655612
"[45,50)",0.0362563895216707,0.0438983777944273,0.0488275727535811,0.114493891933177,0.270629835607799,0.405856960253353,0.460082282449309,0.513335187136196,0.580485132220563,0.626914642618569,0.512335128040883,0.315370886044497,0.164150410495102,0.0887472540460836,0.060851453362387,0.0557729918148913,0.151092883790054
"[50,55)",0.026613991939448,0.035759953074151,0.0414467336820839,0.0966139214039539,0.221834407410959,0.322115629241394,0.355402253545657,0.389825063817454,0.435897452923509,0.487216983924269,0.489951571042279,0.309580760027655,0.155204772767654,0.0824917321528379,0.0574756045885764,0.0549459560154964,0.141926714890605
"[55,60)",0.0136643224598564,0.0217764956861617,0.0272525079176323,0.06274298513896,0.139668861688237,0.198465800372997,0.216216141865648,0.234541644429664,0.257544482029513,0.279225227859624,0.288229702171176,0.228587826891487,0.120121414349576,0.0643102611670457,0.0453238379105832,0.0424795560094995,0.0769361739892595
"[60,65)",0.00518696951983542,0.0101515196344759,0.0146276916939179,0.034222813858552,0.0743617366719833,0.103922459713001,0.112520349074701,0.12072064788061,0.129006379830673,0.134379731835911,0.133606806773207,0.111065500572892,0.0789760506760712,0.0469578957470288,0.0315549464668687,0.0254794575041917,0.0254520491749605
"[65,70)",0.00177848049282163,0.00414738779783747,0.00717727327275475,0.0180851814516102,0.03953800765512,0.0545259953043154,0.0583132698034935,0.0615181533421149,0.0638865174621265,0.0644576122621866,0.0630030286968489,0.0527553497855809,0.041661616770422,0.0417153710003483,0.0285068849164321,0.0169019191974102,0.00850787431732013
"[70,75)",0.000630159278902827,0.00163915875260463,0.00328756670838351,0.00942622885125194,0.0222122846744043,0.0312163162419067,0.0329591408573211,0.0340547735100413,0.0348204994574306,0.0351028559055179,0.0348647663839814,0.0295301136250402,0.0222355126520588,0.0226413317984751,0.0216211121060404,0.0092729096956637,0.00260998725674144
"[75,80)",0.000251860500269439,0.000713781335122486,0.00153988572032306,0.00486275349762034,0.0128497298799794,0.0195619361115401,0.0211828683876325,0.0218396988574031,0.0226231203107367,0.0237923555095174,0.024647958152903,0.020467293239615,0.0132773645212645,0.00992727906487885,0.00685737710421723,0.00117618515147124,0.000160099837656797
"[80,Inf)",0.000277048331450799,0.00080622596451062,0.001736677967998,0.00540029166580266,0.0154153595821804,0.0283830300001921,0.0396824308400784,0.0539492104849791,0.0739471515214917,0.0946644083161854,0.0935058064209396,0.0544427737950417,0.0194793145736872,0.00733912848233358,0.00283471632828204,0.000235136531324755,2.57973302970891e-07
