"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00411780163700023,0.00701178084996071,0.0052905256302867,0.00553399189544788,0.0112550559448549,0.0243112853427484,0.0396576120377361,0.0482452774634494,0.0499404173082698,0.0471937973249899,0.0365431592094564,0.0202915055022253,0.00836391607209151,0.00318318837268871,0.00139921287019487,0.00075695551338723,0.000554111330925509
"[5,10)",0.00547131385427491,0.0124561171892266,0.0096635250609852,0.00802948083869421,0.0171569298053878,0.0322370553787501,0.0433464448348243,0.0462107977536901,0.046165714698351,0.0453953773681319,0.0390199030026815,0.0257008199796655,0.0130114156205959,0.00591907134358711,0.00290791777599286,0.00171399401377752,0.00129754010656455
"[10,15)",0.00350492809704447,0.00820450857523011,0.0251396158080855,0.0215571229592059,0.0295573816823762,0.0403304096271199,0.0444539856407064,0.0431096035203178,0.0423489011241193,0.0426198122479685,0.0382010107353993,0.0271785216404016,0.015850123992513,0.0086966329594666,0.00497101188802244,0.00315420616307809,0.00240526967728581
"[15,20)",0.0039095057415558,0.00726954967098564,0.0229876113091356,0.103359884381386,0.128594351654997,0.126870771681286,0.121286588158638,0.111533626957964,0.107989502219836,0.108466831189145,0.0966445864745068,0.0678795873017054,0.0401837213442514,0.0237555810190829,0.0155100417650802,0.0108606940254288,0.00820940016257206
"[20,25)",0.0112265936720886,0.021931918658528,0.0445026646706311,0.181567829922493,0.516747946059116,0.516012750993329,0.451886218880611,0.399964138212414,0.374556218158782,0.364157079818372,0.314971747331774,0.214445080754079,0.123853098056494,0.0735379723943365,0.0517542411784412,0.0406712717670894,0.0333567098370961
"[25,30)",0.0350722687892913,0.0596002403642396,0.0878230029622248,0.259080177011171,0.746304443316368,1.18172532903164,1.08848264524181,0.93047707335391,0.835355115582955,0.778240318758411,0.651703881997638,0.434380046459698,0.246898257441124,0.144597020461511,0.103510477757301,0.0877975673493463,0.0860524642722311
"[30,35)",0.0611550256014891,0.0856634935222281,0.103475136298537,0.264749430955404,0.698609268382775,1.1635127891697,1.38701583990159,1.22212919354846,1.0494435567663,0.939272235817419,0.765789691655299,0.504076734701369,0.284835582913462,0.164843465547361,0.116489560238706,0.101123256628536,0.123764956234892
"[35,40)",0.0579166062201844,0.0710932664207611,0.0781163666717609,0.189526867915894,0.481358897414757,0.774279985797947,0.951392717578675,1.0596005320676,0.935571022541824,0.81407804818905,0.652383478011033,0.424795011067269,0.237553945248812,0.135256116738554,0.0936250182978506,0.0810614761917847,0.125767223323922
"[40,45)",0.0411007651343437,0.0486915958748052,0.0526089453020955,0.125804432371407,0.309039793414306,0.476554896394677,0.56008150642657,0.641395937470529,0.700723719322066,0.630894814335949,0.499958749896549,0.319927835973576,0.174286008424498,0.0964453106372607,0.0656878331387472,0.0575300953081506,0.114547344989001
"[45,50)",0.0264024040038118,0.032546694363833,0.0359906583630539,0.0858958467494133,0.204242896390444,0.301797984969736,0.340756729836698,0.379381628417887,0.428862198003809,0.463744219341504,0.38034521471208,0.236236620628507,0.123665301545333,0.0662028897294997,0.0450009534538471,0.0410606397423627,0.0987006187899363
"[50,55)",0.0142913553543809,0.0195564588861319,0.0225507967971799,0.0535009536916396,0.123491930970678,0.176669547156833,0.194209849436778,0.212530852834076,0.237576654154484,0.265880652246733,0.26860959191017,0.171175516034421,0.086250976969394,0.0453222117414793,0.0312897973023028,0.0297895246359968,0.0694860065218472
"[55,60)",0.00542998559343333,0.00881389946771389,0.0109781698772412,0.0257122607643693,0.0575307650184525,0.080574632699814,0.087473291364876,0.0946924858966935,0.104025232670409,0.112998604332313,0.117127459878691,0.0937077095710833,0.0493693715502015,0.0261084427844332,0.018249255484923,0.0170915204728953,0.0292114943728073
"[60,65)",0.00142613467338197,0.00284323088542095,0.00407946532902651,0.00969879298658306,0.0211717813840205,0.0291818591751414,0.0314948484251243,0.0337415340155112,0.036109016237505,0.03769121907549,0.0376051709866038,0.0314574897960948,0.0223298391840647,0.0130881769935076,0.00875158630724067,0.00711602999939812,0.00713014318480438
"[65,70)",0.000342612423353464,0.000816452733375202,0.00141290062687474,0.00361928753753428,0.00793509392781738,0.0107880803102418,0.0115055374587313,0.012126888501989,0.0126131669282235,0.0127367658361541,0.012473390944365,0.0105011612960898,0.00826169301582086,0.00819381996663517,0.00557261995384902,0.00334183635692183,0.00177125521073884
"[70,75)",0.000103342653647219,0.000275241962715526,0.000554192098610444,0.00162153172055201,0.00383214044327876,0.00529936936677417,0.00557926810369764,0.00576022485448978,0.00589498920563501,0.00594099222943607,0.00590923470438986,0.00503682152215212,0.00379080744966606,0.00382397000273069,0.00368745845735419,0.00159994791679747,0.000487473914990623
"[75,80)",3.62201051299857e-05,0.000105105479180827,0.000227818577458884,0.00073562010806942,0.00195104261943578,0.00291209737360273,0.00313779672155292,0.00323106400693038,0.00334485044005605,0.00351193534900436,0.00364481588327803,0.00305615686917209,0.00199694566156845,0.00148567481931694,0.00103654790262007,0.000184418932462741,2.80276755945527e-05
"[80,Inf)",2.58603049740182e-05,7.76057870285173e-05,0.000169441620874786,0.000542331337942861,0.00156070014972386,0.00278383815353415,0.00374566308899243,0.00488940246408363,0.00649566918621763,0.00823375494915066,0.00829214019157628,0.0050945517575141,0.00195156935450688,0.000768027879304832,0.000308029403251368,2.73365902633575e-05,3.65191995848874e-08
