"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00531863723828788,0.00863974189783445,0.00648404090679946,0.00670138056323691,0.0133936916163345,0.0292877731257793,0.0485942762446543,0.0590439681031942,0.0609476986255924,0.0574981808311114,0.0444737640277508,0.0246646765558094,0.0101820761090783,0.00392004621785531,0.0017362570480783,0.000939544874523218,0.000682243075835576
"[5,10)",0.00829230735105145,0.0189645937659801,0.0146191865977836,0.0117873840569549,0.0248180892769881,0.047269136847204,0.0642107156040234,0.0683310475993718,0.0682487520009385,0.067030266709018,0.0575161755045879,0.0377976812122973,0.0191481562967465,0.00879582148795906,0.00435086412498553,0.00256414882871233,0.00194519194774193
"[10,15)",0.00599869537342195,0.0140915786651867,0.0423521478030322,0.0358670905823675,0.0489749207347429,0.0675352995632521,0.0748217496585782,0.0724837363611879,0.0713067775346528,0.0716854487051503,0.0640925206156007,0.0454502383019478,0.0264778492906546,0.0146122691454037,0.00838892381953205,0.00531882112099041,0.00411842612184071
"[15,20)",0.00595149775684728,0.0109069872254268,0.0344307973426246,0.146861869273607,0.187862402146172,0.186724997326417,0.178900130384476,0.16447387491685,0.15966535054728,0.160309960667246,0.142543936515952,0.0998761550746214,0.0591179527373159,0.0351227393725345,0.0229542274772514,0.0160256956508871,0.0124084043700973
"[20,25)",0.0110882410329591,0.0214070135084267,0.0438253146049663,0.175121811628593,0.498435866930168,0.500689014475886,0.437433768154859,0.386959087458079,0.36355860185525,0.353784196911804,0.3056199973992,0.207628970305676,0.119959293472308,0.0716581520918169,0.0504680339123205,0.0394667095305127,0.0329561288084644
"[25,30)",0.0217266133705463,0.0365349682568236,0.0541533656022087,0.155971824979523,0.448653835110673,0.726932989794978,0.667024298692496,0.56927763194716,0.512487998262729,0.47791103287679,0.399692059282858,0.265691476091828,0.150963076734202,0.0889689838145177,0.0638537549698426,0.054045596671444,0.0528520232541593
"[30,35)",0.0319111973589497,0.0439330009359353,0.0531098138705821,0.132283795199066,0.346982782110218,0.590464717826344,0.71079567194581,0.624280042344855,0.536698326385705,0.480342148643061,0.390897257125605,0.25653297008773,0.144863869912571,0.0843350306627816,0.0597533172561976,0.0518402974265952,0.0610183341383724
"[35,40)",0.0346476968271795,0.0417774848750044,0.0459756993037626,0.10867603009465,0.274284661158234,0.450315887100554,0.557853680954247,0.622713287936336,0.550306154586196,0.47880882894078,0.382993266789078,0.248585351247572,0.138871310539967,0.079511346470775,0.0551693504819808,0.0477336258265943,0.0669293068765584
"[40,45)",0.0320730493054313,0.037419935341881,0.0405604429294632,0.0946088202120363,0.23109736969065,0.363547326661767,0.430085895040111,0.493501499757394,0.539026253544563,0.485528263884592,0.384044327234753,0.244862858730447,0.133181685596817,0.0741044039507287,0.0506042781820535,0.0443156093919384,0.0740904136429468
"[45,50)",0.0268512176262089,0.0326141606046931,0.0361851040764191,0.0842962771880822,0.199565721741127,0.300850856557696,0.341587991578443,0.381042305664319,0.430865237178625,0.465524086273497,0.38112225567499,0.235782759829726,0.123230920902128,0.0663787791109525,0.0452601175467005,0.0413073855675198,0.0799132881379505
"[50,55)",0.0178016988413658,0.0239868345954915,0.0277302542773882,0.0642457373387718,0.147766833609485,0.215663871887601,0.2382660710848,0.261246131072125,0.292116424439328,0.326672060800763,0.329013643730894,0.20894086999514,0.105168935142587,0.0556529094935864,0.0385429295717195,0.0366822008215788,0.070858474117716
"[55,60)",0.00802449271052411,0.0128124651768771,0.0159833299495854,0.036588279217185,0.0815957896582305,0.116523655200383,0.127094679376656,0.137822099475953,0.151384753217377,0.164264731791465,0.169827493060434,0.13526611520956,0.0712881484256538,0.0379804171847964,0.0266190276604685,0.0248892979833644,0.038308028292899
"[60,65)",0.00252244314964771,0.00494239429558495,0.00709017071059862,0.016490827217966,0.0358968701898542,0.0504138775354342,0.0546496203282484,0.0586271453684571,0.0626969789167463,0.0653724650936804,0.0650901035442863,0.0542825474474472,0.038578687446747,0.022803272861238,0.0152740565790525,0.0123738237896466,0.0123085338353063
"[65,70)",0.000695734500037301,0.00162650025951667,0.00280323142546596,0.00701905653903504,0.015362277082713,0.0212855706609386,0.0227930465608193,0.0240482028490942,0.0249927146152646,0.0252273557975615,0.0246764490023784,0.0207190539278824,0.0163367058043328,0.0162529880688623,0.0110878231331851,0.00663269848992262,0.00378841361000607
"[70,75)",0.000210623209162363,0.000549911880709724,0.00109998659447727,0.00313539955635991,0.00739513705888471,0.0104417420639105,0.0110381487598426,0.0114048936860407,0.0116653157323882,0.0117570401509,0.0116809822273112,0.00992526770027639,0.00747931028996449,0.00757855036898077,0.00731415591975401,0.00317339059899496,0.00109259959002134
"[75,80)",7.27309427066835e-05,0.000206809410163082,0.000445047137149723,0.00139687191975542,0.0036903728433707,0.00563970412865262,0.00611098463690485,0.00629690700964853,0.00651891734085463,0.00684730254432229,0.00709413601662666,0.00592205142160401,0.00386652273524018,0.00289294110542871,0.00202503724820565,0.000360256725212111,6.33078657912124e-05
"[80,Inf)",4.00980335177294e-05,0.000119116460198682,0.000261640009169887,0.000821179092054377,0.00233968702608124,0.00418735586149912,0.00546117763424669,0.00670349719018337,0.00827490500426725,0.0100575698726289,0.0104044270993406,0.00692040601839225,0.00292015035768667,0.00125455288594797,0.000529362005751717,4.80662146806673e-05,8.03782688645347e-08
