"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.912040871419296,0.346747931489837,0.05761460992657,0.0288503467955417,0.0375684072358523,0.0622949684724946,0.0802824244161004,0.0809379439299076,0.0780678931655532,0.0729701960466474,0.0576989820646313,0.035163557708506,0.0156287894392872,0.00475979241502232,0.00110404202025708,0.0003369212104842,0.00219332711785803
"[5,10)",0.384230298782847,4.733248755103,0.418070796225198,0.0426453295895103,0.0490922256791286,0.10293761362576,0.168136385430743,0.171230064810717,0.157310080317504,0.17167008229881,0.16835230524099,0.103744282693506,0.0428855223301093,0.0171140237052852,0.00763293057487001,0.00376166591198086,0.00466952444473584
"[10,15)",0.0711468095626085,0.455268529292484,7.22290234122024,0.521845178256552,0.0859326212015599,0.0918673323068636,0.158988896363147,0.205960781319171,0.197618646726223,0.206210518133053,0.221468827891039,0.144539026360343,0.047637443428138,0.0136605935791509,0.00670246137591345,0.00517126277847856,0.00306441838206236
"[15,20)",0.03823289501529,0.0504975956787849,0.554896098584429,5.98585946667797,0.423201328994275,0.101635079724595,0.0923577921543945,0.132726367852164,0.163048006663282,0.167160386402781,0.153580558049879,0.0960837463262355,0.0297011450154772,0.00612965313388618,0.00199635673527538,0.00172682199301257,0.00149935930893477
"[20,25)",0.0509006545527895,0.0594328265684592,0.0942835311560397,0.432130456183701,1.97951775630353,0.273841014760453,0.0837577663275281,0.0665022755009754,0.0912233871996123,0.11525505913568,0.0980075296435184,0.0510090529978903,0.0152915597887464,0.00320539955682876,0.000790397459772098,0.000502033533068749,0.000642375185488776
"[25,30)",0.0827317170358523,0.122153592107694,0.0988000965289469,0.101853639797255,0.268507011572189,0.582983373644984,0.168270488871936,0.051274714983259,0.0403905923212211,0.0599742670602094,0.0683892726117467,0.0385551647655541,0.0113907481911152,0.00275484333734129,0.0007693025916999,0.000363853761886867,0.000283807739498643
"[30,35)",0.103816456568008,0.19427660629767,0.166490598018133,0.0901224767638512,0.0799411193881211,0.163863013689053,0.299865950845828,0.100718258911562,0.0339830892814143,0.0337513452455394,0.0536366238479973,0.0489420944916392,0.0184738761375112,0.00454481068089438,0.00127401895165165,0.000509648905697064,0.000163219319159816
"[35,40)",0.102312234611203,0.193405358569333,0.210832291577454,0.12660371975623,0.0620456479059743,0.0488044687698338,0.0984599954941332,0.163971170475816,0.0674996410472438,0.0355817635945421,0.0447277951369761,0.0580320442669234,0.0332649729411094,0.00887237218081887,0.0019701549935267,0.000636398472751205,0.000147419010764262
"[40,45)",0.0958303555019177,0.172544162983009,0.19644263782567,0.151028875051322,0.082648742437019,0.0373329058180126,0.0322587677746998,0.065550543236778,0.100996536690036,0.0640018461909063,0.0446688690626063,0.0417068690643637,0.0284885071597966,0.0100469683023547,0.00232107700497277,0.000695847325278943,0.000202370918332966
"[45,50)",0.0865583094785426,0.18195791315051,0.198084850669446,0.149627173781567,0.100907318751352,0.053568456690772,0.0309605464806162,0.0333899155227739,0.0618491137602993,0.0924857088112791,0.0642170388519368,0.0294465895282654,0.0133876571336822,0.0062677161901888,0.00260555040963254,0.00121797223485524,0.000506570536246906
"[50,55)",0.0652954499270939,0.170234239202907,0.202957250484135,0.131148963452217,0.0818603554075186,0.0582751881730966,0.0469386374264623,0.0400421008500766,0.0411802600071478,0.0612644890120534,0.076668077285979,0.0371025326020561,0.0100669598333054,0.00425060431671354,0.00323078386027097,0.00291197954390501,0.00151418186931897
"[55,60)",0.0369741551301732,0.0974726338821511,0.123074412473743,0.0762376027812963,0.0395869576769585,0.0305259329620069,0.0397962617720273,0.048272291711423,0.0357258358691446,0.0261022052246426,0.0344747563753184,0.0428219477512507,0.0189629308220079,0.00580215913514234,0.00337543480429572,0.00361179033440202,0.00270915577558487
"[60,65)",0.0149155299722818,0.0365710249490997,0.0368162025905111,0.0213894882917717,0.0107712114574735,0.00818552487758232,0.0136340742243517,0.025114533817218,0.0221489121730744,0.0107709665573406,0.0084897894038066,0.0172115349541349,0.0301447954973244,0.0132685266313492,0.00326466497117298,0.00191355244269572,0.0028007910677773
"[65,70)",0.00393885607509697,0.0126545675333887,0.0091543785278972,0.00382764676861531,0.00195777909944507,0.00171656375555495,0.00290838686038121,0.00580826534499012,0.00677308446263434,0.00437248340144644,0.00310826480523028,0.00456631939420478,0.0115052541081519,0.0174603665295662,0.00492697620855426,0.00137492881536864,0.00207090357426027
"[70,75)",0.000730885996869555,0.00451511097982451,0.00359315170873532,0.00099727754665023,0.00038619708352593,0.000383479512113932,0.00065222013808093,0.00103178457146521,0.00125176541145378,0.00145412005834787,0.00188997985591824,0.00212514374949899,0.00226458855732072,0.00394153554560843,0.00479535415530463,0.00181209246226157,0.000698607550419779
"[75,80)",0.000166665671923829,0.00166268931515264,0.0020715318183441,0.000644583568040067,0.000183294716940719,0.000135526932020491,0.000194958950701988,0.000249041389908467,0.000280414926411623,0.000507916054544451,0.00127289141542437,0.00169916238907359,0.000991847322213482,0.000821894207374518,0.00135405286886231,0.000512868010864472,4.8684093470412e-05
"[80,Inf)",0.00156278840639902,0.00297291508688274,0.001768161896828,0.000806150906356328,0.000337819678632015,0.000152265649595725,8.9933731212272e-05,8.30949943635775e-05,0.000117466555734136,0.000304280026890553,0.000953366849956231,0.0018357997224824,0.00209104864564546,0.00178309528144091,0.000751910257547246,7.01239117669607e-05,4.21794972615993e-08
