"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00692633960582088,0.0114230391058068,0.00859499190984278,0.00885801879762754,0.0176457399814884,0.0385699151916094,0.0641987753415531,0.0782212202927082,0.0808187294292748,0.0762969720580554,0.0591093207550964,0.0327525164608481,0.0134204745006473,0.00515132211668201,0.00229053241503611,0.00124211903961266,0.000899976691034017
"[5,10)",0.0102390670636899,0.0233608295657531,0.0180920623047846,0.014533086539384,0.0306594106367384,0.0585374161989417,0.079762265380875,0.0850337070436816,0.084939023554548,0.0834584934063109,0.0717133189290936,0.047119104343238,0.0237327173911759,0.0108694419059818,0.00539344667465953,0.00318453287528832,0.00241164831858323
"[10,15)",0.00701390694664885,0.0164711483321477,0.0496856827321529,0.0418753233607211,0.0572470968948585,0.0790668600047903,0.0877417611759812,0.0850553326863853,0.0836350408066722,0.084105249396491,0.0753079652532027,0.0534179598419387,0.030990646854809,0.0170673653370386,0.00982088968392401,0.0062372635910627,0.00482388695360129
"[15,20)",0.00666982784157401,0.0122083553638028,0.0386386258581908,0.164466042179329,0.211130300624277,0.210088497511683,0.201437576393643,0.185215486635114,0.179705535302016,0.180510066750866,0.160781009843538,0.112704858025082,0.0664690760772256,0.0394491779521866,0.0258347825702664,0.0180610785300022,0.0139740084077649
"[20,25)",0.0118605321638049,0.0229905509233744,0.0471523389414505,0.18846766050505,0.537095112713819,0.539978212675537,0.471834844662969,0.417371209738123,0.391964276463087,0.38161183968353,0.330254779187653,0.224448653005574,0.129185558463724,0.0771158779240653,0.0544187761783616,0.0425824125775547,0.0355273889759145
"[25,30)",0.0216867958181058,0.0367199035458111,0.0544786918913438,0.156881218954234,0.451708895810297,0.733033579522257,0.672698770494281,0.574139079721415,0.516737379958868,0.482142137893739,0.403955370020762,0.268587964324758,0.152003171716788,0.0895262038285565,0.0643967652387027,0.0545168334795456,0.0532126731811124
"[30,35)",0.0292992991928116,0.0406115200753549,0.0490707062898572,0.122093614231647,0.32037321463524,0.546014802170753,0.65790202389484,0.577856015298445,0.496677484410904,0.444731543951145,0.362515837790041,0.237927972050355,0.133814476485426,0.0778490414720174,0.055292799559211,0.0479824237874355,0.0563039595560624
"[35,40)",0.0292448283721399,0.0354680146081502,0.0389683044968807,0.0919652509835914,0.23215747842161,0.381763929553259,0.473384070257468,0.528618467758293,0.466963860093163,0.406406582429333,0.325573101711803,0.211325128344412,0.117578580893271,0.0672730727628903,0.0467961109435487,0.0404960222564182,0.056532662295431
"[40,45)",0.0249194683039137,0.0292183235097372,0.0316009761981067,0.0735885390545133,0.179807970990742,0.283367426119705,0.335560425900827,0.385110654030818,0.420712826678203,0.379012899942617,0.30025472387253,0.191462290587172,0.103709347872344,0.057667426389029,0.0394824787744086,0.0345701930408383,0.0574705003041735
"[45,50)",0.0191558136269845,0.023376802990551,0.0258762820110613,0.0601889407495013,0.142544623250143,0.215288921852081,0.244658745953722,0.272916343232776,0.308617492783046,0.333470486777034,0.27344450414804,0.169203227919079,0.0880511392187963,0.0473963067302407,0.0324003967430897,0.0295517067085707,0.056842796312052
"[50,55)",0.0115744735282941,0.015666297721966,0.01807056215665,0.0418121021399291,0.0962121873197398,0.140679869387407,0.155539884871713,0.170517636429645,0.190681417986212,0.213265780332529,0.215080158037302,0.136579134371957,0.0684259267689324,0.0361811751993511,0.0251202967625957,0.0238909637212587,0.0459856913469531
"[55,60)",0.00478740235151796,0.00768375586901877,0.009568151096224,0.0218786169512866,0.0488099045525761,0.0698224520037181,0.0762026841378306,0.0826193752319803,0.0907636081815559,0.098507795211447,0.101951667597335,0.0813044704035911,0.0426288218249339,0.0226933426116549,0.0159464939705853,0.0149109010466056,0.0229186270741739
"[60,65)",0.00147683876949887,0.00291362702879353,0.00417908618033597,0.00971419526508407,0.0211502195709402,0.029748916793853,0.0322654572304134,0.0346073972127792,0.0370131769748709,0.0385928536576336,0.0384539205420053,0.0320932196251986,0.0227644355606053,0.013449814160235,0.00902983330043556,0.00731561994688746,0.00725927970283741
"[65,70)",0.000431244257937064,0.00101515682700694,0.00175088077956923,0.00438595881200222,0.00960470708865783,0.0133293226543309,0.0142799733986849,0.0150633439523042,0.0156569957832909,0.0158035923658495,0.0154682794596462,0.0129971410658607,0.0102318858869857,0.010198296891398,0.00697280352594185,0.00417311523598706,0.00237822080611453
"[70,75)",0.000136783516775964,0.000359322976463228,0.000718676805080686,0.00204891578081509,0.00483483651924695,0.00683934748182087,0.00723494799403985,0.00747450772597192,0.00764671635062309,0.00770644975554951,0.00766084740429532,0.00651489290708399,0.00490017784728175,0.00497393532089336,0.00479341112016926,0.00208840298295181,0.000720129563841095
"[75,80)",4.59712341515673e-05,0.000131489161795251,0.00028288017673002,0.00088774574311869,0.00234470876809483,0.00358844967639966,0.00389112011522191,0.00400876705505626,0.00414952127548573,0.00435624414626952,0.00451555707292228,0.00377547481102764,0.00246041783259101,0.00184492494843072,0.00129431482555184,0.000233208146995889,4.12245249960871e-05
"[80,Inf)",2.37133421164467e-05,7.08919231530789e-05,0.000155755754001508,0.000488995068108284,0.00139270936576443,0.00249361771958763,0.00325064807384955,0.00398415708803552,0.00491111077362034,0.00596545590074084,0.00618783818569389,0.00413137719751783,0.0017381602832101,0.000748529742954282,0.000317742144771059,2.93490617139267e-05,4.94109020780883e-08
