"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.647968457599659,0.338534745917132,0.122942423762585,0.0730490106150412,0.0880611110104783,0.185336848785961,0.328758180732932,0.314967447186174,0.203916094087226,0.149437102250279,0.137936910365402,0.12668516261655,0.110374337314878,0.0975836713589378,0.078601068403661,0.0496205502607655,0.0259743592051063
"[5,10)",0.353464296738261,1.55202464723485,0.603178510881899,0.15720405493615,0.0983208430804926,0.124454868645573,0.213519873219335,0.266200819885639,0.200817846880403,0.130029535288017,0.110215760313159,0.117900302310748,0.125972402177763,0.128817828528383,0.117361946424649,0.0850781592735831,0.0511791935295288
"[10,15)",0.132325279591528,0.621791251652175,2.48388795107274,0.722936129387508,0.20457681760515,0.140548276474908,0.159631670057919,0.20613589907057,0.207803113682404,0.148306749858922,0.0942113419788287,0.0745402498334561,0.0754351067489734,0.0791984876317678,0.0727075018464076,0.0543052357067561,0.0379516744203007
"[15,20)",0.0819592566114965,0.168929351042698,0.753602885206882,2.47890063497534,0.788452328087689,0.305409852787061,0.231191761218204,0.225751564753783,0.248257207438937,0.240611665041768,0.167936528200769,0.0968875817070302,0.0705114875322744,0.0701001411888079,0.0697401634788323,0.0566681167657841,0.0463507985741631
"[20,25)",0.106594504030159,0.113986637850028,0.230073194094107,0.850633378569979,1.83926125694532,0.706660961948602,0.384533312661261,0.295906884065848,0.272956887563443,0.304537079809924,0.300973452022739,0.20205197912203,0.116832085417226,0.0898979151518902,0.0900275628395045,0.0806361502534353,0.0686785685756893
"[25,30)",0.246467948135629,0.15851423274073,0.173653343577658,0.361991227697962,0.776352797687432,1.16281672275767,0.589959383258405,0.37779942323208,0.300244687222487,0.299196000838119,0.356414340578933,0.347489245443054,0.235951586854266,0.143323441601027,0.108020764673552,0.0910207066275148,0.0760078513756882
"[30,35)",0.466394001808855,0.290116472317365,0.210404195594927,0.29232440132947,0.450671095060037,0.629360998078958,0.862273108090769,0.518880755169138,0.362572743408365,0.316473661820576,0.33453046960612,0.385511328362464,0.367674681189481,0.252518045554186,0.144332859001842,0.0881814203305358,0.0674644896890345
"[35,40)",0.478464233133838,0.38730302919617,0.29093528092766,0.305654577789392,0.371354100525064,0.43156520603188,0.555616306683807,0.79612776695801,0.511213907127164,0.382787911354164,0.342462969836069,0.341463311185244,0.38009148025351,0.367337875492463,0.240120002989049,0.112800809303465,0.060961197635293
"[40,45)",0.3181582537152,0.300090117765464,0.301233100305827,0.345231077578427,0.35183180385596,0.35226406859837,0.398758960484091,0.525061944425322,0.706840391166801,0.45849246545587,0.34759915760505,0.297395745393263,0.296394808961427,0.343874698131066,0.318859522702786,0.169878318676311,0.0623624342579457
"[45,50)",0.221564394673815,0.184646568370226,0.20429672333025,0.317961501507553,0.373019090893333,0.333578953964935,0.330752181592211,0.373607804115784,0.435694468172604,0.558990502757197,0.376761883469617,0.285872068840401,0.252397216540856,0.261272808074542,0.282855542962792,0.209874578105228,0.0841319068266503
"[50,55)",0.186866357822443,0.143005264303398,0.118580360817053,0.202773933133366,0.336843493955679,0.363084008747197,0.319455168592683,0.305408020144311,0.301812798131511,0.344251667849996,0.525169811066309,0.37639204680864,0.290502092253233,0.257280307855892,0.244778283497063,0.220955495805989,0.14518832323969
"[55,60)",0.169693861044075,0.151256133289403,0.0927662866650217,0.115671088318955,0.223590235802367,0.350012110335686,0.36399979124043,0.301092971399907,0.255319178707766,0.258267982225331,0.372160425294098,0.628178318025208,0.441954711306197,0.344900765325368,0.302919512213035,0.262198692894254,0.237259071033713
"[60,65)",0.142892492827477,0.156197619884151,0.0907347743379749,0.0813612304686759,0.124954752782403,0.229702399108225,0.335527901213744,0.323925867763376,0.245934924736365,0.220386167020178,0.277613090834969,0.427148311084107,0.627127912400927,0.464456849536568,0.389120118828067,0.300917238275802,0.232741877969022
"[65,70)",0.10813736910014,0.136720084175215,0.0815407092835499,0.069236302408987,0.0822995788983625,0.119431035892754,0.197248939669512,0.267966527264433,0.244234593506779,0.195277103963802,0.210452730951456,0.285333278118735,0.397560029558103,0.616203018370053,0.465373366994019,0.278624710568239,0.165886911214432
"[70,75)",0.0711601062881222,0.101763758703839,0.0611570195655204,0.0562739535042791,0.0673337774632853,0.0735388291745008,0.0921079179094342,0.143104295849609,0.185018791543513,0.172715494115268,0.163580072698421,0.204736374999631,0.272113771047016,0.380199041921645,0.589241274082545,0.289376831644165,0.158563371270404
"[75,80)",0.0373851845032895,0.0613922760323938,0.0380135654573879,0.038053364402924,0.050189987195075,0.0515679040512307,0.0468315631621053,0.0559456546403796,0.0820321729852485,0.106648869268934,0.122883092855823,0.147478291096563,0.175123212720128,0.189434439250278,0.240820564915023,0.284548071753926,0.140054736920201
"[80,Inf)",0.0231989771478165,0.0437799367871692,0.0314929894049295,0.0368975511480339,0.0506750956278676,0.051048592910232,0.0424739690871831,0.0358421190159124,0.0356989435101103,0.0506807687603329,0.0957205218617679,0.158199986639592,0.160567344698263,0.133701866377505,0.156429525179034,0.166028958921457,0.0400823478021874
