"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.842151483261743,0.699578876038307,0.349936033571187,0.235985104610766,0.338907753694571,0.644810776122367,0.869940170804931,0.660519717055852,0.360882268539767,0.239461742580603,0.244573071103609,0.285010295250242,0.267973372271748,0.194977343381913,0.13410962071505,0.101515875903021,0.0646199855494269
"[5,10)",0.639063177560938,1.03276385821368,0.681533127359433,0.246805651855154,0.161896083636959,0.284467518745399,0.626112404762477,0.823737105960432,0.55969819013965,0.281387013568681,0.1855738368307,0.189853417564553,0.214493757375887,0.198564176267024,0.150550217529914,0.110763554461219,0.0741735512412075
"[10,15)",0.2939061449141,0.626613669540929,1.02838777408246,0.529380309498509,0.179169576385454,0.135681111472429,0.270974086415217,0.571918341273206,0.67577727734458,0.429158728067707,0.215236058977325,0.141617487792893,0.13821739005804,0.150246543858701,0.14074374116179,0.110485173324899,0.0701655262108166
"[15,20)",0.191047629971273,0.218728340025493,0.510275650985126,0.823676720354756,0.411502316166047,0.155799555107741,0.134113708898087,0.25567539835488,0.483253862544558,0.541648021549485,0.344301679745576,0.169566921789392,0.103162311442878,0.0934058022163882,0.100710441810136,0.0967698528310572,0.0650191977170491
"[20,25)",0.287037912031193,0.150102177745002,0.180676647192999,0.430499823760946,0.682310968127291,0.368462009643131,0.15998581079766,0.133931337547473,0.225343214970427,0.401594092085339,0.450838654324733,0.281398267286066,0.129025104868651,0.0731439281061175,0.0672733714329307,0.0770328297090866,0.0680885381080182
"[25,30)",0.604708824775885,0.292038155801492,0.151500271414064,0.180477542861719,0.407989493068013,0.644444630392878,0.385957154272949,0.167450673146519,0.124153506926451,0.195422301527737,0.352367474463122,0.395219753714965,0.237223423560124,0.105139960643077,0.0628662245091158,0.0634652438211538,0.0740395410524138
"[30,35)",0.905217661393803,0.713195894308173,0.335715499600611,0.172377168633418,0.196556469369789,0.428241458171235,0.678793396805119,0.40551259380095,0.161179487815104,0.112795748552711,0.182340066573535,0.334789019906825,0.369969361806215,0.220263974682023,0.104067807327096,0.0680669491843962,0.0729596742137059
"[35,40)",0.711086277461495,0.970773771545247,0.733078587905435,0.339991758305077,0.170239745085197,0.192224787541099,0.419543720036792,0.660463233144704,0.376662023624754,0.145814269065565,0.107242612776545,0.17913145257141,0.322722206587364,0.348606273991107,0.21419541116778,0.106684105791505,0.0679499626670662
"[40,45)",0.347031150157801,0.589182326458675,0.773724766995033,0.574012283524474,0.255852487857354,0.127305711147721,0.148952931083052,0.336448223355689,0.544833167666804,0.31556470896881,0.129191675293864,0.0980199112716638,0.157050329898851,0.268152320063605,0.289018146307042,0.181612571263973,0.0758628591587326
"[45,50)",0.178088565050257,0.229085097953629,0.380012466509886,0.497576652355054,0.352638279501204,0.154974413019371,0.080617438230525,0.100731061296338,0.244053706995148,0.426653705387583,0.260165789970118,0.106402005700076,0.0747779135957201,0.111123009615198,0.190552629254334,0.2133094848775,0.107094528414597
"[50,55)",0.129249160767114,0.107356596522831,0.135429764994107,0.224750762091213,0.28130825863665,0.198564171870132,0.0926056683843773,0.0526441320184338,0.0709987510922136,0.184871254389121,0.339037794925436,0.201577515873421,0.0751876206377087,0.0489548701621877,0.075360913577764,0.138583159440976,0.131810863477923
"[55,60)",0.101278078385477,0.073852672679357,0.0599172385056566,0.0744284504887546,0.118064291753809,0.149754378145826,0.114330598594411,0.0591275985530368,0.0362214885579642,0.0508399158585949,0.135543251210737,0.246262331883332,0.138084476013888,0.0492414995267042,0.0339700687564498,0.0563147117623813,0.101252855524441
"[60,65)",0.0617894013762385,0.0541414516568507,0.0379459152781311,0.0293823377848316,0.0351268179210039,0.0583264972097093,0.0819831258995325,0.0691217436369457,0.0376580895321703,0.0231843964034279,0.0328057214342847,0.0896008847060542,0.167006270527888,0.0935319349848799,0.0348426538232764,0.0251025776158681,0.048775058862357
"[65,70)",0.0284225352931611,0.0316863676615187,0.0260773319277352,0.016818817463675,0.0125892305890884,0.0163430254176743,0.0308573413175033,0.0472038425613366,0.040649696655492,0.021781248248525,0.0135037837325016,0.0202001703062972,0.0591311381985476,0.114286244043237,0.0644690920303272,0.0239986374975665,0.0196631531022152
"[70,75)",0.0126242798172243,0.0155138989420031,0.0157745059947465,0.0117101946948267,0.00747708148583218,0.00631030044567728,0.00941454745432462,0.0187292475027881,0.0282923403305946,0.0241191349463261,0.0134237463616942,0.008998874584726,0.0142244524475436,0.0416312610121935,0.0775993691946375,0.0423987545789105,0.0129126896152303
"[75,80)",0.00601922553693247,0.00718946257229932,0.00779992901236662,0.0070874444418313,0.00539292951798591,0.00401262508116267,0.00387863848741572,0.00587583862962491,0.0111982366706804,0.0170065774454223,0.0155488406805466,0.00939666212523828,0.00645509476927585,0.00976145530748711,0.026706259963184,0.0467737117903193,0.0175773777288203
"[80,Inf)",0.00345072804949231,0.00433596574788795,0.0044611585943283,0.00428872718338906,0.00429299250237992,0.00421593179087707,0.00374423527360712,0.00337051751606411,0.00421279347001087,0.0076897330638559,0.0133191339841352,0.0152158512143381,0.0112958608432562,0.00720308222754387,0.00732510596500723,0.0158303790110577,0.0230285155354321
