"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.22268684862297,0.644671651070295,0.23447503168137,0.139500435471002,0.169082521490542,0.35804180393747,0.633119094266745,0.606006141696729,0.393804770250435,0.287791554093378,0.264686444215218,0.242814860648039,0.210530948667828,0.18526511635901,0.149315728552191,0.0946038527521079,0.0490968700619586
"[5,10)",0.588905594390589,2.57772839723871,1.00629628989999,0.262032867783143,0.164478565463002,0.209833807006707,0.360795249510827,0.448678355774813,0.339649981401816,0.219914699685433,0.185863978092101,0.198440621561062,0.212273596976059,0.217273533724937,0.198721187414688,0.144791351528435,0.0866438161434605
"[10,15)",0.196932141959779,0.925206692890666,3.71487268057537,1.07564061772855,0.304257041128964,0.209695892104194,0.239208114794489,0.308724297059985,0.311892651830895,0.223345401696126,0.14221771035897,0.112143697870655,0.113144611860693,0.118985822226748,0.109638951812497,0.0822302429689062,0.0568412603648736
"[15,20)",0.112936058488327,0.232223264627517,1.03682212313003,3.43279291144521,1.08656012009634,0.42087795164695,0.319316565147,0.312147791265037,0.343095101539422,0.333665036914406,0.234853886185373,0.136084679795933,0.0978773835574318,0.0969103879576172,0.096705975453133,0.0788610001723924,0.0637161745276686
"[20,25)",0.143204436607116,0.152496529339975,0.306816275313283,1.13672249664422,2.47095268760205,0.945947387034822,0.515803165225385,0.39779395875105,0.366249104872614,0.407993266284317,0.406009087018479,0.276348973069474,0.158824812545937,0.120805475171077,0.120875788083775,0.108724133183498,0.0916675777564773
"[25,30)",0.335774534944462,0.215418190074244,0.234144489409311,0.487543231464213,1.04742574486619,1.57082695800375,0.79818995919613,0.512561607716171,0.407186222540034,0.403808419248274,0.480361736780732,0.474031095791031,0.32451771270979,0.19576000279635,0.14670720077177,0.123628577205455,0.102387284391905
"[30,35)",0.658793104548354,0.410976828888466,0.296359968693458,0.410419530188486,0.63370900544854,0.885637248175106,1.21343112592108,0.733697237723925,0.512092551224153,0.445873803116589,0.469036186880761,0.5405779776971,0.5208475889284,0.359346821945212,0.205512074087393,0.125171161388323,0.0945164224704483
"[35,40)",0.652399376264937,0.528767220141662,0.395719380562266,0.415087556668004,0.505634778045922,0.588394446517116,0.759083868666503,1.08408967220687,0.697907347194782,0.52154145561963,0.46649994835158,0.463845294433774,0.516260288814127,0.501190122073726,0.329727848796034,0.155626723813653,0.0829317340699337
"[40,45)",0.378690044569419,0.357542278587745,0.357098525587556,0.407530736875479,0.415835660592154,0.417524505858071,0.473246859911459,0.62339623403206,0.839070759676185,0.544192039043872,0.412938340496999,0.353494877652475,0.350728661407181,0.40709329070781,0.379423492060519,0.203774754573787,0.0744133947913119
"[45,50)",0.214031620874978,0.179038754773889,0.197768404628125,0.306516271583257,0.358257370579059,0.320229432649472,0.31867516500024,0.360290009141559,0.420871157867758,0.539726115929525,0.363926704269198,0.276103259845933,0.243019466928295,0.251353533766524,0.273241872558623,0.204029209118448,0.0815895642461266
"[50,55)",0.139878444617298,0.107524446575763,0.0894855220051413,0.153306222436238,0.25333610630813,0.270690791218152,0.238210999912275,0.228999315027731,0.226934950620387,0.258602740704967,0.391796967037932,0.281259374634479,0.216475303531989,0.191634115370022,0.182947277995656,0.165473971674357,0.107678438117452
"[55,60)",0.0862839795603833,0.077193081159333,0.0474471112074025,0.0597320028315997,0.115945794894223,0.17961711504726,0.184607618834891,0.153105766554659,0.130627650036341,0.131924829860994,0.189122332946076,0.318726659696385,0.223544455063037,0.174157139851502,0.152993530439565,0.132836245041164,0.119113733867207
"[60,65)",0.0485443056490136,0.0535810497671717,0.0310624868118261,0.0278771026449169,0.043239726697515,0.0797896817304447,0.115416890872037,0.110574390621258,0.0840989722293256,0.0753465747316305,0.0944520978964319,0.14505454576057,0.214805137618419,0.15767683108185,0.132460460307356,0.103244828173606,0.0796288111242124
"[65,70)",0.0270067496918927,0.0346719594750439,0.0206516083579229,0.0174498595024873,0.0207925390764718,0.0304290650471669,0.0503418116926793,0.0678648130591844,0.06171201044926,0.0492678675287057,0.0528606375862647,0.0714438820684188,0.099683712209281,0.154616055607296,0.117346116884556,0.0711451686969572,0.0419591876560502
"[70,75)",0.0140556921144436,0.0204778210869988,0.0122882928103768,0.0112445718671779,0.0134347082347081,0.0147259760172161,0.0185917549684808,0.0288314042536863,0.0371422303546111,0.0345854981010626,0.0325876869160018,0.0405289021512122,0.0540767511102444,0.0757768826415331,0.118200634518359,0.0584524697365328,0.0314124773844106
"[75,80)",0.00560938790422969,0.00939814551519097,0.00580521384476648,0.00577579629396419,0.00761158053490995,0.00781648505189729,0.00713259063161552,0.0085714503468148,0.0125647575679677,0.0162666866313695,0.0185659529824595,0.0221650306567137,0.0265492715726905,0.0289383255465816,0.0368182242091249,0.0441233977046,0.0213639995127348
"[80,Inf)",0.0026217886807711,0.00506494043736216,0.00361399523217881,0.00420277855330596,0.00577965447570012,0.00583009836519417,0.00485051128260829,0.00411365733473406,0.00413230225085833,0.00585839425353423,0.0108806171710495,0.0178999085282113,0.0184413097708678,0.0153706517625307,0.0178196589804809,0.0192406520868082,0.00496224186129195
