"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00249209223215881,0.00407962772138459,0.00306379141361416,0.00318439856880376,0.00642763965759827,0.0140438055133484,0.0230968377191984,0.0279384773860177,0.0288180211186509,0.0271454928090524,0.0208930530388356,0.011511143500075,0.00474656651241374,0.00182914224112422,0.000808850600448703,0.000437671461412364,0.000326449935309354
"[5,10)",0.00377277599674508,0.00860874276216925,0.0066418922719724,0.00542216137914007,0.011486548477003,0.0217861350903102,0.0293998305084862,0.0312119740139715,0.0311805460011374,0.03059661362468,0.0261620194977522,0.0171012543549846,0.00865007387530044,0.00397259430005141,0.00196128820577659,0.00115638139272078,0.000892345364327049
"[10,15)",0.00265671638288453,0.00622783847660051,0.0188042781740529,0.0160277470530484,0.0219292935201751,0.030122846409066,0.0332457611858331,0.0321830512842284,0.0316819367020723,0.03183278191047,0.0283787054915002,0.0200427333876539,0.0116718854827595,0.00644344786192757,0.0036921613865324,0.00234079651640965,0.00182446767311936
"[15,20)",0.0028004665410168,0.00515626134344823,0.0162550926370957,0.0708547442562325,0.0895483569319487,0.0886893567887972,0.084801990573996,0.0779646203244374,0.075729262381431,0.0759751208609558,0.0673307872687183,0.0469719531012176,0.0278019033969222,0.0165404535624837,0.0108088128764671,0.00754662214750821,0.00583069715261397
"[20,25)",0.00632910518118459,0.0122303773043826,0.0249017250094393,0.100264096574276,0.285503186561981,0.285814192385515,0.249744736674281,0.221021404846468,0.207693946990417,0.20184936240993,0.173711136831278,0.117479497895108,0.0678721836082943,0.0406177009816463,0.0286456259412722,0.0224447203425585,0.0187230772635813
"[25,30)",0.0162650399603828,0.0272841252310731,0.040232807229463,0.116798930261607,0.336173384819698,0.540118536637218,0.495769308442226,0.423341728354139,0.381081538348404,0.354820051432236,0.295624365105571,0.195679869850045,0.111210247438458,0.0656657720935051,0.0471921129313163,0.0400622350076145,0.0399041854196104
"[30,35)",0.0304674031053627,0.0419360243913856,0.0505746862690787,0.127199672794955,0.334571134104697,0.564666762478779,0.676871170677567,0.594922106733835,0.511602868548269,0.457342083779584,0.37093187312139,0.242480385287208,0.136975557087547,0.079892400522022,0.0566730711050186,0.0493381824721943,0.0614367574165839
"[35,40)",0.0390204212763334,0.0471378717515955,0.0518358754993016,0.123818010089134,0.313496548321859,0.510516720107128,0.629892462530813,0.702054551564967,0.620905155679531,0.539840763498485,0.430500703189811,0.27835298228543,0.155537567325999,0.0892122676942007,0.0619790911284927,0.0538572301464344,0.0840917768756596
"[40,45)",0.0402547604658221,0.0470973336799406,0.0510362568246472,0.120285658479758,0.294636223721035,0.459621856943855,0.54175527249741,0.620996478614079,0.677951880428117,0.610311245227956,0.481257842234588,0.305602160446012,0.166232171722698,0.0926610367008609,0.0633788025862717,0.0558069103468338,0.109352032263786
"[45,50)",0.0378834370095121,0.0461726200954279,0.0512318735331581,0.120564673653093,0.286080485341117,0.427552519356828,0.483849051480384,0.53942130907382,0.609747353638945,0.658918664345623,0.537687312583522,0.331145872660025,0.173066968733752,0.0934147516360854,0.0638495912681189,0.058682837170918,0.136556637303155
"[50,55)",0.0292960555562818,0.039667791570158,0.0458895528179999,0.107353935053949,0.247368340048367,0.357912726430973,0.394292467748953,0.432207092129994,0.483094365137113,0.540238323727144,0.542958514996464,0.343271709652705,0.1728274433497,0.0917012825175019,0.0637137693235595,0.0610831890211763,0.138695138061175
"[55,60)",0.0158261853409976,0.0254240807861004,0.0317781587149011,0.0734333650353704,0.164032184894953,0.232291651802003,0.252726904082701,0.274008754267458,0.300788417086008,0.326231191637185,0.336580188056205,0.266805103296247,0.14083480298937,0.0752717970283542,0.0528970454962436,0.0496833410143646,0.0841442929055141
"[60,65)",0.00596483342315025,0.0117543354148725,0.0169150687643497,0.0397274153302234,0.086620319070105,0.12066830931114,0.130490504047793,0.139947398942969,0.149548043696612,0.155840844345011,0.154890296316525,0.128727388868519,0.091669401989734,0.0543896660395083,0.0364305830277506,0.0294872744395652,0.0296932906816184
"[65,70)",0.00192247044202399,0.00451487697730766,0.00780988270936319,0.0197677226101989,0.0433547552295797,0.0595910336928017,0.0636553260451074,0.0671347770447041,0.0697198197162215,0.0703519293338709,0.0687353831591727,0.0575422311120973,0.0454893609019045,0.0454816030086898,0.0309184060630471,0.0183553469009413,0.00985343650291305
"[70,75)",0.000705083454582833,0.00184872852406253,0.00371164890439318,0.0107138914428247,0.025359444525298,0.0355198649405902,0.0374512263557512,0.0386837167709209,0.039551517391015,0.0398821616517115,0.0396094002461796,0.0335386708717742,0.025270834536674,0.0256434891161195,0.0243386777189954,0.0103919633855571,0.00320899139649094
"[75,80)",0.000316874364487049,0.000905314518535821,0.00195441388688849,0.00621281632186503,0.0165029765881222,0.025044001586199,0.0270794043811995,0.0279186021965184,0.0289250264191249,0.0304437632401536,0.0315393933307083,0.0261632619717229,0.0169884892373948,0.0126441395736282,0.00863106272841563,0.00145602570147008,0.000220976471753949
"[80,Inf)",0.000314128600988433,0.000928503144661081,0.00202460855105876,0.00637981976528791,0.0182968922795636,0.0331542352643866,0.0448163273293606,0.0579368931517861,0.0753294263917388,0.094156880938388,0.0951798216504839,0.0588922000936381,0.0227368592908164,0.00902124387559419,0.00354231545965123,0.000293696013612249,3.85828658311366e-07
