"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00733063618728297,0.012111287211735,0.00912965129983151,0.00936478746282984,0.01872757873644,0.0410611205113675,0.0681697243670987,0.0829444009964349,0.0857015868136661,0.0809211182339424,0.0626071914304912,0.0346203546716818,0.0142286792083822,0.00547834523307637,0.00243809281057998,0.00132301058739643,0.000946115702062823
"[5,10)",0.0107047589671258,0.0243463334895751,0.0189529790286074,0.0150857972249992,0.0320643145172922,0.0613736970289309,0.0834963939131665,0.0889725249157066,0.0888768758719273,0.0873359889526663,0.0749744671278166,0.0491756871863565,0.0248174838853349,0.0113921384620162,0.0056566055821082,0.00334085621453015,0.00250997019889634
"[10,15)",0.00700998744150831,0.0164647045513897,0.0495187354854354,0.0414032207714847,0.0569034406748703,0.0787506094693501,0.0873713790317825,0.0847167043006171,0.0832988435467532,0.083767346587332,0.0749507708754396,0.0530905650657021,0.0308456102858528,0.0170080212342055,0.00978776193544196,0.00621734519257775,0.00479848149596188
"[15,20)",0.0061692810769461,0.0112439345326225,0.0355228423830483,0.150415505656431,0.194257316508357,0.19366063851852,0.185795444002517,0.170928045228465,0.16586499234877,0.166647866407379,0.148360192422378,0.103893230639474,0.0613984356338999,0.0364962716216475,0.0239040083531015,0.0167164000672459,0.0129678587241236
"[20,25)",0.010713210463211,0.0207526410961532,0.042394887035693,0.168685890477941,0.485317838942293,0.487605081542918,0.426217662075951,0.377203234025433,0.354242161612379,0.344884852401538,0.298229859122992,0.202423236456676,0.116741528492562,0.0697902379560697,0.0492566999832247,0.0385638422376028,0.0322765172107804
"[25,30)",0.0206994173473971,0.0350044307778348,0.0517032922877829,0.148194488368102,0.429692271212648,0.69795401883636,0.640682443681637,0.547069362196651,0.492323907231774,0.459236248767727,0.384348437557194,0.255206630884461,0.14472600186744,0.0853612169964539,0.0613861702063362,0.0519613864012437,0.050397499299132
"[30,35)",0.0299308712238195,0.0414771540856711,0.0499613265755673,0.123830107086389,0.327130665969396,0.558011718479327,0.671521735080134,0.59021327506354,0.507355072279794,0.454193548671147,0.36982424986112,0.242414570068441,0.13662507801405,0.0796039243158767,0.0565184082408989,0.0489919262381152,0.0557612494480194
"[35,40)",0.0306918245016032,0.0372481713750908,0.0408264514599583,0.0960090837166386,0.243990565458663,0.401560235376395,0.497412602132254,0.555060111122825,0.490494409760435,0.426838918514543,0.341577882207089,0.221439223938404,0.123473107486476,0.0707609683303115,0.049210112745507,0.0425227574084461,0.0555883095324463
"[40,45)",0.0257187330699212,0.0301760852743195,0.032556419077481,0.0755577137984148,0.185833048762932,0.293078735448457,0.346772695261346,0.397794833934828,0.434439010728247,0.391326574764122,0.309674026278094,0.197226301961537,0.107083278638178,0.0596513562697932,0.0408292520095897,0.0356816801328722,0.0534971689480546
"[45,50)",0.0191682520427556,0.0234060047243819,0.0258423702854817,0.0599216496928148,0.142809385626263,0.215789084296433,0.245038190386572,0.273242981483159,0.308886743084272,0.333800007850388,0.273398368692027,0.168952696191206,0.0881390906934026,0.0475307674126771,0.0324751928394511,0.0295482821407809,0.050189446659929
"[50,55)",0.0116038532792815,0.015721891877847,0.0180921867328787,0.0417406072539778,0.096625360092542,0.141310945659524,0.156115337328626,0.171092951247516,0.191259087794513,0.213920936117476,0.215733275334517,0.136800446772259,0.0687078287401477,0.0363946971566914,0.0252515737170176,0.0239545981235287,0.0413055940615393
"[55,60)",0.0050122448382458,0.00805498270619963,0.010010483696461,0.0228323905047227,0.0512298546516814,0.0732934887276981,0.0799340215422721,0.086640247490879,0.0951491446255856,0.103263123059866,0.106858795135595,0.0851147159160881,0.0447517707243712,0.0238659887422185,0.0167585674104328,0.0156331839647437,0.0224923110371444
"[60,65)",0.00159020111445221,0.00313804107698463,0.00448970475966059,0.0104161719155063,0.0228073504284429,0.0320853444226803,0.0347768360470158,0.0372927330659957,0.0398793817985091,0.041584874520017,0.0414300714838985,0.0345459328770326,0.0245332627570048,0.0145191174792184,0.00974649071242924,0.00789243375659572,0.00774627619550971
"[65,70)",0.000452936164037959,0.00106562957633572,0.00183137946588128,0.00458035847431113,0.0100865878310776,0.0139997691511453,0.0149897454660554,0.0158105048214139,0.016434148816976,0.0165898244806112,0.0162348284309646,0.013629071425494,0.0107408921188861,0.0106948074247799,0.00732265918465328,0.00439626081419008,0.00259180031088567
"[70,75)",0.000135280295917432,0.000355102409216129,0.000707301629680297,0.00201334597370097,0.0047776201526053,0.00675658936988263,0.00714243690216235,0.007379093949074,0.00754909736394613,0.00760703498637103,0.00755952926699554,0.00642274140855135,0.00483888296996078,0.0049143437519538,0.00476271113615391,0.00208900335684396,0.000764031999013018
"[75,80)",4.11130431033845e-05,0.000117459324485595,0.00025162757646583,0.000788537639022877,0.00209487732651963,0.00320309418970726,0.00346747228620631,0.00357110065708053,0.00369488470977341,0.00387639393528283,0.00401630962480689,0.00335554430877826,0.00219452121674003,0.00165238845859417,0.00116996031572763,0.000215348923567221,4.11358769940016e-05
"[80,Inf)",1.61682262612465e-05,4.85288615586809e-05,0.00010679696297821,0.000336395181463454,0.000964199249047568,0.00170844023568366,0.00217031515971172,0.00256723700362499,0.00304640907210117,0.00362084471433239,0.00380845644616893,0.00265492002936236,0.00118446884054229,0.000535712851340445,0.000235312698986956,2.26215617578515e-05,4.29865854541116e-08
