"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00274268192875281,0.00434634426848205,0.00324607361015545,0.00337759854860484,0.00677569663494841,0.0148283145479128,0.0245083761540641,0.0296240250783674,0.0305221613211801,0.0287758916388184,0.0222596218564477,0.0123663749726274,0.00511483457496793,0.00196805322910601,0.000871336856109486,0.000471765928757946,0.000348313630597741
"[5,10)",0.0046778313025358,0.0107550291719824,0.00820897855564408,0.00668655173628367,0.0139914250371529,0.0265432211879129,0.0358968101387052,0.0380677964598311,0.0380166279667764,0.0373195085247298,0.0320104869140713,0.0210530867507718,0.0106820360300062,0.00490652960481994,0.00242658583752392,0.0014309655772397,0.00109398820018279
"[10,15)",0.00375215381781892,0.00881639335434401,0.026394142063226,0.0225953025297503,0.0307259080930397,0.0422442566302694,0.0466678075979089,0.0451457514086714,0.0444571562145724,0.0446754473588684,0.0399123040889672,0.0283031735949794,0.0164995931581361,0.00910461811786153,0.00522685874784218,0.00331496898804192,0.00255811711782246
"[15,20)",0.00412406186726934,0.00758575687219344,0.0238678353412833,0.102433931490618,0.129910844463542,0.128780352863282,0.123162747428506,0.113188970261024,0.110004774479533,0.110371335722745,0.0980220800511212,0.0686471963075182,0.0406290064078202,0.0241187871481169,0.0157600739751726,0.0110032515355716,0.00842474243366779
"[20,25)",0.00837396538415545,0.016066405558863,0.0328518374546446,0.13149385914213,0.372020905845241,0.373136715918185,0.325767903239224,0.288192280262082,0.271077262887986,0.263643365742965,0.227490787727077,0.154496538843093,0.0892590151573774,0.0532801117126565,0.0375312873141691,0.029363994071418,0.0242619519607248
"[25,30)",0.0181935701262676,0.0302593317470551,0.0448406130495733,0.129407249761662,0.370439181510762,0.598865623158461,0.549051436220999,0.46852647060924,0.422192268778903,0.393520685697678,0.328763029086833,0.218489539257087,0.124149133671835,0.0731095557113923,0.052485108574415,0.044479465004904,0.0437860851502552
"[30,35)",0.0312244086330566,0.0424927766170499,0.0514369031849414,0.128511475670834,0.335823256921398,0.570120395169004,0.685788817861227,0.602034250710559,0.518035526261967,0.463512912446812,0.376866454886711,0.247287185681103,0.139650433036468,0.0812275946496911,0.0575540797848335,0.0500103114727212,0.061529165927337
"[35,40)",0.0409304367954941,0.0488696938936895,0.0539631047410336,0.12808234761535,0.322186580789851,0.527606704956265,0.652895729027681,0.728483074734984,0.64454716797545,0.560913456584002,0.448383605794652,0.290982223859644,0.162533660517708,0.0929557210522898,0.06449734854298,0.0559131598158429,0.0864775153260088
"[40,45)",0.0451122574356511,0.0522074446633086,0.0568458396205392,0.133159964008785,0.324186675146417,0.508584843638977,0.600978777579271,0.689495868812444,0.752616833686652,0.678212074142122,0.536147871850859,0.34175404760431,0.185821492876972,0.103264145913059,0.0705340364934351,0.061938768461205,0.120824246963782
"[45,50)",0.0429272238887372,0.0517272627371975,0.057656815834908,0.134847584101427,0.31823185724648,0.478459785572812,0.542732922038486,0.605616306939573,0.684526483027887,0.739140122614604,0.604788960145209,0.374060210520405,0.195460445229728,0.105175082808256,0.0717651335508043,0.0657225841452419,0.152540971175193
"[50,55)",0.0309697739343212,0.041380153821126,0.0480401973552168,0.111693274833457,0.256098396602871,0.372801015770205,0.411555159452824,0.451510303523694,0.504691003151599,0.564053234164546,0.567397782833481,0.360327454001531,0.181374944615106,0.0959056020948308,0.0664888835585008,0.0634958900322113,0.143386212801394
"[55,60)",0.0147344667091953,0.0233070527132579,0.0291745977007381,0.0669881019952923,0.148947616291274,0.212176128439791,0.231267144536628,0.250932062894348,0.275503043728384,0.298764856710585,0.308580949500562,0.245569928731052,0.129469000658288,0.0689349299402162,0.0483553194796804,0.0453234723499835,0.0762001214181524
"[60,65)",0.00479662451554294,0.00930760055021761,0.0133861317888538,0.0312049283581087,0.0677296783747137,0.0948902705341721,0.102793755412698,0.11031768367025,0.117901898665252,0.122873718142825,0.122253463152204,0.101900875540003,0.0724480497352263,0.0428022750961914,0.0286677866325449,0.0232312645626505,0.0232798564959247
"[65,70)",0.00138325608765774,0.00320420092117401,0.00553611642138555,0.0138836632797225,0.0303007702534856,0.0418806829746482,0.0448115182083093,0.0472867603461093,0.0491061663482493,0.0495535301069209,0.0484495193645093,0.0406642790976401,0.0320795651886495,0.0319651271943083,0.0217661872162819,0.0129744276280562,0.00697615900746329
"[70,75)",0.000455316016040069,0.00117815401856543,0.00236289996979602,0.00674478254030038,0.015868763791987,0.0223530507263934,0.0236060472815075,0.0243930660390043,0.0249371205370588,0.0251383243868883,0.0249721324958078,0.0212069928005915,0.0159741175396147,0.016182419428507,0.0155027710893029,0.00667317357383248,0.00207885331116684
"[75,80)",0.000177936884551712,0.000501473703144042,0.00108167454542346,0.00339893851419186,0.00896143026132157,0.013673283722612,0.0148053706537454,0.0152633946434508,0.0158060262615275,0.016616900781483,0.0172133251324261,0.0143473130268115,0.00934346858688738,0.00696244644813079,0.00481664887505029,0.000835089280025452,0.00012920861900714
"[80,Inf)",0.000143200990335627,0.000417895559675406,0.000909858183001119,0.00283671066307778,0.00807093931397908,0.0146718720025172,0.0198553201754796,0.0257321717648291,0.0336085961364271,0.0420395486171935,0.0423704125390025,0.0262929432380066,0.010205909657433,0.00408062017546337,0.00163558287264681,0.000140840522109885,1.92702244443467e-07
