"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.930237300330257,0.488711449889714,0.177627566512496,0.10556914185418,0.127870235276571,0.269732790216515,0.476377637422136,0.458807474786255,0.296381593036647,0.216507089253297,0.199764947413222,0.183329919916424,0.159335224809387,0.140534325257859,0.113452292973649,0.0719967677542991,0.0372790796983956
"[5,10)",0.47291638255244,2.07156316727601,0.807513504986746,0.21009907500652,0.131759893982586,0.167617817817739,0.286803043558117,0.358579375843605,0.270642201261773,0.174490140278247,0.148438983316855,0.158710564228292,0.169615328523483,0.173503179445317,0.158574129036011,0.115549020161403,0.0675657963903673
"[10,15)",0.165451187393696,0.777279961764072,3.11290589352968,0.901468713173947,0.255031297648515,0.175885928396693,0.199871459136167,0.258074591959393,0.260863852310315,0.185254044577858,0.117975646956706,0.093702109271478,0.0947499843610963,0.0995398209368473,0.0916513242230695,0.0687500939650987,0.0465455666542253
"[15,20)",0.0983717688836933,0.202313929350792,0.901829890703182,2.98316144887963,0.944395342575109,0.366883772483558,0.278318246868539,0.271413965035404,0.298594953972845,0.289148341885745,0.201757357415752,0.117268163079236,0.0849730060502843,0.0843290024271343,0.0840754702310845,0.068573053068332,0.0546482924367917
"[20,25)",0.12976590855555,0.13817915720239,0.277859407904423,1.0285170480317,2.23095877764525,0.858451194425444,0.468648215891374,0.360725464650378,0.33155559462395,0.370263428654047,0.36586405400212,0.247628307475173,0.142905411941896,0.109349591583171,0.109438271156499,0.0984158407422027,0.0818001835616152
"[25,30)",0.30977923618373,0.19893302987696,0.216865332734391,0.452182315322429,0.971500484194198,1.45384870683879,0.742143091007115,0.475100929002282,0.376188908144508,0.374708543122523,0.446189467593219,0.436386745729104,0.297439310198994,0.180155397793439,0.135588089076945,0.114316213748361,0.0930670308147104
"[30,35)",0.572787903013064,0.356364457092878,0.258008332429008,0.359129153405819,0.555262432869225,0.776983077621936,1.06166593270417,0.640521981774684,0.445425094118419,0.388405344349257,0.411325607616265,0.473393024307113,0.452261041809938,0.310488130827686,0.178353390393256,0.109154966966605,0.0811602857298293
"[35,40)",0.508347933573274,0.410567000593008,0.306984398817353,0.322722524318072,0.393836743502707,0.458350698708879,0.590231176233905,0.843305182381392,0.53897804358639,0.403624419778325,0.362000433744724,0.361735914740582,0.402654653794779,0.388365125297245,0.254819365726634,0.120482761145096,0.0631984894934736
"[40,45)",0.293605969325042,0.277062229936773,0.277439334570621,0.31744071429817,0.323652425471585,0.324489822313657,0.366982928785741,0.481896918105404,0.651129276628727,0.420270285174104,0.319773001584707,0.274209844547738,0.272854755441468,0.31658389345182,0.294928526913579,0.158748610509133,0.0561578223091896
"[45,50)",0.202995852223762,0.169065148301267,0.186476117763662,0.290939212858381,0.342085537460105,0.305907467000922,0.302871053881446,0.341555984179107,0.397768213240635,0.511783735103619,0.345732356305232,0.26281362072446,0.231594947543682,0.239055600238465,0.259219171470651,0.194763086382439,0.0755836325450476
"[50,55)",0.184261211338468,0.141491634305824,0.116828145252311,0.199714927993122,0.33253949383572,0.358356586723722,0.315542537323187,0.301365233862624,0.297743834487316,0.340125834156847,0.518804882738279,0.373706801970003,0.287364539743199,0.254149524906278,0.241715600095549,0.218869986586259,0.139584547140766
"[55,60)",0.154325171522505,0.138063033182253,0.0846824207701851,0.105937581115052,0.205405733237889,0.319857406333506,0.331423120888274,0.274830211068249,0.233009060705604,0.235958836632688,0.341051359973663,0.571339555411671,0.401774938937065,0.313234216172591,0.275424438646435,0.238702506427154,0.209534999550542
"[60,65)",0.110478339099157,0.121534223955055,0.0705317994199457,0.0632284931600746,0.0976388976936912,0.179574697969364,0.260802678166443,0.251980819634591,0.190977943918162,0.171269242510617,0.216014984586142,0.330936571468868,0.48705557441432,0.359585524661612,0.301941289706989,0.234827108478601,0.177642474131126
"[65,70)",0.0741884310263086,0.0946519066012469,0.0564145471760692,0.0477746206239244,0.0568826461616024,0.0828099443706421,0.136318972956856,0.185039062645098,0.168705381602613,0.134597704422333,0.145454927847348,0.196435307135432,0.27377301272537,0.424380144810262,0.322265645596259,0.194547987267743,0.114278323690373
"[70,75)",0.0425900988065009,0.0615171008090778,0.0369381033244168,0.0338712469568717,0.0404830706093901,0.0443198569677808,0.0556844927862165,0.086337053376236,0.11176311520087,0.1037880721812,0.0983751513371015,0.12282716365596,0.163475448098372,0.22916886147842,0.355708679553997,0.176035400426522,0.0955968825755508
"[75,80)",0.0176368257041869,0.0292510759709401,0.0180809480053931,0.0180271644256566,0.0237564357604062,0.0243835365715473,0.0222386517993784,0.0266380087700893,0.0392557883279335,0.0508860838048336,0.0581271457657712,0.0694641911528524,0.0829641207456856,0.0902776804366051,0.114871440230336,0.137332337284227,0.0660513272648247
"[80,Inf)",0.00913426812847726,0.0171081728187685,0.0122441142373147,0.0143698316505278,0.0197502093761217,0.0198557306189381,0.0165390160841701,0.013976057987118,0.0138900938046296,0.0197524645384225,0.0370792788158684,0.0609904347648795,0.0627754807658832,0.0530418497405474,0.0623960264681063,0.0660667128117799,0.0154532569870421
