"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.37515306805664,0.309922445872822,0.153895083902715,0.104121967183073,0.148713738591527,0.283390477712561,0.385753674687057,0.293982313483486,0.159426181099172,0.105650388080072,0.108456359563999,0.126119209691373,0.118356857791672,0.0862827477808125,0.0593296814034294,0.0448697341522605,0.0269182577239919
"[5,10)",0.332263407517545,0.539417109709552,0.352821319321249,0.128362212561215,0.08381278457677,0.145718464448652,0.3224860639583,0.428443614237629,0.290608963126504,0.145051624934876,0.096094030627886,0.098565094746457,0.111133777932922,0.10302227106485,0.0781570492075167,0.0574175353208212,0.0367433664944469
"[10,15)",0.189706500502024,0.405679256623131,0.66744936638907,0.3456358967273,0.117869935326515,0.0875839096721391,0.173128723058053,0.367999713187915,0.438115587922388,0.276775747609385,0.138726193022694,0.0916189831757897,0.0893118333823578,0.097028098989311,0.0910671486841526,0.0714301129103592,0.0434454893183222
"[15,20)",0.150784161324413,0.173388811843814,0.406045530871611,0.651997130915844,0.329416295442494,0.124568999673851,0.105842461769868,0.201105677537231,0.382672961468475,0.4269858577462,0.269295028760586,0.13298162480262,0.081374721795042,0.0736819304149498,0.0794772454958097,0.0763018125100156,0.0489765579189727
"[20,25)",0.240002945660878,0.126167142270464,0.154316036269196,0.367110832080002,0.576182549794602,0.311875210937658,0.135123609053525,0.113139721854707,0.192077729118208,0.342559287602793,0.378376619533901,0.23367902392301,0.107786933766058,0.0615838832649064,0.0568691767700121,0.0651748773093942,0.0551969098003149
"[25,30)",0.492351117633347,0.236142837281889,0.123440177246705,0.149446686937056,0.335741519162613,0.529032070824431,0.316306927495348,0.136974951412066,0.102235650006226,0.163549558190952,0.293186180540366,0.322599760580095,0.192322784143069,0.0856128338098832,0.05145847082338,0.0523200149687839,0.0598078020882263
"[30,35)",0.725475920054295,0.565710706075028,0.264134171297541,0.137454670940687,0.157463059747881,0.342398583139413,0.543513862270264,0.32362794230964,0.127644529777346,0.0906906165289912,0.149003597304794,0.270858838278515,0.295124756612654,0.175108221007347,0.0826354663450337,0.0543524513990932,0.0586979957408854
"[35,40)",0.573934932366568,0.78019946090504,0.582816005107599,0.271114301156619,0.136864584064018,0.153919249019934,0.33594991637012,0.530337380981297,0.299280018826957,0.115241673864356,0.0866156190492906,0.145985945745737,0.260388418353143,0.27955013002879,0.170964618403789,0.0848763281169874,0.0542839180700821
"[40,45)",0.306171768847848,0.520577053817577,0.682553565398292,0.507481152412087,0.228568844280962,0.113010341652195,0.130345120482548,0.294402685426887,0.481317199389426,0.276432405930026,0.113425112631389,0.08694087522081,0.1388863939682,0.236431398925464,0.255450178851685,0.160061891655506,0.0641914818199372
"[45,50)",0.201574421689212,0.258141268778405,0.428385628216354,0.562554310408059,0.404980947658194,0.179607317388529,0.0920054915717729,0.112624383848648,0.274629875070959,0.485547094478966,0.295960677221569,0.121339815813545,0.0848070870751238,0.124775010102743,0.215103841138246,0.242675655303356,0.114188183458187
"[50,55)",0.205414967725572,0.169763370431325,0.213146431047642,0.352202179393211,0.444054090794101,0.319617745485054,0.150058598556586,0.0840295080429287,0.111861536870589,0.293796589037947,0.539694091357944,0.322051144519172,0.120658440655684,0.0775709981173225,0.118600821203812,0.219773591651733,0.198011412526299
"[55,60)",0.221334583942167,0.161347298325349,0.130435569713376,0.161155938189226,0.254110310886403,0.325868516753605,0.252754047682742,0.131231360155108,0.0794486543174887,0.111611011349471,0.298411683016621,0.538984680020226,0.30504115351367,0.109124185987449,0.0744375663624315,0.123341947822857,0.217102504968189
"[60,65)",0.169812943918418,0.148728418084843,0.103951055388484,0.0806219913717995,0.0958248176928062,0.15882484015938,0.225149027886446,0.19136282448236,0.103760383033397,0.0637742243125708,0.0914024864060033,0.249383525947147,0.460479931990679,0.259579057984778,0.0963968716288498,0.0693893485351313,0.138920407180133
"[65,70)",0.0898510217848114,0.100069260064963,0.0819670131056095,0.0529842374611638,0.0397375093565143,0.0513154628814271,0.0969600115944588,0.149113613976052,0.128203152543303,0.0681023880294388,0.0426502292415574,0.0647518278095725,0.188404529957074,0.361728061234168,0.203529713752568,0.0754130159699461,0.0653828469728965
"[70,75)",0.0451053002948479,0.0554235363451554,0.0561642333874659,0.0417239108958958,0.0267896490027328,0.0225176344110358,0.0334048183571322,0.0665764061825659,0.101124473450027,0.0857115605180884,0.0476064936537615,0.0322462851756858,0.0510788531801329,0.148588203243456,0.277267588774373,0.150643695769653,0.0447848665089949
"[75,80)",0.0261899946233699,0.0312605759479117,0.0338225060791653,0.0307541272719329,0.0235720120722153,0.01757762105831,0.0168689526479011,0.0253762264052551,0.0486479291524002,0.0742409974404275,0.067729887742724,0.0410227412284705,0.0282291212189982,0.0422697004003812,0.115658435221366,0.203210479325735,0.0698981503249133
"[80,Inf)",0.0208875847282591,0.0265944331831096,0.0273481847230755,0.0262431629557269,0.0265393671017914,0.0267121869443156,0.0242187441892758,0.0215760037306221,0.0259366080303599,0.0464406314281039,0.0811249489967241,0.0959926705849913,0.0751328669114593,0.0487198622729852,0.0457106081571408,0.0929233906477908,0.132542064077524
