"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.551202267283841,0.286307464467066,0.103691193432409,0.0620297507626898,0.0748116210273063,0.157490263755733,0.279533008897421,0.268199950774269,0.17342931205096,0.12689204227147,0.117258230827421,0.107882226426614,0.0940467325758674,0.0831236840436941,0.0670296145058824,0.0423163076706783,0.022059649581021
"[5,10)",0.306946124775269,1.3615388703179,0.522207852543468,0.137238621465022,0.0859998688278971,0.108481163812489,0.185952607187162,0.232043839131355,0.175315991770981,0.113148544825375,0.0959905285312305,0.102519914873197,0.109620013782042,0.112193980505501,0.102377731832407,0.0742327942018165,0.0430008290650775
"[10,15)",0.127820154745007,0.600442438768006,2.42372309151176,0.70909344211025,0.201423587267686,0.137534350148509,0.155409389001956,0.20010992334491,0.202473817622484,0.144399940635953,0.0917995995661943,0.0724347892749361,0.0730027737447934,0.0767390712230802,0.0705927475753933,0.0527562281417658,0.0356804227735092
"[15,20)",0.0898283445746798,0.185378866880744,0.833027546807157,2.72077553212884,0.874626907704683,0.337096879697219,0.254557099250429,0.247989516356784,0.27262490477622,0.264387721060938,0.184899554394512,0.107329210002544,0.0776161357407052,0.0768952643184641,0.0766711893468401,0.0623616609120798,0.0499140130566695
"[20,25)",0.120735377822327,0.129459458249021,0.263704985602717,0.974708951224537,2.08705618538073,0.800753221406216,0.435580079117714,0.335637057135555,0.309392047113631,0.345532260428378,0.340908893464262,0.230326958554571,0.133204583635636,0.101925651580126,0.102032389499045,0.0914491593463947,0.0761770611090403
"[25,30)",0.273617194206342,0.175798241569787,0.193839994393889,0.404418530930404,0.862031009842011,1.29149897520687,0.654811054613855,0.420184448845605,0.333513830345128,0.332677668050594,0.396039045514228,0.386883505024444,0.263983419721241,0.159875643809292,0.120127122064025,0.101165944543017,0.0822454042407184
"[30,35)",0.525709747236808,0.326201322987849,0.237100635012045,0.330586247976375,0.507592807086218,0.708825377613983,0.971850042212025,0.586408624324164,0.408745983721505,0.35657130587941,0.377113866927486,0.433944665958914,0.415738442046228,0.286299317336914,0.163386607210865,0.099527490869222,0.0740034360570913
"[35,40)",0.523600616596256,0.42255380213511,0.316922165770042,0.334319275540047,0.406018553592701,0.472162787060302,0.608735843062436,0.870396013098651,0.557753761983341,0.417512835045442,0.37410626203438,0.373108354664307,0.415104056257831,0.402032566347788,0.263113855600763,0.123415507100706,0.0646122680676573
"[40,45)",0.333064236216492,0.314049097114446,0.315440102858225,0.361541093264488,0.368170651345856,0.368663102457312,0.417393871777126,0.548664110549214,0.739556148889907,0.478170278723212,0.363572674830398,0.311605988136067,0.309707563111508,0.359342503809001,0.334518152653126,0.178323948114051,0.0621765720629438
"[45,50)",0.242102187248465,0.201364920487904,0.223498120113611,0.348331096694543,0.408495659989286,0.365340904460752,0.361741043709156,0.408030569316807,0.475052277125724,0.610800851038009,0.412857774771766,0.313709288111913,0.276512020764689,0.285167831801107,0.309191820207662,0.230393502330297,0.0869141750271338
"[50,55)",0.222085600123421,0.169580519689607,0.141045873117387,0.241824092803721,0.400082829952268,0.431743087679,0.379783974286455,0.362936448409363,0.358560791584566,0.409838925645295,0.624874547460272,0.450019002320875,0.346330308145748,0.306213765871935,0.291055000065276,0.26287698824372,0.163822177412699
"[55,60)",0.189329347680829,0.167821187935598,0.103123530502588,0.130068643383937,0.250465163972548,0.390803619048099,0.404938865899844,0.335398840057598,0.284753016021585,0.288556651261909,0.416986339460248,0.698832019359395,0.492202334722862,0.383332820604707,0.336553074400568,0.291467636903216,0.254146772701508
"[60,65)",0.134933900938184,0.146702573632314,0.0849687559829787,0.0768981728964979,0.118421635134689,0.218003938684472,0.317164534605907,0.305065352606626,0.231378859070587,0.207934740427397,0.262355879209578,0.402395389273613,0.591400406616126,0.436221064331363,0.365722560782886,0.283388325280786,0.215330839748398
"[65,70)",0.0865613131007011,0.108978073351354,0.0648273286004239,0.0552949267390775,0.0657683685829227,0.0958278367909003,0.158528166003743,0.214446435413968,0.194850777183116,0.155645031155208,0.168363017472147,0.227461039630652,0.316612692952852,0.490528101211356,0.370998387336062,0.222906566541432,0.132435542634664
"[70,75)",0.0509591627566191,0.0725991577046678,0.0435369681336779,0.040250789425743,0.048064910674615,0.0525662456385818,0.0660479111121405,0.102460819591132,0.132424929974951,0.123202418279433,0.116829781386519,0.14579448179477,0.193789369626187,0.270849807451221,0.421398920740617,0.206684993120786,0.115128999242143
"[75,80)",0.0246995862871654,0.0404155261629645,0.0249803307643929,0.0251354246182222,0.0330747180063575,0.0339880758490631,0.0308895824828486,0.0368986255601234,0.0541983523017436,0.0704835571389026,0.0810135047167397,0.0969402677370294,0.115288636588798,0.12494121424263,0.1586847877434,0.18820659502569,0.0914093356433804
"[80,Inf)",0.017117482283729,0.0311235138337788,0.022460209525039,0.0267454805743509,0.036626887208401,0.0367335788422388,0.0305337561252664,0.0256811701593083,0.0251224824937306,0.0353482212088158,0.0671176757823107,0.112371929728536,0.116458219876733,0.0986840080531145,0.117508814519395,0.121520603411695,0.0250570480204071
