"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00205105011602976,0.00326366508246943,0.00243256169231192,0.00255080178358574,0.00512001332268855,0.0111824748527275,0.0184213517422324,0.02225828559469,0.0229480059993216,0.0216256014077177,0.0166838497157933,0.00925231618748123,0.00384184858672091,0.00148259394516691,0.000653510909999507,0.000352723994810671,0.000263004337886412
"[5,10)",0.00349892850852858,0.00809576663040714,0.00613280099436513,0.00507238229597093,0.010565581615464,0.0199661064286265,0.0269220596844003,0.0285408933343751,0.028499018567483,0.0279753430789878,0.0239579553839115,0.0157407074643806,0.00801534043803957,0.00369304533334193,0.00182031092692799,0.00107097390699464,0.000824124136701172
"[10,15)",0.00299861928140275,0.00705158677258482,0.0212579187136549,0.0184065414432468,0.0249104157522099,0.0341153652727592,0.0376053579060432,0.0363715891180424,0.035801601096142,0.035985287851126,0.0321077669631819,0.0227503412405174,0.0133061999154283,0.00736647449583433,0.00422224867014107,0.00267344226754925,0.00206821239590981
"[15,20)",0.00369394199944891,0.00685166079617531,0.0216236043842698,0.0937252509344593,0.117616226550046,0.116240163250341,0.111053560311039,0.102066570810873,0.0991108724628138,0.0994208615384671,0.0881435218329552,0.0616465515962993,0.0365733953395351,0.0217497991020008,0.0141914028813316,0.00989695139817229,0.00757420088598214
"[20,25)",0.00826297752249642,0.0159048437011114,0.032612867819518,0.131074847821045,0.367927793934528,0.368667752394951,0.321995895820705,0.284986893465886,0.267827749547766,0.260349576127366,0.224235417750915,0.152107120481361,0.0881086312751726,0.0526696163386991,0.0370412395609425,0.0289665474311404,0.0239334860159541
"[25,30)",0.0194279780890576,0.0323559065720832,0.0480819679307496,0.139454497766451,0.396880120363556,0.639092129489669,0.586344407535475,0.500736965608852,0.450824897457273,0.419861957987192,0.35011876141836,0.232452230452472,0.132456532334584,0.07811525650031,0.0559723556572963,0.0474298308542736,0.046986365675264
"[30,35)",0.0346445101648912,0.0472271490002293,0.0573726870470217,0.144222180154273,0.375230200979194,0.634711025653455,0.762189819135405,0.669890693643382,0.576034051844189,0.514934381607332,0.417953191228127,0.274023592211033,0.155200369974631,0.0904153665379943,0.063938924319529,0.0555649936702916,0.069636827279706
"[35,40)",0.0434543407935381,0.0519732092001197,0.0576031543219381,0.137597840875077,0.344747291212138,0.562679941905391,0.695396450938385,0.775190877646497,0.685496764718625,0.595947772371147,0.475595146236318,0.308426806802963,0.172809535587689,0.0990113713443456,0.0685672889354487,0.0594617387049968,0.0951542025393239
"[40,45)",0.0440707513653152,0.0510511959539753,0.0557764004495271,0.13143572929999,0.318709927806517,0.498337670703513,0.588221273725173,0.674325299682948,0.736220566979232,0.662697423945067,0.522965228781135,0.333120979130204,0.181722623289892,0.101181892832404,0.0689682339070302,0.0605927835693226,0.124287698927614
"[45,50)",0.0412603131579441,0.0497863471723491,0.0556970047982925,0.130987088186401,0.307790860963976,0.461085195103553,0.522400141494732,0.582413014481858,0.658376177480253,0.711546540950455,0.581098668956098,0.359062778000097,0.188222130233065,0.101457313816911,0.0690796313904792,0.0633414424742731,0.155981536812187
"[50,55)",0.0315989994933,0.042325035468289,0.0493321108868897,0.115280035550005,0.263157524573995,0.381682959852703,0.420912456292271,0.461395145638803,0.515756104306905,0.576849628932227,0.579872315230759,0.367891986386858,0.185797386426654,0.0984200949842388,0.0680965504756274,0.0651338919727629,0.154922296917468
"[55,60)",0.0162374753129905,0.0257669373690604,0.032389070670943,0.0747073730929209,0.165406321135135,0.234807562837008,0.25570726261731,0.277254561446245,0.304413930151972,0.330273781296346,0.340887677918172,0.270849116355572,0.143342861063195,0.0764632515407385,0.0535230546275503,0.0501972415293173,0.0871176930399414
"[60,65)",0.00551210661361267,0.010726791853334,0.0154872369319445,0.0362350850295757,0.07833039900208,0.109385831064386,0.118401495111667,0.126999968111853,0.135762823554266,0.141541476874925,0.140747244824709,0.117188607830548,0.0834555053181642,0.0493879997129979,0.0330047038761409,0.026732093817554,0.0269762245496712
"[65,70)",0.00154390749357713,0.00358718857654827,0.00622302114368651,0.0156401510365315,0.0339855049909745,0.0468214912067548,0.0500643255776859,0.0528132231752484,0.0548651224006939,0.0553755543541482,0.0541135181308987,0.0453715668320807,0.0358462001660902,0.0356814664523349,0.0242379549407369,0.0144214107907544,0.00762227141990002
"[70,75)",0.00049683067807243,0.00129083774069063,0.00260400554048517,0.00745019314162892,0.0174492029395273,0.0244928584477646,0.0258468699616972,0.0267012187762858,0.0273022957743789,0.0275258822676577,0.0273340265704399,0.0231861379587615,0.0174885594839016,0.0176950780725721,0.016943058438725,0.0072446209825941,0.00217409306083459
"[75,80)",0.000205881307348009,0.000583084261119392,0.00126588792404623,0.00398905468809895,0.0104764264073087,0.0159346971539205,0.0172452800743539,0.0177778018595284,0.0184160852513936,0.0193778476160994,0.0200729812822675,0.0166952807701535,0.0108752068256024,0.00808333555733865,0.00556214133182133,0.000944120594544017,0.000138500852768009
"[80,Inf)",0.00020408175922195,0.000596491731137363,0.00130190396143248,0.00405849240036609,0.0115075205061457,0.0209856998573553,0.0287320969779767,0.0378205461573772,0.0502185218145205,0.0634380970193515,0.0634714094280587,0.0385194081999783,0.0145896569842039,0.00567971617905811,0.00221903343132683,0.00018412459824744,2.29630666617774e-07
