"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00257187706162557,0.00421685184092612,0.00316621943243303,0.0033023585738609,0.0066753426862979,0.0145142797118098,0.0238250868624389,0.0288679569061291,0.0297958947409733,0.028067280071939,0.0215813260091707,0.0119031981766819,0.00491480484785912,0.00189255785402337,0.00083540031139617,0.000453261060220818,0.000335754226312741
"[5,10)",0.003867822645136,0.00881889318610994,0.00679937049220755,0.00559152620161608,0.0118323601883253,0.0223442378922859,0.0301298675748485,0.032023228404557,0.0319901766810608,0.0313936278888487,0.0268262746106017,0.01754831441075,0.00888517468742178,0.00407806866601299,0.00201017625789456,0.00118792335537335,0.000913258289245655
"[10,15)",0.00271438701594622,0.00635508342409342,0.0192321260113026,0.0164657721141628,0.0224989938399742,0.0308233848919986,0.0340116249297488,0.0329363678703518,0.0324094458777106,0.0325685994322932,0.0290217330730925,0.0205112582589704,0.0119562404117043,0.0065990608221826,0.00377750760275896,0.00240009214367941,0.00187090689296595
"[15,20)",0.00298917035155988,0.00551796057565999,0.0173851234779592,0.0766267296923246,0.0961879774849312,0.0950951330134756,0.0909005182942995,0.0835512127968939,0.0810918030538334,0.0813510158478181,0.0720486500751315,0.0502872506057027,0.0297836525489629,0.0177133688701172,0.0115706817854622,0.00809706822904197,0.00627544854224274
"[20,25)",0.00730301497580865,0.0141130798176971,0.02871183590271,0.116258035569362,0.329803290790034,0.330061975505564,0.288535453021438,0.255274547302393,0.239668512515758,0.232862452172435,0.200252817152554,0.135511312334546,0.0783441412188416,0.0468582603927757,0.0330302441597515,0.0259257848577639,0.0217069796817997
"[25,30)",0.0194061114512498,0.0325709458128483,0.0480720456113756,0.140467186842468,0.403375857846911,0.64503356537137,0.592622771023572,0.506015798028083,0.455174139451923,0.423716404734185,0.352808022130297,0.233723377102229,0.13294528242533,0.0784572337048304,0.0563435866072944,0.0478584219812303,0.0475139718049887
"[30,35)",0.0346466530698677,0.0477689624163139,0.0576930390573671,0.146038282185472,0.383528244497154,0.644558138803931,0.771787480560351,0.678521621808173,0.583171122051783,0.521232858406091,0.422523056406383,0.276462384988099,0.15631305093414,0.0911296882064908,0.0646038507887308,0.0562566001614703,0.0688062537191899
"[35,40)",0.0406337669501873,0.0491425785659113,0.0540774223782818,0.129926385617568,0.328435373788771,0.532711509581466,0.656761874797124,0.732107132418776,0.647026775805952,0.562329975511216,0.448149002519025,0.290048203176879,0.16223671198048,0.0930192712869928,0.0645811387658255,0.0561275199765532,0.0845133099672031
"[40,45)",0.0390712991313549,0.0457340697485749,0.0495726650031623,0.117476754291797,0.287265701151071,0.446412110008516,0.525860604023246,0.602771398352873,0.658346701452044,0.592347915257503,0.46676268622007,0.296704662383987,0.161569124399069,0.0900253256650185,0.0615276421557663,0.0541698572032445,0.10056850553983
"[45,50)",0.0355223660545202,0.0433176465987045,0.0480806002128966,0.113746514903906,0.269384372527078,0.401082582566384,0.453634992819114,0.505617101279447,0.571711595682598,0.618087186525172,0.503987676476178,0.310705625097507,0.162549688913945,0.0876860114403053,0.059883320130011,0.0550178244900271,0.120291285137238
"[50,55)",0.0278546800969024,0.0377487179490774,0.0436930773854975,0.102735244685056,0.236249043376379,0.340577119803661,0.375010707266082,0.410933405065953,0.459425143710806,0.513970757001602,0.516551164866789,0.326907929592079,0.164748577887227,0.0873556514057766,0.0606475863396363,0.0581133939265585,0.124884489934809
"[55,60)",0.0152183402964216,0.0244602462237718,0.0305889923274084,0.0710288985823525,0.158361844828806,0.223492393594106,0.243059658002414,0.263452769969301,0.289285440961748,0.313870996167231,0.323823999342217,0.25676315683297,0.135667095401596,0.0724594280857685,0.0508805224021851,0.0477762454775467,0.0783104999642857
"[60,65)",0.0056456888115926,0.0111275209244022,0.0160204436311224,0.0377974217695401,0.0822599719440619,0.114219579341773,0.123475019508615,0.132400235382093,0.14153622537154,0.147535062161878,0.14662643752772,0.121893783770961,0.0868208116557676,0.0514711746599037,0.0344516203315881,0.0279190003046337,0.0280192904744556
"[65,70)",0.00178071892996023,0.00418333395626949,0.00724265141021194,0.018412846786057,0.0402998794379294,0.0552123420169693,0.0589629631740985,0.0621796261981403,0.0645965749969499,0.065189097702362,0.0636820694210863,0.053325813086347,0.0421599058596137,0.0421266668104783,0.0286093623232618,0.0170382380732815,0.00935292643522168
"[70,75)",0.000648660608717546,0.0017016836350666,0.00342134981162228,0.00992556879892368,0.0234426147684649,0.0327208327899823,0.0344948692574336,0.035625219925927,0.0364327324493807,0.036738989465394,0.0364851691560304,0.0309008785601098,0.0232874473833272,0.0236093950554281,0.0223983641923028,0.00960473931638725,0.00308148965684566
"[75,80)",0.000290357987642051,0.000829651263713268,0.0017934221266836,0.00573042361675149,0.0151805901306936,0.0229298233659162,0.0247817547731282,0.0255440751675001,0.026463156048983,0.0278475648548489,0.0288430748817091,0.0239383249570613,0.0155694966589063,0.0116001562411282,0.00792406550741634,0.00135314002882842,0.000216302633840679
"[80,Inf)",0.000238213412170745,0.000706415362486262,0.00154833930202771,0.00491884408095084,0.0140771745622083,0.0252129129654912,0.0335695747543939,0.0425989403366885,0.0544133291441513,0.0674337528113409,0.0686488357982588,0.043457135055727,0.0173057807458371,0.00705254765291478,0.00281567512308436,0.000239563782801578,3.47857390009005e-07
