"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.696383201501517,0.57668303261813,0.287782909751173,0.193242662596398,0.27443732548647,0.52262387781694,0.715784519271093,0.547713982309617,0.296449003195621,0.196180853285858,0.201092300154432,0.23389134673133,0.21991732621054,0.160133033345086,0.110118047765797,0.0833965467783345,0.049657245200287
"[5,10)",0.607842152227572,0.983292952149385,0.647874950363685,0.235691344497074,0.152943520593994,0.264353826975861,0.58541932035767,0.782107642260367,0.530211965522077,0.26462702098226,0.175482342156912,0.179842679928097,0.202971332013253,0.188003097558538,0.142524418117983,0.104875732252036,0.0665354294251119
"[10,15)",0.316248672954413,0.6754625273373,1.10557471983529,0.573228817252698,0.195189926249889,0.144950093019856,0.286125256149837,0.610658684351824,0.725358429220059,0.456535028716288,0.229289070183131,0.151925251310757,0.148330252953191,0.161184580315089,0.150913089124683,0.11839232276483,0.0716119656331235
"[15,20)",0.217744766648644,0.251961802486393,0.587772165334989,0.942980606462218,0.475814152845586,0.179985568501056,0.152745266918534,0.291486299265469,0.555483472743693,0.616883610565705,0.38838756042976,0.192384022430054,0.117773786024999,0.106918166688215,0.115303004577367,0.110516547138379,0.0705897021884325
"[20,25)",0.305744884803159,0.161656608888071,0.197883557406555,0.470444791184733,0.740002544182219,0.400623682889617,0.17344654340959,0.145200205597758,0.247616654856357,0.441040397701597,0.485560214929941,0.300229251486721,0.138138246624093,0.0789397895656215,0.073124225097553,0.083698030778708,0.0703015438910805
"[25,30)",0.555062095519789,0.266369370595329,0.140089991483113,0.169646652312581,0.38192045611774,0.601051358060398,0.359273522733126,0.155178754067732,0.116396501606835,0.187018883510734,0.334161962577835,0.366805499228089,0.217826794584796,0.0965625705132069,0.0583227101863217,0.0594382516656282,0.0670843890621286
"[30,35)",0.710383694069402,0.551218891871238,0.258406340022521,0.134534519369134,0.154511322752895,0.335724914781618,0.532545919487158,0.31592658083721,0.124430720987296,0.089111994047754,0.146746806746635,0.265898116301845,0.288992299709997,0.17018162341321,0.0803376818822498,0.0531655869014211,0.0569367893695034
"[35,40)",0.501229459700027,0.679040456675241,0.50853117963759,0.23673157859522,0.119270755551839,0.133709633507232,0.291311913017688,0.461595164659554,0.259592492806844,0.100018185179957,0.0753815247604984,0.126800977902501,0.226781776959233,0.242884167819459,0.148060450427025,0.0737913453473753,0.0472237136603697
"[40,45)",0.252302013155055,0.428121073317415,0.561771459468235,0.419562969348519,0.189162285272781,0.093273511261338,0.106705709095009,0.241423804556957,0.395949155012956,0.22732415954379,0.0934350641802477,0.0714163687297219,0.114098097200188,0.194760020602483,0.210017941441184,0.131913084720028,0.0532813980948031
"[45,50)",0.160231583974283,0.20505579831818,0.339314094462277,0.447146695681112,0.323335847309098,0.143821774829261,0.0733359607459697,0.089266337417019,0.218155606897293,0.385692525552492,0.235672392758005,0.0968573627431333,0.0673844161343031,0.0993450475152224,0.171132979819675,0.192939687484539,0.0913429568916003
"[50,55)",0.155736951967966,0.128936539710491,0.161590516679328,0.266941949204333,0.337538489217498,0.24366935790345,0.114512845285336,0.0637937872785824,0.0850227985182591,0.223467017766396,0.409427234389621,0.245209993473334,0.0915539035675973,0.0589004991601821,0.0903282259962194,0.166696002157871,0.149198755950539
"[55,60)",0.152325853280676,0.111121626683095,0.090037974405716,0.111194614335148,0.175507809933288,0.22492771960415,0.174487388562826,0.0902400458311173,0.0546495396156765,0.0772325898014706,0.206206049442876,0.371186194297165,0.209171772944508,0.0745389521607599,0.0512839948433696,0.0850413473031677,0.146314675682959
"[60,65)",0.106223006200584,0.0930122612996115,0.065196632811776,0.0504850818651624,0.059890378686795,0.0990645153768868,0.140648378506705,0.119697349751365,0.0647540329411588,0.0398498879347454,0.0571004825763045,0.155132486660137,0.287619552264,0.161244556438079,0.0599592017369669,0.0433224463546745,0.0849159330766663
"[65,70)",0.0547644132553947,0.0609998648884175,0.0501622824179408,0.0324507171430433,0.0242324570304628,0.0310938145449521,0.0586434467584082,0.0907682483537037,0.0782612173322927,0.0415979782617261,0.0260099941812333,0.0391418480679752,0.114167746548142,0.220480743774093,0.124083765107026,0.0461725268284906,0.0399323487908538
"[70,75)",0.0276089279970608,0.0339021059681132,0.0344313647708228,0.0256558821528025,0.0164564553583306,0.0137681761837316,0.0202954952803096,0.0405646138647625,0.0618695157148517,0.0525331262483205,0.0292427554844485,0.0197430126390574,0.0311234506775786,0.0909679682780555,0.169720653108682,0.0927558548886299,0.0280478641820412
"[75,80)",0.0156695925411667,0.0186952381295558,0.0202427477961364,0.0184285951920246,0.0141159091334291,0.0105153404720897,0.0100653658538497,0.0151506861986527,0.0291223750286718,0.0443853551736468,0.0404425555803486,0.0245346746091945,0.0168524662718333,0.0253673890311011,0.0695120228920942,0.121593924184792,0.0424071500331654
"[80,Inf)",0.0107110475274548,0.0136159719298041,0.0140563060877641,0.013512819018372,0.0136112548192067,0.0136244340073401,0.0123746126807056,0.0111308082106371,0.0135037445621411,0.0241230869899447,0.0415545225370559,0.0484593681849146,0.0379209639123558,0.0251858533797732,0.0241300420391716,0.048683161619401,0.066836770152182
