"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00457416303546335,0.00738889336088591,0.00554041998269848,0.00573600305077477,0.0115004453836803,0.0251225457555466,0.0415570422142269,0.0504493898791451,0.0520665541660807,0.0490994347084145,0.0379804417730013,0.0210933095629272,0.00869666505559175,0.00334396443119537,0.00148327649165743,0.00080230698383574,0.000587874348388613
"[5,10)",0.00726659045924956,0.0166262265383279,0.0127978119409662,0.0103470121394939,0.02179640487605,0.0414164020074536,0.0561333771755805,0.0597064255569067,0.0596328128525214,0.058554216843732,0.050237424053451,0.0330432594766638,0.016722287643705,0.00767314535163469,0.0038001706567917,0.00223884934778598,0.00169198951990536
"[10,15)",0.00534123471413775,0.0125453682665397,0.0376558643058995,0.0319662179630198,0.043655560827268,0.0601146367073006,0.0665339611515084,0.0644473649370828,0.0634057738040704,0.0637327183222649,0.0569685581555556,0.0404215758085722,0.0235256823033105,0.012971359185649,0.00745326820609257,0.0047235914664922,0.00358233766050407
"[15,20)",0.00541053988607362,0.00992418616201536,0.0312768861861943,0.133935667052981,0.17082982318066,0.169650300003011,0.162486554692814,0.149378569740585,0.145011525083804,0.145563041116224,0.129386193557051,0.090698577208169,0.0536288179680668,0.0318387326856422,0.0208255654011415,0.0145349141546856,0.0108990673265232
"[20,25)",0.0105754991581742,0.0203807328393643,0.0416415427513002,0.16654004482863,0.474064668988905,0.475914230760304,0.415880607147592,0.367887805034028,0.345579595343566,0.336160601712616,0.290285281446834,0.197305038754829,0.113864277728728,0.0679740154304094,0.0479205729782,0.0374827566864329,0.0303581739467654
"[25,30)",0.0220672810667038,0.0369918679896226,0.054772987773288,0.1579823549611,0.454598142394216,0.734764855183506,0.674481032587915,0.575657919452058,0.518080913545918,0.482918205507318,0.403773224687286,0.268562529911917,0.15242614925137,0.0897739659915538,0.0644886163598317,0.0546035867955863,0.0530131817165515
"[30,35)",0.0336254436411429,0.0461841845119491,0.0558428786679862,0.139382931491145,0.365936599173384,0.621309442531368,0.747005861372743,0.656181394881484,0.563991793737085,0.504612351114762,0.410626593046654,0.269664655960915,0.152114141650517,0.0884990108119326,0.062760545554702,0.054474460600749,0.0670577282084611
"[35,40)",0.0368783808844763,0.0443798380987276,0.0488677244267681,0.115763858740319,0.292445608187517,0.47906586835925,0.59281126251144,0.661584131991315,0.584524189909978,0.508445083878503,0.406716209697301,0.264172938319437,0.147415745931276,0.0843458873313884,0.0585797152077018,0.0507160559331923,0.0806064705407149
"[40,45)",0.0346835627430855,0.0403923271969371,0.043812163232531,0.102408535774933,0.250337979428878,0.392895702179562,0.46431665000573,0.532661646978843,0.581905588415301,0.524017326257919,0.414504525979354,0.264468837707673,0.143667455488637,0.0798755199369767,0.0546003677266963,0.04785694729286,0.0991603236134775
"[45,50)",0.0302682832755213,0.0367044050500807,0.0407544244435956,0.0951329992155784,0.225357437134165,0.338921949027994,0.384455236446775,0.428784841037982,0.484944545225136,0.524026201691876,0.429033574533076,0.265600407418557,0.138622206688909,0.0746075523353063,0.0509312193291147,0.0465423196757665,0.116808143919212
"[50,55)",0.0208546904933918,0.0280491570376023,0.0324474064307561,0.0753182887137808,0.173333512450212,0.252403906606935,0.27865536891755,0.305505681575558,0.341671022885472,0.382141073107668,0.384690573564843,0.244498013034416,0.122902250871065,0.0649923206599698,0.0450682751034256,0.0429466527772887,0.103338413509844
"[55,60)",0.00946069386136296,0.0150698822239105,0.0188058309255258,0.0431268271331154,0.0962343736896379,0.137131902652866,0.149478557505715,0.162087925035568,0.178068829359949,0.193239409692142,0.199714620884787,0.159097622054249,0.0837388116853408,0.044585820907701,0.031286006801296,0.0292817874149832,0.050593548717179
"[60,65)",0.00298653329140723,0.00583927623056143,0.00838026724246233,0.0195245760174641,0.0425222167408014,0.0595921307044624,0.0645595974831617,0.0692536333915836,0.0740641683064683,0.0772211253871683,0.0768653689744276,0.0641155167616202,0.0455473792699684,0.0269094587492778,0.0180398360895269,0.0146114588983251,0.0144650595006473
"[65,70)",0.000850553797761582,0.00198455106451726,0.00342236754057715,0.00858548200117878,0.0188016883337318,0.0259959306493057,0.0278198741921458,0.0293486495965557,0.0304992367314215,0.0307830489699809,0.0301063735798497,0.0252847487766059,0.019931064057493,0.0198504742642393,0.0135461306332414,0.00808428888222502,0.00418102110294684
"[70,75)",0.000268392468477681,0.000699197755680369,0.00139893000303109,0.00399497239515719,0.00942939867303199,0.0132845268004397,0.0140349712579441,0.0145003852182102,0.0148312895147242,0.0149493044581453,0.0148516741047267,0.0126217648084612,0.00950530773764157,0.00963658888807983,0.00927593564640391,0.00401083709566346,0.00118676180520551
"[75,80)",9.61195828122901e-05,0.000272737521690661,0.000587008862201781,0.00184608862503343,0.00488333606762238,0.00744744484216529,0.00806567743635456,0.00831191033494365,0.00860699262585881,0.0090449887612884,0.00937037321088681,0.00782151035979096,0.00509741824363501,0.00380779000812754,0.00265557221840268,0.000467573770534519,6.84351670762064e-05
"[80,Inf)",7.66707551551394e-05,0.000224383859361013,0.000484632765748711,0.00150696559232292,0.00430560971448819,0.00787125387254344,0.0108086305671478,0.0143813351939044,0.0194141463819447,0.0247119522255213,0.0245450139557046,0.0147116745872009,0.00549352162565525,0.00214381572045871,0.000855382931374504,7.4499482798118e-05,9.40700488528738e-08
