"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.60479385471926,0.501414010448944,0.250720171112765,0.168183420349498,0.238069440044696,0.454213091412338,0.622346930241399,0.472002812474862,0.25531390254531,0.170305883472622,0.175350484039855,0.203833523936243,0.190265521325962,0.138344328682607,0.0958393814081271,0.072733359022067,0.0456260043433429
"[5,10)",0.51025387207618,0.824697320988488,0.54471453938526,0.198416387184539,0.128405223018118,0.221921297000792,0.494758732770398,0.655723639962226,0.440302910517651,0.220456566543311,0.147083277037422,0.151584729784308,0.170730123543159,0.157350130433296,0.11976980393872,0.0883576607684167,0.0583990086692745
"[10,15)",0.253162770768045,0.540492519882064,0.883855111300487,0.459046764176707,0.15642826856602,0.115891719997266,0.231085721708346,0.493067271556082,0.57797294796396,0.361522841650612,0.181623236445454,0.121012054479047,0.119000435046216,0.129079053878996,0.120766231048781,0.0950098727875568,0.059627308585382
"[15,20)",0.163119529613801,0.18910824894231,0.440929489572522,0.706538942289151,0.357026101243957,0.134535890370857,0.114853731727959,0.221707005129532,0.419766967483571,0.460664986102698,0.287702296917801,0.141875400468304,0.0876600673879573,0.0803033275331111,0.0865005980368694,0.0829959601026542,0.0550690710269829
"[20,25)",0.210485075847635,0.111560513081026,0.136969014623138,0.32545792053419,0.511762063302662,0.275678389421566,0.118697311260432,0.100852589233556,0.173648712089718,0.30702346230113,0.334280532621446,0.203684340642283,0.0934749158290916,0.0542539135125034,0.0505761758408344,0.0578006350160228,0.0502877615523247
"[25,30)",0.354276133443314,0.170094936898045,0.0895208284356187,0.108192617090643,0.243202096204306,0.38386915540797,0.227370719192481,0.0979973377387169,0.0746035131786557,0.120591404276853,0.214836229925648,0.233059147636509,0.136427077216391,0.0608728674171325,0.0372638844887047,0.0378793141919049,0.0437881282371344
"[30,35)",0.465495639427523,0.363652593782712,0.171177079635322,0.088573824206529,0.100416779526826,0.218039587660264,0.348771323527322,0.205638188009294,0.0810520008688426,0.0583620788114254,0.0963706817283337,0.174952761303802,0.18838944994236,0.110797703762067,0.0530459517308682,0.0349581866337734,0.0374724881872932
"[35,40)",0.37476747201106,0.511620926137574,0.387715277557061,0.181498875359103,0.090570485871587,0.0997583670454945,0.218292093462466,0.347786960061953,0.195566197121462,0.0756167315426778,0.0568382117974424,0.0959958633972227,0.171516306766793,0.183007973459505,0.11310121072821,0.0566458206093061,0.0358025241469762
"[40,45)",0.226170794873718,0.383286720150478,0.507059597584462,0.383395967155148,0.173986667261587,0.0847303676922765,0.095993700867999,0.218191861947641,0.358215182074041,0.206563996726334,0.0848087674935718,0.0647346714144888,0.103778692713639,0.176123152879492,0.190714728758473,0.121594401040691,0.0501302281096749
"[45,50)",0.168210995992484,0.21397248270104,0.353630657124069,0.469123463280094,0.342987772633384,0.152706961026329,0.0770677035481392,0.0940644086222296,0.230312388012548,0.406044874411301,0.247785006680816,0.101219354732137,0.0708930256005158,0.104696399476743,0.178812760288512,0.203777940926251,0.102361218668349
"[50,55)",0.185330529079014,0.152761336627458,0.190108196641029,0.313516603658251,0.399607310061443,0.291115460344304,0.136176404240155,0.0756594360350501,0.101185594552921,0.265149180822045,0.486409701704462,0.289003061977681,0.107595990687483,0.0698819998558059,0.106091528798515,0.195622696082881,0.187860324213415
"[55,60)",0.218930072832466,0.159990950459558,0.128720547499132,0.157113726402807,0.247439934780501,0.320932510782645,0.251227712999024,0.129856898224928,0.0784882590914193,0.110069917868565,0.293692094430082,0.532466473795381,0.298976171338683,0.107319279809839,0.0734440979422894,0.119380726490392,0.215862921245101
"[60,65)",0.197694796526337,0.174323305928848,0.122454042704185,0.0939105022782613,0.109853163514645,0.181741232658242,0.261702972697834,0.224451884886258,0.121725419064736,0.0745785480760092,0.105776997483266,0.28922904951456,0.538365161805035,0.304578076588981,0.114839457700091,0.0807818687760265,0.155466487513426
"[65,70)",0.131228602628567,0.146671052018769,0.121258545014293,0.0785376506285916,0.058207715810751,0.0740301543627768,0.140512460461327,0.218635083719711,0.188591248266391,0.100548167463192,0.0627180392391349,0.0947796465570689,0.278054956289918,0.532483484458602,0.305576925508252,0.114042700402438,0.0919415137229991
"[70,75)",0.0718021969231611,0.088176168774183,0.0896042643567655,0.066817475136093,0.0428570290328321,0.0357931241473462,0.0531328254464141,0.106719475419623,0.161293143009175,0.135633668138494,0.0752028746265373,0.0512295832460041,0.0828036956602606,0.241349911314625,0.441568748986611,0.243417152489754,0.0735874041028658
"[75,80)",0.0355042517017118,0.0423839163838913,0.0459308931676692,0.041771578991222,0.031912561945662,0.0237064529218513,0.0228145837826747,0.0348254942490277,0.067003615266397,0.100711521631803,0.0903495434637624,0.0542564191486365,0.0379511964031284,0.0586876969631328,0.15860035897605,0.275438189086306,0.101521486046095
"[80,Inf)",0.0202556092280902,0.0254770126792258,0.0262160655778034,0.0252068073930507,0.0252509382093683,0.024923383782309,0.0222414111547166,0.0200183932307474,0.0251229418392587,0.0460090842751569,0.0789092550701592,0.0892238817758492,0.0664254516441653,0.0430305976631304,0.0436056359605951,0.0923302730472445,0.132628240738122
