"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.886398157070135,0.464148239952008,0.168852006473154,0.100300141268776,0.119700037685502,0.251542211702605,0.450817571376857,0.431768298879889,0.278502914310442,0.204603974287263,0.189152654783204,0.173686871954611,0.151118293307309,0.133498506791959,0.107967761742123,0.0688184959214215,0.0357315080950815
"[5,10)",0.472331111052932,2.07055257800727,0.808514169021756,0.211216575435941,0.131580536034615,0.165351070005873,0.285395336574461,0.356184798908169,0.267317300455854,0.173083403070311,0.14753962567025,0.157843324474726,0.168671570517017,0.172441102885836,0.157510890924394,0.115024989831935,0.0681216474208291
"[10,15)",0.170497019122013,0.80224746904699,3.19632762007473,0.937872007477604,0.265452918366357,0.180780901180874,0.205301815584549,0.265668843306402,0.266902772098534,0.189344241794455,0.120799471185669,0.0960620133342799,0.0973059978896858,0.102130261380747,0.0939665995262931,0.0706204780683364,0.0482923136149772
"[15,20)",0.0972801708394403,0.201307952911837,0.900856857760724,2.94516487382053,0.944546386226291,0.361907589790044,0.272946047880608,0.267268848516575,0.294367874901365,0.283471222181969,0.197007788333709,0.114359883038566,0.0834283631688085,0.0831151251972324,0.0826998550707168,0.0674740420322508,0.0540312088320315
"[20,25)",0.105830767302462,0.114319275855523,0.232431292571209,0.86102977244019,1.8695006193872,0.709129559255009,0.383586023213367,0.295499635738248,0.273882856738037,0.306012917660098,0.29960105539839,0.200430750126568,0.115733831072458,0.0896559287348916,0.0900197145963386,0.0809109730047434,0.0676634278350725
"[25,30)",0.19619734403225,0.126735830219002,0.139644627238523,0.291043001064004,0.625590550108467,0.944234958412498,0.473124104800128,0.303217386834661,0.241119403551437,0.241710765402693,0.287630201143358,0.278742832269618,0.188009247762578,0.114345504414505,0.0869933782645125,0.0736782030998964,0.0604697638498694
"[30,35)",0.337197153960145,0.209768413419711,0.152077614210828,0.210492727568544,0.324510072836242,0.453707430266874,0.624240905142152,0.374325997114557,0.261549001301188,0.22871958148372,0.242383542617847,0.278960223282185,0.265602179545361,0.1819366041884,0.104963371076602,0.0643648838464284,0.048171470936397
"[35,40)",0.342821503578116,0.277909145846901,0.20890429209737,0.218797756958287,0.265372914935389,0.308666256333178,0.397360073722634,0.57060749586012,0.365263915992325,0.273977387200422,0.245459144868662,0.244714961453713,0.272504032404954,0.263270208090128,0.173755025003133,0.082429678657815,0.0432416317013748
"[40,45)",0.246712869437499,0.232701553598059,0.23415561695614,0.268862166010315,0.274415887630159,0.273849512578997,0.309764796970997,0.407522440512321,0.549382853350272,0.355884951161794,0.270376498535968,0.231501177963764,0.230377390307445,0.267368474633026,0.249654089934247,0.135583512897952,0.0485492943859717
"[45,50)",0.202087195093374,0.167992662001399,0.185210783204515,0.288676164896544,0.341858854169054,0.306082482854692,0.30202647438924,0.340817704985384,0.39680057637727,0.50997525658844,0.345028116506515,0.261931667556542,0.230917217393993,0.238532508345154,0.258130599393019,0.194868885065068,0.0775329640499696
"[50,55)",0.19991824818518,0.153235302319025,0.126442904948423,0.214684461522582,0.358150595550532,0.389755482321359,0.342499593120388,0.326739703504259,0.322587010353295,0.369206852657233,0.563456412295145,0.405111483433043,0.311701436575627,0.275864755095911,0.262319389147111,0.237759106694811,0.154910817444398
"[55,60)",0.186550665429109,0.16659661921317,0.102181183548111,0.126642866317,0.243487405968163,0.383840917338619,0.400579781597065,0.33103432501167,0.280686130615346,0.284834824440656,0.411684358058171,0.690978245395978,0.485214129446011,0.379039326560011,0.333669268823076,0.289104305565731,0.256670582212204
"[60,65)",0.157018991347432,0.172221428641468,0.100129993779681,0.089377064413623,0.136012184190941,0.250456384001567,0.368963760780192,0.356607746898148,0.270217167367811,0.242921932772902,0.306431883395687,0.469395339576172,0.690339826991664,0.511535831414461,0.429708350833373,0.334100425028405,0.252976344115152
"[65,70)",0.126632025079258,0.160737826539421,0.0959424982194876,0.0812876236292993,0.0961896844427051,0.139060565103476,0.230730051566673,0.314522383361769,0.286296001143156,0.229081484314382,0.247584450509428,0.334750787241993,0.466990516315517,0.725005516440429,0.550895682939221,0.331921694902165,0.194727025941194
"[70,75)",0.0808886949817424,0.115961673520209,0.0697198873521131,0.0638815873572438,0.0762805304640623,0.0835598550967647,0.10513527030254,0.163950898495845,0.211139921351255,0.195798107461532,0.185944837986123,0.232744877569835,0.309836359537693,0.435106885115251,0.671748690396335,0.334071928874283,0.18007366547493
"[75,80)",0.03359324021026,0.0551758558193669,0.0341402586745838,0.0339594514374087,0.0446721119479378,0.0461108890278581,0.0420061272216498,0.0506772480152813,0.0747122026748652,0.0963084710954983,0.109810503455728,0.131392770354034,0.156959860433243,0.170810755771014,0.2176671910806,0.260108512577673,0.125372762883715
"[80,Inf)",0.0158629596327979,0.0297185879455404,0.0212324602714748,0.0247317459481999,0.0339757623436807,0.0344182588370559,0.0285916826677978,0.0241778480138357,0.0243306512894247,0.0348493377031352,0.0650690733023551,0.106091150580868,0.108088039949366,0.0911364188831866,0.106706124485834,0.114022182698202,0.0283924124237203
