"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00693924709757753,0.011415412903223,0.00858721801064937,0.00885540227111899,0.0176750577801974,0.0385672584487074,0.0640467077413894,0.0780762966302282,0.0807244919500534,0.0762025551968891,0.0588673911810387,0.032534563986083,0.0133893654782426,0.00516601474601204,0.00229822092223613,0.00124330231917238,0.000900685237301686
"[5,10)",0.0103388007113457,0.023585829814053,0.0182634327550609,0.0146839531446218,0.0310017407992944,0.0590712062433589,0.0803848509597758,0.0857460226846577,0.0856411259992199,0.0841558550552475,0.0721700935356432,0.0473137312786767,0.0239061276369516,0.010995762986676,0.00545903172459337,0.00321617353804739,0.00243411244609849
"[10,15)",0.00710607077050989,0.0166871016041768,0.0502873204858922,0.0424102817254032,0.0580066508714211,0.0800377213750894,0.0887960356192313,0.0861159999201419,0.084629739827989,0.085119788454528,0.0760918845461172,0.0538721614572243,0.0313334860971467,0.0173114490846376,0.00996693201169788,0.00631854825825908,0.00488023050509817
"[15,20)",0.00678584378842409,0.0124239591338667,0.0392726024422992,0.167562121727059,0.214825859612428,0.213689767386196,0.204924525031203,0.188469754872049,0.182715204660071,0.183552233676365,0.163207282943276,0.114190174710654,0.0675197486141803,0.0401815689864867,0.0263252366214333,0.0183826995382308,0.0141979879460403
"[20,25)",0.0124091911365641,0.024032014284311,0.0492134015237357,0.196821993714668,0.561224581041197,0.564187940265494,0.493238921014593,0.436418024035057,0.409483084207094,0.398567827070911,0.344244132642321,0.233504262953429,0.13476586113687,0.0806529310268584,0.0569154843728783,0.0445067780604268,0.0370942511413167
"[25,30)",0.0233047901062367,0.0394115692742831,0.05844456144672,0.168505697821234,0.485587607325878,0.78644380922613,0.72228418243443,0.616767865830084,0.554642261855803,0.517233698545558,0.432450416580492,0.287012820769385,0.162900614469555,0.096195755406962,0.0691667620274713,0.0585010307561089,0.0571330270980893
"[30,35)",0.0308805223137435,0.0427940607543574,0.0517373719338431,0.128939565092976,0.338736920105332,0.576327713534828,0.693749907350233,0.609833695307047,0.523821373810764,0.468719713191554,0.381272771468456,0.249821263206721,0.140920069445173,0.0822091178967943,0.0583683337459296,0.0505930007757304,0.0595428326023155
"[35,40)",0.0284070745998873,0.0344463136474967,0.0378629210173564,0.08948565240833,0.226166018805349,0.371366408176105,0.460183344429743,0.513722692629192,0.453444306491745,0.394284021090527,0.315181040482171,0.204256448138237,0.114002886909249,0.0654227180477657,0.0454972489574378,0.039321468474877,0.0552737272567558
"[40,45)",0.0217938155339738,0.0255288810488798,0.0276104774342129,0.064373493052823,0.157464001702191,0.247807519680871,0.293307614834419,0.336468643333183,0.367711227217485,0.330889842311007,0.261535641973476,0.166506704582097,0.0904955475172441,0.0504811102727052,0.0345481547845398,0.0302018319968219,0.0508290515393871
"[45,50)",0.0160211017999775,0.0195356849819497,0.0216260071305581,0.05036014319347,0.119355504536529,0.179963002449961,0.204384632198433,0.227837242866569,0.257678587343691,0.278675051141395,0.227954131665663,0.140787065134084,0.0735053661947773,0.0396884875051174,0.0271131116173326,0.0246942848018342,0.0482936666298578
"[50,55)",0.0101592110156789,0.0137519384657884,0.0158688878969391,0.0367560778608485,0.0846192372741488,0.123507998420971,0.136468731749575,0.149498890623535,0.167181463962879,0.187115521277032,0.188595463993099,0.119527439027595,0.0600837652936491,0.031869034195284,0.0221107445922844,0.0210032707900677,0.0409890709537522
"[55,60)",0.00463326666230723,0.00743962362869937,0.00927106586430589,0.0212214707555264,0.0473646668789707,0.0676421144097221,0.0737876838199106,0.079948583698618,0.0878306467377334,0.0953635072903502,0.0986335645276527,0.0784767470208161,0.0413120489140477,0.0220628698206114,0.0154900076647409,0.0144581134183211,0.0223528542283777
"[60,65)",0.00152568816000587,0.00300771356386647,0.0043145693732645,0.0100401692282951,0.0218727323465789,0.0307186463740448,0.0333035708004779,0.0357037902451862,0.0381948704535045,0.039838408394991,0.0396714184713236,0.0330552319585674,0.0234911636196037,0.0139232851901395,0.0093427583320544,0.00755700583300947,0.00749704900006921
"[65,70)",0.000441123568596653,0.00103669606837854,0.00178632716976083,0.00447750364518694,0.00980939321116944,0.0135935879802631,0.0145591755166171,0.0153541541896531,0.0159663471792964,0.0161193053943141,0.015768425529938,0.0132289177956758,0.0104337532035345,0.0103918702182477,0.00711183426145558,0.0042556806425235,0.00241518607892192
"[70,75)",0.000131586521247785,0.000345109337979846,0.000689610853182863,0.00196696372986578,0.00464159705667556,0.00655376174562461,0.00693121068318094,0.00715974347911814,0.0073268371378494,0.00738373578510878,0.00733563659090089,0.0062277182877893,0.00469449593291574,0.00476866306549949,0.0046181954650101,0.0020127993765072,0.00068812615955733
"[75,80)",4.18246404320622e-05,0.000119458321273691,0.000256859563078827,0.000806991941017667,0.00213254888985903,0.00325681104911598,0.00352986490274396,0.00363561506384284,0.00376323040894923,0.00395120059959634,0.00409408836909091,0.00341526804131016,0.00223099938233602,0.00167656301556994,0.00118259579344111,0.0002136171684536,3.73228131542177e-05
"[80,Inf)",2.17154283521656e-05,6.47973811606988e-05,0.000142186594230306,0.000446710947509862,0.00127385305290493,0.00227958695703163,0.00297739887625744,0.00366274598436592,0.00453920097511371,0.00553812418668741,0.00572635462113123,0.00378430417282436,0.00158628028180231,0.000681932411052622,0.000289763575931305,2.67494128964935e-05,4.3840603124019e-08
