"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.41178194538158,1.17397923087293,0.58815050162541,0.397034050479062,0.566860841251939,1.07450888614495,1.46058407305288,1.12051367087787,0.609772470134275,0.402403589922375,0.412150687843525,0.479974003169107,0.448629243914352,0.325311522791654,0.224169961746623,0.170131559309848,0.109430289338777
"[5,10)",1.01505276726879,1.64020102728436,1.08393899147658,0.393777443931046,0.257302946683024,0.44680623456673,0.983103910209941,1.31209868585136,0.895815819917801,0.446988184249207,0.294712395756095,0.302988145929234,0.34169891307837,0.314751567370443,0.238282352653379,0.175703269183748,0.118760800340156
"[10,15)",0.44485501238948,0.948214625805929,1.55681322171523,0.8043873042184,0.273255596002875,0.204376415149936,0.402905387737126,0.85700825085767,1.02503469010924,0.648625432581506,0.32335954018968,0.213751913620329,0.209782576291112,0.227776353247158,0.212609908549955,0.166828796686614,0.106895483755572
"[15,20)",0.270455549819709,0.310234986297152,0.724441521791681,1.16611376671885,0.585987541088688,0.22188170612484,0.188414166171719,0.357225488300976,0.682237704467052,0.765840589713557,0.482123280476665,0.236683547078486,0.145296665513136,0.132588939237329,0.14291305214359,0.136858196070769,0.0925750043727086
"[20,25)",0.355431203735072,0.186593129877119,0.226526045484157,0.539385583356557,0.851834410543249,0.461203301145023,0.200215654905936,0.166405108421311,0.28103767971838,0.50363146075236,0.559973248870915,0.34434335151128,0.157810404550375,0.0906310412652453,0.0842177670524668,0.0962970027932736,0.0851969124675804
"[25,30)",0.611033992894565,0.293863995233313,0.15365833417173,0.185228885383753,0.418281514468863,0.658036297411118,0.394994195248176,0.171344945401115,0.127049418575252,0.202232502901142,0.364644592352974,0.401090874942895,0.236444623554993,0.104882638639588,0.0637648963323489,0.0650064095139427,0.0757641579280024
"[30,35)",0.707449986881804,0.550732112046833,0.258013387453736,0.133972169938274,0.154663601495878,0.33643760727549,0.531530413916268,0.317517757728787,0.125504820898156,0.0887954065462389,0.146225856030948,0.266748714525856,0.287236173720436,0.167731092091325,0.0795513350042358,0.0529606000544379,0.0572650964254519
"[35,40)",0.418340412387091,0.566566582820713,0.42302657120561,0.195788399351292,0.0990832446068111,0.112493802781449,0.244743686458578,0.385747347046616,0.217983174765114,0.0837675129669507,0.0629075368767119,0.10717313867414,0.191116428033166,0.201447251309213,0.121902427621703,0.0610741421725169,0.039600157225963
"[40,45)",0.161829945945559,0.274967647464376,0.35966619701168,0.265802248278788,0.118953310157354,0.0592936789989813,0.0687673520880824,0.154953499487439,0.25284311339591,0.144689751194996,0.0589807392152038,0.0456824223185315,0.0742342286747641,0.125783592188467,0.133329542252675,0.0831520234235263,0.0351697791927252
"[45,50)",0.0753814035571467,0.0968434405815331,0.160644673338258,0.210606906959485,0.150465221672934,0.0666189786030503,0.0343418502940493,0.0420305752409321,0.102128997014623,0.180467829740673,0.109110270853974,0.0445301113008353,0.0317078714869932,0.0475148042989709,0.0810783472937626,0.0901272844621577,0.0457513377894041
"[50,55)",0.0575903319138149,0.0476281540539901,0.0597377986324735,0.0988970898360085,0.124790561100486,0.0895999917989032,0.0421840761907127,0.0235441801839415,0.0310536524327891,0.0813873322865481,0.150644033010102,0.0891208281373005,0.0332260743249141,0.0217573486987293,0.033575502475845,0.061546072893892,0.0593350723918932
"[55,60)",0.0525725498469765,0.0383829860297269,0.0309543237834191,0.038057587279905,0.0601525347793818,0.0772553826110695,0.0603218259270409,0.0314423223007324,0.0188538207818908,0.0260371073556422,0.0698597435476225,0.127493340986559,0.071481459336066,0.0255159641302592,0.0176219479926991,0.0290606574451521,0.0525790923985083
"[60,65)",0.0386334966702995,0.0340323414029821,0.0238844824869755,0.0183680876004338,0.0216736958944844,0.03580556415086,0.0510677105620755,0.0440820514297768,0.0240873798892605,0.0145760937871463,0.0204767919326294,0.0561989914640109,0.104773922813594,0.0588075685586321,0.0219685833622892,0.0157583848050584,0.0302396537976
"[65,70)",0.0215682750588772,0.0241354645579235,0.0199661617801156,0.0129049141450968,0.00958327257899552,0.0122282472552923,0.022959390735412,0.035773765193061,0.0314230896278936,0.0168167682271374,0.0103235338555761,0.015444954158668,0.0452764901329785,0.0873504516624863,0.04947851180895,0.0184830434068348,0.014809112822089
"[70,75)",0.0114921449373599,0.0141282167985375,0.014410437329065,0.0107554213294812,0.00688570327657528,0.00574843963076506,0.00841980370766621,0.0167387633994968,0.0257548478741264,0.0221884104652887,0.0123183529983205,0.00824776476582969,0.0130782396624217,0.0382581828733357,0.0709432929421779,0.0390223734419633,0.0119197087924399
"[75,80)",0.00620500510961251,0.00741154751885042,0.00804448528711349,0.00732756920674625,0.00560132711047157,0.00416925137206203,0.00398786984779385,0.00596625726310854,0.0114271783787225,0.0175473352655701,0.0160643832020023,0.00967656838296021,0.00667409715834587,0.010167513965986,0.027761777222951,0.0482835959031946,0.0185055940405804
"[80,Inf)",0.00369237341087453,0.00463460768388346,0.00476867151832107,0.00458557356708473,0.00458472011420868,0.00449548453554625,0.00398922820923231,0.00357892268896873,0.00447143202593783,0.00824080223485892,0.0143280138089895,0.0161971955858495,0.0118486383646638,0.00753669850629295,0.00784530867902753,0.017120397235719,0.0249291960809782
