"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.725074279790919,0.376123676688226,0.136707340714129,0.0811050927608709,0.0962456826507355,0.201582707721942,0.362099354916089,0.347106316840566,0.224025327063677,0.164536091487119,0.152439155602913,0.140724724589786,0.122985242399509,0.108971698217558,0.0882749498520635,0.0562389296271396,0.0293336367222481
"[5,10)",0.433572063119894,1.90787087997014,0.741807123414155,0.194004708110819,0.120392568044701,0.150360891386865,0.25917367924086,0.323658185629568,0.243407117661528,0.15756705939909,0.133929837893688,0.143005877598321,0.15297262614637,0.156563934557584,0.143053168497673,0.104235255020622,0.0628092819652936
"[10,15)",0.17354965992143,0.816944047831612,3.23874278769912,0.955420583905354,0.270408007716662,0.183506347472486,0.207844555123106,0.268632798609147,0.270114523701552,0.191981176227256,0.12253354429222,0.0971051722912749,0.098041109692316,0.103021880149641,0.0948448901446978,0.0711459943126512,0.0494227687124001
"[15,20)",0.105364077385657,0.218638225849609,0.977703354510983,3.17455875385515,1.02286968835046,0.391177760528977,0.294639415242277,0.288372678121352,0.317519088944226,0.305972588302235,0.213247463678863,0.124151662368565,0.0901539317139846,0.0895417687066835,0.0892080759790501,0.0726921126947016,0.0587705315359016
"[20,25)",0.115926277017015,0.125796828334272,0.256559587239738,0.9483671387653,2.05028649427853,0.777540531865376,0.420228973418829,0.323807869919037,0.300330238309365,0.335557507726806,0.328761956283851,0.221081779406638,0.127752214866733,0.0983658629936404,0.0987016413506668,0.0886222454569246,0.0747701193246783
"[25,30)",0.213210850777403,0.137962260651498,0.152888629640768,0.318482622997072,0.682776294800512,1.03050646491672,0.515555435583227,0.330621084261187,0.263106377144791,0.263824081336834,0.313762938190753,0.304969451392781,0.206825208119773,0.125448211959216,0.0949710544000049,0.0803374112406686,0.0666394056434755
"[30,35)",0.373041867310893,0.231627490017648,0.168669495298741,0.233655617057695,0.359430714393974,0.502168152914092,0.691510379793278,0.414701460282951,0.28998413652208,0.25360810051859,0.268481879036761,0.308811155059023,0.295548702837823,0.203279155868274,0.116571050831792,0.0712085554502811,0.053912248049936
"[35,40)",0.394609581707221,0.319198679522951,0.240564873837064,0.252356663341687,0.305627111825598,0.355369070401612,0.457626166021921,0.657373061622448,0.421125464532187,0.315826525708436,0.282928765843698,0.281579925459688,0.313315548135686,0.304270488616452,0.200691668601785,0.0947106219433264,0.0503867096984622
"[40,45)",0.292693059396275,0.275878565776777,0.27799136672236,0.319330720305983,0.325771984444111,0.325005454770564,0.36775595974211,0.483973628856337,0.651992421655986,0.422543648382949,0.321152397511259,0.275082926458508,0.272881194074409,0.316667751983264,0.29649996425153,0.160291234416583,0.0586796514800581
"[45,50)",0.242461681829792,0.201426565920651,0.222847955105821,0.347072347946473,0.41053318200341,0.367570240684474,0.362756524862513,0.409378877193349,0.476582630992287,0.61237384331326,0.414973340595751,0.315132778558791,0.277537997762672,0.285939495761378,0.309941595212881,0.233315321437398,0.0952545802089062
"[50,55)",0.236919455406222,0.180572211177457,0.150012433162564,0.255119480806241,0.424214115951442,0.461051889092556,0.405032007623105,0.386790846023881,0.382032275813831,0.437665638785135,0.666507430410282,0.48044534283094,0.36928612048577,0.326499029433193,0.310366271770931,0.280992019213762,0.18666228526979
"[55,60)",0.202779370701066,0.178762587752477,0.110220859935695,0.137708725636016,0.264487823945376,0.415483396671977,0.431933131645061,0.35690279095114,0.303390302759446,0.308152010435901,0.445444047968364,0.745254974146425,0.524204542945931,0.408590624029756,0.359152392416426,0.31128085298488,0.280168420621093
"[60,65)",0.1456423711944,0.157151251461599,0.0914557522208234,0.0821816710592988,0.125603732834953,0.231569938843754,0.339730056942305,0.326371011601453,0.247339251536936,0.223036146854258,0.281380199669849,0.430806409837632,0.633857476102479,0.467867728506449,0.392743064838117,0.30535595812068,0.234541513340533
"[65,70)",0.0977586168574428,0.12184352025522,0.0728012555134018,0.0618333184503454,0.0732630684889708,0.106401996309669,0.177012669906246,0.240102151746928,0.217435206004267,0.174073851914421,0.188459933124802,0.254376133826981,0.354429351555794,0.54945999435972,0.416836424111758,0.251583631035072,0.148251654357157
"[70,75)",0.0568689751258449,0.0799474811609164,0.0481304506746416,0.0442382207562328,0.052791215963916,0.0578459760124837,0.0728951792584613,0.113726626518372,0.146199963197863,0.135498924867219,0.128649543710169,0.160569598808646,0.213654334216101,0.299338276903021,0.464765006784891,0.229928923663747,0.123484380396608
"[75,80)",0.0244774243009034,0.0393561570412949,0.0243919876478964,0.0243540681903369,0.0320236468679105,0.0330590579863442,0.0300836841414692,0.0362595365821061,0.0533977723044106,0.0689112284833661,0.0786898040290088,0.0940216165925473,0.112227768748496,0.12205897577799,0.155340376715349,0.185460494301276,0.0900240321635288
"[80,Inf)",0.0116502498194609,0.0216402632351692,0.0154619572652893,0.0179673697088607,0.0246545324631515,0.0250232903543689,0.0207838952652904,0.0176027377695588,0.0178378106912235,0.0256728013033122,0.0477003665324476,0.0772209512619612,0.0786600670688581,0.0656337998034854,0.0761278270601672,0.082148402086174,0.0216309109601836
