"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.0053811504830745,0.00880109259396055,0.00660745634619702,0.00685051212667743,0.0136977190701885,0.0298822253844304,0.0493809107052968,0.0601484184261274,0.0621663566323791,0.0586074120738953,0.0453298831801346,0.0251505277003383,0.0103655936091703,0.00399307389357947,0.00176984870311608,0.000957947680804855,0.00069354550444635
"[5,10)",0.00819665688941061,0.0187319619062287,0.0144379461989334,0.0117262734208099,0.0246715522527767,0.046894131751339,0.0635801657337107,0.0677818832495554,0.067706264255503,0.0664723760780051,0.0570348404997471,0.0374970117194848,0.0189722446543385,0.00871833779493202,0.00431510621344336,0.00254353785419239,0.0019259241816351
"[10,15)",0.00585831574284882,0.0137449677653758,0.0414838577609939,0.0352729393899324,0.0481001333507399,0.0662111212651866,0.0733088053657409,0.0710711192809812,0.0698753780581037,0.0702329244052321,0.0627933662729163,0.0445545453324066,0.0259404824106218,0.0143263045477182,0.00823208620650991,0.00522172220734611,0.00404065297423085
"[15,20)",0.00605495753450298,0.0111287891119659,0.0351634308410378,0.151520699980792,0.192667076677859,0.191159325511055,0.183155573620644,0.168395830754324,0.163289161894081,0.16389348592916,0.145704662986204,0.102128158543505,0.0604034560209266,0.035908126156367,0.0234913776198946,0.0164159302648598,0.0127158975658266
"[20,25)",0.0120278859577943,0.0232614806748121,0.0476374882622555,0.191408179428408,0.542495508535789,0.544747436921898,0.47651023753489,0.421541596300847,0.395397337151688,0.384611950200755,0.33222563661084,0.225812064919041,0.130361041894963,0.0779086630297675,0.0549007464798018,0.0429641217723957,0.0359185175562032
"[25,30)",0.0245166788677043,0.041311126219243,0.0612690535443229,0.177441879396578,0.50898249957165,0.822029140240867,0.755675706155845,0.645113713912052,0.579483360434632,0.540197479645581,0.451861443724791,0.300554724152181,0.170647916647416,0.100620462622614,0.072232256325826,0.0611368721390369,0.059756693206774
"[30,35)",0.034811416428413,0.0481264789880919,0.0582881497011557,0.146081317275248,0.382554916880662,0.649305913909106,0.780034183151041,0.685514636608378,0.587934611123386,0.526227890910959,0.428494650503931,0.281423114954222,0.158813723954959,0.0925171396547914,0.065577791531392,0.0568721227183478,0.0665149636976106
"[35,40)",0.031679378040601,0.0383323901242652,0.0422189197572179,0.10034499296419,0.25284351736739,0.414133160855321,0.51216107323529,0.571587295756279,0.503649432153194,0.438202902258171,0.350738692897173,0.227844622127296,0.127220366743589,0.0729022214236457,0.050609388079428,0.0437677737601863,0.0605941593832696
"[40,45)",0.0278018816489287,0.0325122825670306,0.0352455646815056,0.0826205482420848,0.201377742558777,0.31587193672311,0.372979706418806,0.427656117709216,0.468128902155894,0.421555865330672,0.33360365274489,0.212839422678246,0.115662674725595,0.0643875746110166,0.0439779285452992,0.0384917534422233,0.0633089329200681
"[45,50)",0.0245833327508401,0.0299384458810331,0.0332269512905332,0.0777789086948443,0.183725713304586,0.276179899444356,0.313111831303784,0.348988431013286,0.395388994300004,0.427269124794888,0.349975670451408,0.216642582182559,0.113111887511248,0.0609573750586503,0.0415726525398141,0.037919702441585,0.0719185922045583
"[50,55)",0.0169149962730185,0.0228521661022425,0.0264278966552078,0.0615138196650629,0.14118202348479,0.205515172903819,0.226814132617857,0.248495513147183,0.278355193768058,0.311341451513746,0.313412832155134,0.199184904512113,0.100168642727579,0.0530399510712909,0.0367378382310104,0.034932284666787,0.0663080546337363
"[55,60)",0.00757553083042669,0.0121272536415192,0.0151362925146932,0.0348035389940861,0.077459031698728,0.110341993401879,0.120243922406886,0.130302370410172,0.143350517735526,0.155568468659529,0.160781132520563,0.128095993622043,0.0674486918487907,0.0359569274455672,0.0252037346108255,0.0235498308863847,0.0359012244655244
"[60,65)",0.00238040432258043,0.00467816033968143,0.0067188682970591,0.0156938782025076,0.0340928516179312,0.0477648965392848,0.0517347056332773,0.0554703314830885,0.0593924182755602,0.0619265073939281,0.0616454510814111,0.0514237939604183,0.0365354688687064,0.0216096101311999,0.0144782964959512,0.0117263871306687,0.0116446349848151
"[65,70)",0.000655814359650671,0.00153747159425259,0.00265380667036722,0.00667234132724558,0.0145719703685817,0.0201423984584755,0.0215542627428152,0.022733269600681,0.0236459553978798,0.0238677575082155,0.0233447583526655,0.0196060533521148,0.0154548200990813,0.0153741860639704,0.0104970329183541,0.0062856874492866,0.00360863746382264
"[70,75)",0.000195899007813001,0.00051284652677499,0.00102770278102671,0.0029418228598327,0.00692043345926182,0.00974492664236781,0.0102965156016811,0.010635912270849,0.0108845903591075,0.0109702270187105,0.0108973872762896,0.00926179201420712,0.00697841846080219,0.00707439131679389,0.00684013641457371,0.0029757525582926,0.0010337256894143
"[75,80)",6.49224085582754e-05,0.000185093374199013,0.000399142639087731,0.0012587232940949,0.00331602445767294,0.00505018569460701,0.00546751108237055,0.00563189897236486,0.00583313131824572,0.00612674124423844,0.00634442864133066,0.00529876498176486,0.00346067255293856,0.00259377345113685,0.00182202173847925,0.000327026132910425,5.82043529280217e-05
"[80,Inf)",3.35855652416466e-05,0.000100142106160586,0.000220694129860207,0.00069668531981921,0.00198086581900086,0.00352708199607454,0.00456913994407178,0.00557129341637738,0.00685525982116826,0.00830291636740941,0.00860511504366816,0.00577192917842414,0.00245554008571152,0.0010640140916727,0.000452258684950213,4.15891776681044e-05,7.06104760254203e-08
