"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.1518080836285,0.516917951944338,0.105760194589383,0.0525392177894132,0.0679420491455923,0.112156194451507,0.144506029575474,0.145975498594196,0.140776864605166,0.131379648560996,0.103921261438075,0.0635871329395855,0.0283891696137765,0.00859921413100362,0.00196595144998399,0.000597244749743557,0.00360979596906424
"[5,10)",0.510925416820074,4.84376029779986,0.517124687409591,0.0680940865539867,0.078786347117235,0.165465298032625,0.270105619293431,0.275394622038319,0.252941440914054,0.275707055563666,0.270410353291221,0.167523857499773,0.0697063492025882,0.0277271544614261,0.0122365153767755,0.00598997488485053,0.00721125175599267
"[10,15)",0.101956214342136,0.506097718388983,7.35739154462403,0.615419841935183,0.12170675447128,0.130855478464569,0.226666668864139,0.293695565139382,0.281475275905435,0.293665515677794,0.31602979335128,0.207750687335398,0.0691380307552601,0.0197919977690063,0.00965906037554492,0.00742344362823286,0.00447585121742171
"[15,20)",0.048672428600856,0.0638666873516573,0.594073141315577,6.17011707558802,0.507105527476718,0.129588039029074,0.118144704205706,0.169975684684554,0.208767710892017,0.214007883565938,0.197208143842207,0.124363069152909,0.038832455402453,0.00798302610641014,0.00257812837032536,0.00222777598794104,0.00197934674940033
"[20,25)",0.0597079426825084,0.0700987073473255,0.110947287033295,0.482289735912816,2.11191874898491,0.321794013602246,0.0994815760292206,0.0788823141695365,0.108199519736503,0.13676071525851,0.116622005415999,0.0611272383191117,0.0184842874497841,0.00385951076016323,0.000940813497966522,0.000596662019197552,0.000775421461899672
"[25,30)",0.0914201712109725,0.136549863229227,0.110641795447577,0.114020848715724,0.298732504356073,0.636442541896164,0.189139708886878,0.0576827747492178,0.0453317188633388,0.0672576717886351,0.0768508557882478,0.0436147732298648,0.0129770866427526,0.00312377313039758,0.000863268858260615,0.000407677222376011,0.000324763600006093
"[30,35)",0.10673274117938,0.201981174100352,0.173663238905668,0.0941947157888883,0.0836105125270631,0.171448628774352,0.31233748314223,0.105354656353519,0.0354644336960455,0.0351730022484111,0.0558777885412092,0.0512181856023784,0.0194838734752219,0.00477675359184972,0.00132763112582315,0.000530855229976698,0.000177128638599224
"[35,40)",0.0964197883338441,0.184165060355601,0.201229725450284,0.12119189928265,0.0592887621869625,0.0467426773412306,0.0942423868865408,0.15790706236155,0.0644501127625525,0.0338704847526,0.0425695692964269,0.0554397475859286,0.0320823301413458,0.00855343252913738,0.00188276600741095,0.000607883981377598,0.000147337929273882
"[40,45)",0.0833575574136681,0.151634931128455,0.172887058373083,0.133437411021661,0.0729030266432145,0.0329304081266262,0.0284311892636631,0.0577866358149774,0.0898499983472227,0.0563551358468397,0.0393382288500686,0.0368814518381126,0.0254164376256509,0.008974932937053,0.00205155304465629,0.000613054397505263,0.000185004289165407
"[45,50)",0.0697971728883841,0.14829386849318,0.161834543578137,0.122726993221064,0.082675652963976,0.0438361899779599,0.0252992403635122,0.0272423734452913,0.0505662981922831,0.0761415060874309,0.0526389789787956,0.0242799004841276,0.0110948141859521,0.00518336007813209,0.00213338623292752,0.000991873188065291,0.000425137775394095
"[50,55)",0.0485523503190452,0.127907126410647,0.153158962244645,0.0994560667043416,0.0620001710175012,0.0440489733714559,0.0353454376372244,0.0301105645321984,0.0310389455412101,0.0462943931922419,0.0582927580002252,0.0282221070624643,0.00768341827858028,0.00321992113222323,0.00243190346800257,0.00218371618351549,0.00117017354573429
"[55,60)",0.024880702713986,0.0663644716888941,0.0843226812042412,0.0525273408830996,0.0272166524505026,0.0209367010463939,0.0271335047114754,0.0328419122439291,0.0243718061578063,0.0178825959767978,0.0236374051425493,0.029386286462999,0.0129732565525874,0.00394793247077364,0.00229457545635284,0.00245952427751496,0.00187853463868415
"[60,65)",0.00873580998258552,0.0217164286380078,0.0220686635863749,0.0128986995679777,0.00647231635822295,0.00489901679365565,0.00811734669415023,0.0149461792501983,0.0132084384602545,0.00642629689736084,0.00506056628145926,0.010203080972798,0.0178410093728276,0.00782283012037983,0.0019219415906753,0.00113572238188798,0.00164280426424299
"[65,70)",0.00198668711662697,0.00648547204802744,0.00474317212220947,0.00199085141147968,0.00101463421166208,0.000885383514782466,0.00149414193839667,0.0029917475179068,0.00350177495366371,0.00225409572411587,0.00159224574849834,0.00233102552389127,0.00587356987199638,0.00901147295270256,0.00250695084412875,0.000698935603921124,0.00104569704444134
"[70,75)",0.000336697966959456,0.00212173452842373,0.00171597566951704,0.000476620622387611,0.000183348676375409,0.000181382345887692,0.00030784594434003,0.000488177599756707,0.000593385273814629,0.000687745025003576,0.000891472989729462,0.00100433049812037,0.00106968868310188,0.00185844991017411,0.00227785752332832,0.000857063985835459,0.000339006644070837
"[75,80)",7.45555754081961e-05,0.000757039195210498,0.000961261924415965,0.000300192536384535,8.47544896539535e-05,6.24346192691927e-05,8.97206045578115e-05,0.000114884722225114,0.00012924480804291,0.000233063465717981,0.000583469461314004,0.000784667203708152,0.000460733171094994,0.000377654129511098,0.000624707490656247,0.000238029067162425,2.39325045406856e-05
"[80,Inf)",0.000585361640013647,0.00118390768340649,0.000752880041505568,0.000346468751683478,0.000143082313672934,6.46085783173415e-05,3.88882762374732e-05,3.61717864808302e-05,5.0665193836395e-05,0.000129766192659509,0.000406149600673957,0.000778515766297572,0.000865718972470853,0.000733967401894747,0.000320983055974994,3.1088671787383e-05,2.02873792541032e-08
