"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00589978311215203,0.00990294401683796,0.00746692878561093,0.00771192174446505,0.0154503145655033,0.0337539181629915,0.0559061226427443,0.0680461147443925,0.07031905195814,0.0663183788950737,0.0511822430348678,0.0282703358137133,0.0116169742935481,0.00447236912045694,0.00198392415157008,0.00107038064722483,0.000781962506192508
"[5,10)",0.00824068251781101,0.0187966053267103,0.0145926913620572,0.0117939950456968,0.0250471135156097,0.0477415846998404,0.0648275571806735,0.0690769623751892,0.0690132331196106,0.067775595044743,0.0580967583703391,0.0380869563063051,0.0192255652884493,0.00882585091370139,0.00437050604150761,0.0025698213474411,0.00195489700844113
"[10,15)",0.00544041306210206,0.0127769267100917,0.0387751368675683,0.0327342809991032,0.0448655422943014,0.0618386841090843,0.0684856334616067,0.0663794997108765,0.0652820851974531,0.0656316859974899,0.0586584479476022,0.0415502103261823,0.0241648706030954,0.0133390549701281,0.00766575484615106,0.00485172551154437,0.00375368754945107
"[15,20)",0.00524561037313927,0.00964040984732871,0.0305595078897407,0.131474229278502,0.167920857017485,0.166835946355548,0.159845029405962,0.146988359988878,0.14262557825497,0.14321409482504,0.127302781512903,0.089107703438808,0.052685366787232,0.0313368115820716,0.0205117705756589,0.0143062627850763,0.0110352514828863
"[20,25)",0.0103392585653782,0.0201423851281215,0.0412073917580785,0.165205041710487,0.47203012668623,0.473789110090045,0.41416796777428,0.366439493673508,0.344045818049604,0.334705833756341,0.288973772214517,0.19608653322303,0.113149724821722,0.0676735658714012,0.0477375720591374,0.0373317029598242,0.0310895059937638
"[25,30)",0.0221659697909617,0.0376756293464746,0.0557356304624897,0.161071520199934,0.464938540460009,0.750497289072734,0.689270608440556,0.588473410324617,0.529420089801376,0.493500645700166,0.41247989394928,0.273888606730918,0.15543943162135,0.0917242899127729,0.0659119532591904,0.0557825322939439,0.0547973994802445
"[30,35)",0.0337263727627704,0.0469971000787662,0.056704806749918,0.14176727227179,0.37336594196223,0.633195002975712,0.760689837592669,0.668574567349071,0.574569398749987,0.514100439141478,0.418171154083398,0.27415645815486,0.154641739617919,0.0901494152567189,0.0639548518245066,0.0554716887727176,0.0665058041022783
"[35,40)",0.0354702411060208,0.0432708254457512,0.0474903004284021,0.112644589377031,0.285437488489778,0.467116392108812,0.577697378106758,0.644541094489249,0.569416592812277,0.495288468568076,0.395989558873452,0.256773704407431,0.143291142379489,0.0821613272705417,0.0570894377266336,0.0493854573600175,0.0720280943390374
"[40,45)",0.031015983177044,0.0365801987084984,0.0395199783593692,0.0924861174481111,0.226765383322022,0.355590720379969,0.420092351575793,0.48181670850254,0.526327162468078,0.473902563725756,0.374660044517082,0.238650389345076,0.12966414152627,0.0722603932425928,0.0494166946814585,0.0432659822487158,0.0770021531915946
"[45,50)",0.025030784111956,0.0307407906424991,0.0339988516434849,0.0794681128345801,0.188778166822397,0.283638861936191,0.321646081418867,0.358622853783701,0.405524470120932,0.438302094778564,0.358636891942803,0.22163246285017,0.115692635424958,0.0624161906930142,0.0426187976726089,0.0388969974511206,0.0811701975262669
"[50,55)",0.0165299225915609,0.0225478193666837,0.02600112909418,0.0604443876975654,0.139462633545415,0.202857815868555,0.223869698121709,0.24534343004453,0.274331918074254,0.306878112583808,0.309102359317291,0.196062077358547,0.0985540761341362,0.0522381642493337,0.0362297817629295,0.0344893638331226,0.0712030262544467
"[55,60)",0.00757939212658663,0.012271024346005,0.0152892707034132,0.0351224856882804,0.0785595716716184,0.111818801158644,0.121840487166626,0.132066645871549,0.14506178280903,0.157433165752744,0.162759183929761,0.129525793049447,0.0681847394529159,0.0363897867624506,0.0255387928601954,0.0238770752278215,0.038179691622624
"[60,65)",0.00247316427340697,0.00491858516094822,0.00706081031376028,0.0164898432848793,0.0359965905071198,0.0503916514584429,0.0545728204306244,0.0585219075233881,0.0625845709679391,0.0652566983901804,0.0649655353880135,0.0541431740897121,0.0384753515697157,0.0227887596994025,0.0152805325345046,0.012360729527464,0.01233318555728
"[65,70)",0.000715362320290557,0.0016964698636781,0.0029283542817942,0.00736902129922371,0.0161754142476607,0.0223413923418633,0.0239023759063825,0.0252112895328835,0.0262045192270059,0.0264511846925553,0.0258716914079725,0.0217102349151835,0.0171217903125765,0.0170553063197797,0.0116517160835993,0.00695209257371015,0.0038744705852665
"[70,75)",0.000218089742128076,0.000577355145462897,0.00115657882142317,0.00331497234263461,0.00784184820118176,0.0110334622267928,0.0116539569315857,0.0120394080128478,0.0123160465755791,0.0124128302223893,0.0123317407917022,0.0104714574256317,0.00789021302309566,0.00800777104170485,0.00772885144439886,0.00334476411656969,0.00110637701732774
"[75,80)",7.54937467922697e-05,0.000217809493679058,0.000469655150062473,0.0014834247288431,0.00393458075214956,0.00599112544907388,0.00648535653586341,0.00668206974857335,0.00691841730269689,0.00726855795227751,0.0075319323470175,0.00628131322652876,0.0040950282246861,0.00306548967287007,0.00214599177252735,0.000379024670735226,6.32237129840288e-05
"[80,Inf)",4.80130429791988e-05,0.00014424418856834,0.000316330855829014,0.000996143994507927,0.00285256173831064,0.00512354678806727,0.0067689699743118,0.00848426879306625,0.0107192308913476,0.0132047247168746,0.0135369320513862,0.00874384215661139,0.00355703903853237,0.00148729544864527,0.000617968407051073,5.50402714777961e-05,8.40832063449164e-08
