"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00730878196370489,0.0120168542936578,0.00905592676534173,0.00929095204663533,0.0186344367541401,0.0407808226925662,0.0674757366750324,0.0821499796114843,0.0849457272671499,0.0802001009871275,0.0619295033311729,0.0341713072440817,0.0140170533263695,0.00539516117460236,0.00240660525087232,0.00130649612125539,0.000949160291708826
"[5,10)",0.0108192591849295,0.0245856838236762,0.01914461257731,0.0152370955403257,0.0324367652066306,0.0619423153041738,0.0841104677888902,0.089690897719774,0.0895839896064544,0.0880365694284551,0.0754684077788633,0.0494015814136054,0.024884409339782,0.0114142780422019,0.00567734022775283,0.00335480095888221,0.00254324020250845
"[10,15)",0.00708525196397568,0.0166365109415894,0.049931685144087,0.0417455936162984,0.0574407225932216,0.0794169310026756,0.0880812499884753,0.0854547022052873,0.0839707763077436,0.0844544914224399,0.0754729451358698,0.0533677843071663,0.0309602398209702,0.0170580694240302,0.00982448777455462,0.00624099409960607,0.00482270844578034
"[15,20)",0.00621853939277167,0.0113272277427325,0.0357121843588652,0.151579951841389,0.195577948362961,0.194929005637255,0.187069817176004,0.172153527327212,0.166901691596025,0.167705564226975,0.14910949508723,0.104239458332139,0.0615333472813345,0.0365771744045094,0.0239814151893709,0.016766577288028,0.0129427036700283
"[20,25)",0.0111378481067009,0.0215335596775395,0.0438816064156498,0.174653275668412,0.503311951963759,0.505600280935083,0.442270427564582,0.391511784706877,0.367275050899353,0.357466006037887,0.30864208740503,0.209113055239246,0.120461412368273,0.0720473429996518,0.0509340132063584,0.0398919592134785,0.0332335833228883
"[25,30)",0.0223599136339923,0.03772201157532,0.0556550838894991,0.159684379517005,0.46380606662875,0.751639687550307,0.690701129207689,0.590084225896009,0.530442897924551,0.494499738599418,0.413218400365652,0.273910455680731,0.155160536319723,0.0915684205773245,0.065976740224117,0.0558988426855595,0.0546994964976449
"[30,35)",0.0316292514943984,0.0437909733645752,0.0527718539202095,0.131013735728807,0.346851965911582,0.5904964714569,0.709612401519672,0.624252633725549,0.536116543102581,0.479623058047501,0.389964511132059,0.255219584774823,0.14368635738234,0.0837668397362102,0.059602444773441,0.0517446414909699,0.0611989860963096
"[35,40)",0.0293079977586125,0.035540237940295,0.038966577025123,0.0917627550103551,0.233689128064658,0.383953433804295,0.47511396219707,0.530010898889432,0.467819030676299,0.40674059154022,0.325009258076324,0.210389111242899,0.117197900656704,0.067209065118549,0.046846653103075,0.0405599004690035,0.0575822343528078
"[40,45)",0.0219267757334522,0.0256836596388031,0.0277037785231692,0.0643673756803854,0.158613315298109,0.249722535514236,0.295223663078323,0.338479546786138,0.369891062835417,0.33279916135939,0.262936516885132,0.167208589631051,0.0906964728240163,0.0505577099229502,0.0346859843077106,0.0303786838091663,0.0519699861522726
"[45,50)",0.0157457560848901,0.0191975136792345,0.0211928301762977,0.0491935206840105,0.117418987676862,0.177068183432083,0.200884939450508,0.223834708607015,0.253126487032779,0.273791496151161,0.223858539292872,0.138088417387969,0.0719421662691488,0.0388173137396179,0.0265909262183517,0.0242649752539773,0.0484231475542281
"[50,55)",0.00994042465578944,0.0134544453430704,0.0154837532237627,0.0357589262226747,0.0828852912350459,0.12096865559048,0.133533781189882,0.14622592707681,0.163502730833873,0.183017408725911,0.184477381581596,0.116761643870643,0.0585601702976169,0.0310428547558403,0.0216026551454128,0.0205596594062846,0.0408198605230423
"[55,60)",0.00462045589701882,0.00741920477185224,0.00922316569577211,0.0210584892103236,0.0473063414997794,0.0675488107496071,0.0736200238651072,0.0797384529128907,0.0875888015050118,0.0951024890799239,0.0983594509336686,0.0781897286526699,0.0410750652232058,0.0219274514534134,0.0154394221388704,0.0144327228015207,0.0225050327339926
"[60,65)",0.00159169465851216,0.00313851089422428,0.00449350213124384,0.0104396371083818,0.0228857928964919,0.0321343978580758,0.0348078571996125,0.0373030357039283,0.0398988331893767,0.0416100214517,0.0414283868957646,0.0344951516952109,0.0245055360642227,0.0145241685262395,0.00976335460187728,0.00790057664667272,0.00782413041904318
"[65,70)",0.000504153413958578,0.00118467713672202,0.00203735058978307,0.00510669912498384,0.0112639635867278,0.0156059378664305,0.0166989490852655,0.0176038416708243,0.0183025856207517,0.0184754558423724,0.018072265624718,0.0151538579330731,0.0119521637713779,0.0119406794320771,0.00817372175956951,0.00488600035422624,0.00274646381737398
"[70,75)",0.000167636570358654,0.000439240218356295,0.000874684491438311,0.00249580438835423,0.00593590283232239,0.00838186424021037,0.00885700115740787,0.00914668633624838,0.00936019065221899,0.00943428013508967,0.00937483643297618,0.0079537459112615,0.00598907755433313,0.00609291988821139,0.00585697535240695,0.00255171892699437,0.000863240159446201
"[75,80)",5.7176026959555e-05,0.000163066923665661,0.000349089851712308,0.00109628151959624,0.00292082942334146,0.00446164001604017,0.00483092117999901,0.00497535461328048,0.00515040720684436,0.00540875235707945,0.00560550086712072,0.00467122604598505,0.003044819880342,0.00228823726561506,0.0016031522796309,0.000288772307688141,4.98950374316134e-05
"[80,Inf)",3.11004730107771e-05,9.25567472721949e-05,0.000201974268300547,0.000633613278086451,0.00182187922268185,0.00326886227377938,0.00427789755939909,0.0052885578121061,0.00659700477665582,0.00808149752682114,0.00833281248185453,0.00545360709836783,0.00225767009778606,0.000963037117145184,0.00040606463008354,3.73575973458023e-05,6.06082091446651e-08
