"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",2.11532612785742,1.16226006915999,0.408607367190039,0.254203670159195,0.345459365811221,0.668634974304785,0.991378630804345,0.859496935089874,0.551584324271866,0.411431579670612,0.380483617255138,0.358860736631081,0.302412739346684,0.23066377310729,0.16889924802388,0.116110953800523,0.0679229251098505
"[5,10)",1.12209306438328,6.93726555379757,1.48322970534591,0.359586699491946,0.259389099285702,0.422505839695723,0.791082706637119,0.976404981826614,0.727938655412857,0.491716722010976,0.40519554920268,0.351047833899934,0.312997228264716,0.277833927865695,0.225189847811886,0.162469402666621,0.102377968358511
"[10,15)",0.366409909282898,1.38358296439409,10.1260242200884,1.49181028384389,0.388929608326128,0.318508478996379,0.474082432702989,0.741724635004458,0.800532864646356,0.591496723101319,0.415229115407175,0.286884888834915,0.206617586962177,0.18701021147604,0.166237333414416,0.126949422988131,0.0828698288993675
"[15,20)",0.225527081329391,0.330719345646127,1.47727948070114,8.61735720511289,1.37452265180581,0.537118579960505,0.446601728478027,0.539789220881836,0.727002464917356,0.758016366158487,0.544295214003363,0.309523404889469,0.17908905668471,0.144984779111467,0.140489096185199,0.122350265871126,0.0894190090412705
"[20,25)",0.351521773834443,0.273618890975977,0.441331827243295,1.57259264172922,4.32292188798163,1.46043330976177,0.818937713885748,0.668809317915823,0.715291309569668,0.883683632099853,0.868234578873658,0.55642369068181,0.287357140015197,0.183982367952775,0.165434419573258,0.156505414499143,0.133255768692562
"[25,30)",0.804741004271673,0.527155636686962,0.42749104504091,0.728652289644124,1.72668854672877,2.81296229843909,1.60069997825281,1.02626874360294,0.856210936767783,0.900428116647309,1.02226706730535,0.904095526127733,0.55099351497701,0.299673864906038,0.210571432062067,0.185866001140082,0.17687554636817
"[30,35)",1.27034755460222,1.05085789347999,0.677447816803836,0.645039810358648,1.03128479478802,1.70418175691972,2.37062835037057,1.53562541189735,1.04403811708334,0.908034147372518,0.912365461473374,0.939360889462396,0.801845149292896,0.500389312529427,0.280758968634144,0.190558695531018,0.184715859559787
"[35,40)",1.08570267822734,1.27860282875188,1.0448363243544,0.768553140730718,0.830259076794184,1.07711143791757,1.51380610829563,2.04329799797569,1.3983058245935,1.00977836239363,0.8528269881523,0.772821047068263,0.766516780204384,0.679644031081942,0.432199279983484,0.230791263501677,0.18367823406746
"[40,45)",0.67886398606103,0.928762633339968,1.09872499099474,1.00853240022182,0.865164206409767,0.875557322276249,1.00277663642877,1.36240813127052,1.77522490594036,1.27653156512019,0.899079756048236,0.666318156278389,0.567813328978162,0.607143845294225,0.563630801477305,0.34039874367695,0.21161352142631
"[45,50)",0.496538630334396,0.61519032115628,0.796061726397325,1.03113877478033,1.04808612100414,0.902895368711839,0.855213597081579,0.96475025567586,1.25174659587147,1.62017429490638,1.15207995892398,0.697778398974882,0.475879191863566,0.438814852698056,0.503985405010056,0.452939759998196,0.299255569438647
"[50,55)",0.461719490528495,0.509736825299841,0.561912931151377,0.744491731280596,1.03543791735262,1.03071732231651,0.864028523547715,0.819288020206259,0.886481364780009,1.15842882115001,1.57321960997613,1.01118207883576,0.5661236701949,0.415954421023335,0.412219135897034,0.471537645210131,0.446385760188222
"[55,60)",0.430570443825831,0.436640148032121,0.383852988297896,0.418595814589476,0.656097863123394,0.901292068931706,0.879564600623421,0.734058437279116,0.649574642895519,0.693713861686272,0.999782231011304,1.42362354215497,0.875885933000979,0.524313645012632,0.427587888593547,0.428351375357251,0.518656234818299
"[60,65)",0.337364679231609,0.361975451692034,0.257043009349681,0.225191345333346,0.315040408867946,0.510715425939933,0.698082953931693,0.676946924318861,0.514676404083376,0.439886694827329,0.520437518075471,0.814383405251171,1.21138442654086,0.788406061047681,0.518007362721849,0.395600655002719,0.399107334203412
"[65,70)",0.226112855196139,0.282338588057724,0.204432606516466,0.160195897716779,0.177242067231069,0.244077468378233,0.38279907976389,0.52742509834587,0.483578077692939,0.356427957836332,0.336007801349911,0.428369707688515,0.692781630777843,1.13899959012011,0.760116021390997,0.394426756486707,0.258456208086847
"[70,75)",0.143858729304206,0.198836636847551,0.157897789484452,0.134875863917612,0.138477468701435,0.149018749075457,0.1866204102352,0.291424436996714,0.3900608545347,0.355689499996595,0.289330625865384,0.3035397896214,0.395498560394845,0.660453946874329,1.07343549514215,0.548123090614452,0.243017773914284
"[75,80)",0.0851191333162159,0.123470919285366,0.103782401033801,0.10109787679176,0.112753000488313,0.113210553707741,0.109018391272916,0.133938918648409,0.20275477660782,0.275130683602676,0.284857805839186,0.261719387719839,0.259962959725081,0.294967730272564,0.471762695785501,0.655792145782658,0.275912523942542
"[80,Inf)",0.0648745541342262,0.101368637680247,0.0882659967789437,0.0962655674463152,0.125080256933967,0.140364976965094,0.137682641092863,0.138883011164937,0.164221708176223,0.236834424524277,0.351338782144141,0.412875714260039,0.341702522346739,0.251825155959904,0.272513197772797,0.359480567903399,0.27357977945319
