"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.498925998972784,0.414458468999362,0.2073563525423,0.139208037566132,0.200410915977577,0.380156099164715,0.514245915634231,0.391367690116428,0.212087626174091,0.140945443309159,0.14503070105854,0.168591904558845,0.157389956527344,0.114242907291182,0.0787282936817719,0.0596939898326621,0.0368375495733924
"[5,10)",0.399799200107163,0.64507219526077,0.426231114680596,0.153647491332959,0.101039249292206,0.177242728924724,0.388596943449312,0.514020062929451,0.346625133758879,0.173174965008251,0.115272657177936,0.118914216129943,0.133914904975001,0.123270051313117,0.0932632573648739,0.0686702418800873,0.0450088987680136
"[10,15)",0.185942370170042,0.396228093675526,0.648778089319451,0.332273346392785,0.112276587605595,0.0856148409719104,0.170029175833055,0.360834064097531,0.425148171505732,0.266348331367035,0.133319921559116,0.0888729450086791,0.0874355110039931,0.0948630391767891,0.0884258441410264,0.0691835672922049,0.0430380681369194
"[15,20)",0.123504048506541,0.141312784554044,0.328739106686045,0.532817086923495,0.265274196746993,0.10112390484938,0.0865342026949235,0.164946015607672,0.313836136765776,0.348871899356106,0.218950141808378,0.107872140538874,0.0662984219734032,0.0604386749881544,0.065163099686265,0.0623686353686939,0.0408429931955172
"[20,25)",0.203927893269857,0.106582147871711,0.12740411247649,0.30425196017337,0.483476649581929,0.263106390033752,0.114525975523534,0.094811796720906,0.16027659336705,0.28637125498245,0.317893229914367,0.196184874552862,0.0900627181806178,0.0515273701704007,0.0477308715916161,0.0547009627428746,0.0472699372589056
"[25,30)",0.457539932516846,0.221143697520812,0.114909273226944,0.137184166691224,0.311202571781314,0.488873428941195,0.294466554911325,0.127049728321874,0.0943030721522743,0.150464187699389,0.270565733923554,0.297584953566848,0.176254311051813,0.0783587012344996,0.0474470435922047,0.0483529756569237,0.0558563209808603
"[30,35)",0.658952110819756,0.516204136406721,0.242965961223926,0.124983855047074,0.144222075944305,0.313510388846774,0.49406331826449,0.293569997486655,0.115684313697757,0.0825354361532074,0.136249928158472,0.247574159468457,0.267047249856215,0.156783515013487,0.0743061720180205,0.04931320408568,0.0535060029277581
"[35,40)",0.494369359544748,0.673109538285336,0.508291783016295,0.234850518391595,0.117699249555917,0.133343937845539,0.289397812092352,0.457702506954913,0.257848466951202,0.0993809437740712,0.0748502873239253,0.126889996905299,0.226132062658312,0.240159002851892,0.146133816057876,0.0728864470733769,0.0469234882403883
"[40,45)",0.261027453035088,0.442252200261475,0.583512484669095,0.435368416976015,0.193858879384245,0.0964338830426114,0.111112348370465,0.25122845723812,0.411484454035359,0.236418313082836,0.0967353281218379,0.0744320281857205,0.119783970841015,0.203311047822244,0.217763400467546,0.136254695666402,0.0557044126119018
"[45,50)",0.170100840165535,0.216660442020264,0.358463038272437,0.474574638382053,0.339648406849442,0.150876472778981,0.077734331295279,0.0949493418417776,0.231827887820814,0.4095816440334,0.248818599784437,0.101761562338657,0.0716556654955498,0.106352482234507,0.182425326465639,0.204500593109213,0.0990291115079935
"[50,55)",0.17599575478919,0.145013237261318,0.180416510125244,0.299481909716084,0.379112640676025,0.272802282005811,0.129031434475978,0.0719066640308257,0.0953798204430799,0.250189839779786,0.461335326458263,0.27410314470151,0.102244817149549,0.0663426885143014,0.101969855217694,0.188139763418158,0.174247155620824
"[55,60)",0.202280951248143,0.147907823151253,0.118912312387589,0.145885014919971,0.231328175142114,0.296662189704627,0.231814491257111,0.120525538464571,0.0725616699367384,0.101168804429728,0.271012949363114,0.491548226476733,0.276567307635981,0.0988948509462432,0.0679923762894714,0.112469614113995,0.201018329883796
"[60,65)",0.175580606534082,0.154870087781177,0.108774316857198,0.0833653999526776,0.0987391354113559,0.163369972777869,0.232490192381105,0.199707831921967,0.108574385688035,0.0662360834417969,0.0939936654743165,0.257147378340684,0.477627484044026,0.268977607168114,0.100304423367622,0.0719859841464403,0.142315989716678
"[65,70)",0.111988933526643,0.12526869020249,0.103700745579176,0.0667796154594704,0.0496396350889809,0.063821359359181,0.119939782418477,0.186370923461452,0.16193323286012,0.0863849475937263,0.053591595080274,0.0807981230218046,0.236353728909551,0.454532141393915,0.256915894241026,0.0954837445810073,0.0797958703039862
"[70,75)",0.0670562623685971,0.0823489718389532,0.0839898296994337,0.0625595124773847,0.0399532956561879,0.0335776748735552,0.0493912923689373,0.0985354836141217,0.150703222482019,0.128747325839692,0.0715711607258024,0.0482670163148223,0.0765824154210542,0.22323054246149,0.414174231335173,0.226407990021591,0.0675476840305896
"[75,80)",0.0437607349903651,0.0521869210652595,0.0565582462422048,0.0515351280136648,0.0394088453654892,0.0294516862361052,0.0282120223532844,0.0422993997130298,0.0811586144037773,0.124220465828645,0.113655994898387,0.0687180670739107,0.0473044957352327,0.0714064726943395,0.194866527295091,0.340230345087796,0.121839497937211
"[80,Inf)",0.035184285719531,0.0445651620632339,0.0458405433436859,0.0439702246572402,0.0443698307068219,0.0443264847448934,0.0398820535224901,0.0354798453625929,0.0432291553508558,0.0783728191897679,0.137145466786591,0.160020416141741,0.121846251594255,0.0777485966887872,0.0757460455703752,0.158742094357711,0.22920186962685
