"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.32443278670511,1.09958119992871,0.550774759421414,0.370538792095353,0.524629715145183,0.997486882809915,1.36662596714356,1.04723663907775,0.568231396228479,0.375888098876706,0.384976636104484,0.448299855678769,0.419330707550471,0.30478640396673,0.210551192391605,0.159658917089497,0.105532241549251
"[5,10)",1.02653966178852,1.65948987122106,1.09745707463283,0.400486898601469,0.259163713562123,0.446439027015677,0.989324722371954,1.32447927259397,0.900815330807841,0.450398652506959,0.297463776067729,0.305534537692069,0.344585824213781,0.317933007555853,0.241544897315619,0.178036306212945,0.122696904937975
"[10,15)",0.477766195197293,1.01971898001789,1.66978412422796,0.868586084576664,0.295736066566476,0.218569072755731,0.431049638614076,0.921393192121741,1.09714636189027,0.69295398742028,0.346444460135571,0.229137525505116,0.224838009034577,0.24407239331475,0.228322139450853,0.179437061579062,0.117110479440999
"[15,20)",0.288244843893323,0.333708870887897,0.778931640094519,1.24685841365558,0.62954772227558,0.237490751982282,0.201477818520477,0.385129089715934,0.734066811056465,0.816629255174085,0.512641780012679,0.251924610136957,0.155105904294923,0.141853349549272,0.152838280443528,0.146495166487071,0.101121615204002
"[20,25)",0.345550102500682,0.182845344583426,0.224554128833572,0.533038933905836,0.839213053078385,0.452779057636525,0.19576065164545,0.164349058910144,0.280467348554787,0.499360241957404,0.549906119906812,0.336329981098307,0.154154519830432,0.0891167230602458,0.0829502687394485,0.0947922130894818,0.0852265361537347
"[25,30)",0.536282008067833,0.257098627859452,0.135466950746731,0.164136387309296,0.369584904327618,0.582386142179291,0.347356697265136,0.150176012765214,0.112837670890612,0.180918839418836,0.324424029824539,0.354360974693473,0.207797003137085,0.0924754243479449,0.0564462719865037,0.0574760007709889,0.0675109494434972
"[30,35)",0.596416571703552,0.462477349834247,0.21686323439763,0.113031478275326,0.129708158903362,0.281961412005114,0.447830939187629,0.265726510149105,0.104890321064905,0.074938183162205,0.123607739029678,0.225083213758214,0.24182745248283,0.141453017302207,0.0674022197888608,0.0446834065278561,0.04814035043848
"[35,40)",0.368723733126278,0.49952013919716,0.373989900926901,0.17431498429077,0.0878547697427911,0.0983491927955463,0.214383380210804,0.339821883953827,0.191479415101722,0.0738477336064651,0.0554540155388016,0.0942250887694621,0.168204434872011,0.178003676406607,0.10871794935389,0.0544103410198604,0.0350120617720941
"[40,45)",0.161058113983717,0.273492061128598,0.358492902959925,0.267463858927942,0.12069285242126,0.0594874650746236,0.0681228430233241,0.154142788582291,0.252283424423428,0.145007458964716,0.0592608509709019,0.0455809707275074,0.0737379694090944,0.124954410801298,0.133699754695348,0.0841428960382546,0.0361297720444537
"[45,50)",0.0852446955321522,0.109410107104281,0.181163957146784,0.238070649375043,0.171935125296926,0.0763144094607005,0.0389414316923622,0.0475652403671725,0.116022373957436,0.204449784875067,0.124109204567651,0.0506323938803106,0.0358710316752133,0.0534605543862774,0.0911627879251425,0.102383417774534,0.0539573061611726
"[50,55)",0.070068070137816,0.0579924479838595,0.0726905601669893,0.11994217356289,0.151955419908794,0.109827921256407,0.0515503254828424,0.0286656978267892,0.0380536468099818,0.0996049648365998,0.183610635631137,0.108720971473807,0.0405026951879886,0.0264894041452969,0.040563326377124,0.0745627026774827,0.0745117191329182
"[55,60)",0.0666666672406502,0.0486689557473531,0.0392821252698379,0.0481596004078073,0.0759359775026663,0.09801668260237,0.0766978552184622,0.0397970093393198,0.0239147768299254,0.0332016615703982,0.0888316414830021,0.161910841590054,0.0907488638685055,0.0325052488236783,0.0223441293640628,0.0366077907736042,0.0672314478004568
"[60,65)",0.0508511918010011,0.0447603473954345,0.0314320576116163,0.0241793673353634,0.02838197356515,0.0468702980586703,0.0671970234952997,0.0579329504790048,0.0315484669127346,0.0191813667043778,0.0269862543898856,0.0740023514821146,0.138007885305025,0.0778138414929754,0.029205986340475,0.020723971441789,0.038988897075979
"[65,70)",0.0291287480676767,0.0325471840729217,0.0268907862802963,0.017427615057273,0.0129308566545679,0.0164386643787005,0.0309769326575381,0.048316886135557,0.0421328112022373,0.0225294660574119,0.0139095357845642,0.0208900547726417,0.061325149609902,0.117821841713218,0.0671938614464054,0.0250610219678928,0.0194681393034764
"[70,75)",0.0145539164745388,0.0178842862553436,0.0181940259598829,0.0135808342813731,0.00870526166205446,0.00725723862621896,0.0106756994555111,0.0213435748323777,0.032605840529356,0.0277863167909649,0.015405292623061,0.0103859317506075,0.0166475213916798,0.0485987996823202,0.0895400842150625,0.0492213716979619,0.0152256811858014
"[75,80)",0.0070183109656794,0.0083830021041382,0.00909306275284674,0.00827817984597485,0.00632636069988329,0.00469937320199734,0.00450075807237608,0.00679304687803505,0.0130496691163668,0.019845418530966,0.0180084065479473,0.0108211346886541,0.00751221387197935,0.0115268853986856,0.0313019192799234,0.0545288619262409,0.0216893369059808
"[80,Inf)",0.00364846508473439,0.00454370588456126,0.0046674470787637,0.0044940837718005,0.0044734411547321,0.00434123418121145,0.00381359215464275,0.00343784628026641,0.00440689669348711,0.00822557946870779,0.0141534994549873,0.0156299413982728,0.0111153082885744,0.00704244148806033,0.00761516978224008,0.0170581480270625,0.0252319330588208
