"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.92618759296947,1.01391623770706,0.369435253966896,0.219828806999783,0.262455744639124,0.550707891623082,0.987424140705868,0.957074384007904,0.619408142655095,0.451711665280747,0.415749444980207,0.381003827164249,0.330485652465022,0.291157178569798,0.234941878190473,0.149313210432407,0.0775924343051905
"[5,10)",0.946565139350496,4.14743934874817,1.62448895309007,0.425101243196505,0.264832351682781,0.332512777847741,0.572235241976186,0.720630787301111,0.545873727800711,0.352290974344841,0.298266240639683,0.318876181680204,0.340876740764662,0.348623533886124,0.318638443641891,0.23256808674019,0.142498185455762
"[10,15)",0.320464350699233,1.50941868851641,6.03214073251589,1.77250126284206,0.50070369614281,0.340732413385479,0.385723334915325,0.499716929633188,0.506307459313567,0.361199566146498,0.229640652609068,0.181804434309562,0.183963304291211,0.193219296363619,0.177880679053449,0.133607188549735,0.094040366003586
"[15,20)",0.171006441184171,0.354218967900157,1.58954574595572,5.19733985771807,1.66281209052772,0.637167186228023,0.480596617715274,0.469712727145007,0.517219804783896,0.500870689762621,0.349466649825739,0.20234317551962,0.147081408930329,0.146351740896677,0.145688983140743,0.118776118541713,0.0966811588485566
"[20,25)",0.172867847252694,0.186844685680389,0.380187251411302,1.40790531465483,3.07486348963302,1.16523163107449,0.630644537820494,0.485598381920023,0.447895856726054,0.499562844103837,0.491733449804061,0.329772213908276,0.189962205893732,0.146650014243469,0.147274057211754,0.13235419243102,0.112581470839538
"[25,30)",0.296078814737365,0.191489932011224,0.211182581688906,0.440363758110882,0.951130609127889,1.43923436465054,0.722481457792078,0.462233624512956,0.366420496121163,0.365233885756756,0.434812468873166,0.422860689133451,0.285348917987412,0.173217811915399,0.131766319468321,0.1117427832416,0.0937637675190465
"[30,35)",0.430927067812151,0.267501490871879,0.194059343748273,0.269620480077603,0.417855893079619,0.586463118720511,0.805048032767405,0.482610439035173,0.336166549704943,0.293097942579069,0.310465008129807,0.358012996577143,0.340433574813469,0.232452463093398,0.133948042013488,0.082567069952727,0.0634335639129744
"[35,40)",0.33697831663119,0.271781973965825,0.202833151582824,0.212598759324695,0.259582466209197,0.302713482777584,0.389361442286376,0.558296464890709,0.356936146501239,0.267291332473722,0.239564230383801,0.239482807475239,0.266726524394547,0.25641453216233,0.167949198749474,0.079695322109596,0.0434483210360739
"[40,45)",0.175563525536125,0.165730006835346,0.165436114254498,0.188453697698665,0.192741967343024,0.193175083228765,0.218329211530125,0.287337064082266,0.388679139565585,0.251233704426129,0.19083700290526,0.163456502718575,0.16289287174392,0.189018020080323,0.175475663623179,0.0944896774555073,0.0356263421472156
"[45,50)",0.102440123776861,0.0855779497127711,0.094431006835543,0.146018048715746,0.172004883404412,0.154061392368527,0.152307582443114,0.172162040136887,0.201015389234102,0.258245318411011,0.173939194999727,0.13203565817945,0.116392015636205,0.120580077540899,0.130780284884759,0.097993558416714,0.0410016867910813
"[50,55)",0.0756689069897868,0.0581488935368715,0.0481829256808839,0.0817642868804098,0.135880580599536,0.147197942207097,0.129478723142749,0.123837305045732,0.122543699387611,0.139596474427571,0.212367200532434,0.152381906151869,0.117360834930312,0.103950094202151,0.0991142903436771,0.0897501031743087,0.0608991631499433
"[55,60)",0.0566590754853462,0.0507941619049296,0.031167590500146,0.0386812803757998,0.0744553766350786,0.116963788091128,0.121994121726456,0.101148214877432,0.0857600380492945,0.0865809988850555,0.12450527871746,0.209845707647264,0.147267108306151,0.114948524415598,0.10111267497437,0.0877017654976112,0.080256582024593
"[60,65)",0.0400771729767849,0.0442785519992367,0.0257178277095284,0.0229284335170575,0.0349746625138471,0.0643627609391743,0.0945968817454826,0.0918659162640044,0.0696930009832838,0.0622384645525101,0.0781955208693864,0.12009089531322,0.177185952710844,0.13085877105211,0.109929893523146,0.0855880473038426,0.066185085058304
"[65,70)",0.0278261890697099,0.0356890101369888,0.0212880233326631,0.0179802719598322,0.021278950206581,0.0307916345836523,0.0509049890391462,0.0696005386185921,0.0637341291339369,0.0508151251954675,0.0545839969514887,0.0738736375808633,0.10312990026669,0.159993524823472,0.121571702007503,0.0734769744643109,0.0431567654918589
"[70,75)",0.0162398722738924,0.0235923888327996,0.0141745592444253,0.0129455652792905,0.0154557570884757,0.016941058986302,0.0212157558559592,0.0329718902246659,0.0427938818430709,0.0398616859853442,0.0376419978893169,0.0469988928319659,0.0626604502473346,0.0879282521605615,0.136302003278502,0.0676904019566541,0.0357429785318462
"[75,80)",0.00656353281859692,0.0109506808019625,0.00677061103778088,0.00671182602316033,0.00883321882853374,0.00913635315676361,0.00831660868046191,0.00994983763937413,0.0146543449746013,0.0189945131974494,0.0216764721186973,0.0259243345972874,0.0310247347154253,0.0337959347857941,0.0430471444614473,0.0515448863100834,0.025022035629188
"[80,Inf)",0.00268252889587225,0.00527698595267708,0.00374798595039858,0.00429673938795007,0.00590926966696617,0.00602939931771403,0.00502509307631011,0.00426620545313729,0.00434549128116368,0.00625054616410406,0.011567794737286,0.0186580196457043,0.0188686441448945,0.0156116098746061,0.0178769571437499,0.0196792363709111,0.00572062016404743
