"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.526838281867883,0.435625187974802,0.217378212905474,0.145683466295397,0.204665073020417,0.391665483327727,0.54063788040138,0.409326203900635,0.221551186477752,0.147894922574514,0.151750845551551,0.176542858777979,0.165513782156838,0.120508988587739,0.0831778045451914,0.0629628052698751,0.0355169824388483
"[5,10)",0.484249494324722,0.784102403704241,0.516840853801114,0.189195529842081,0.121446452082513,0.20822240692383,0.467987057714885,0.621714627861395,0.41761925259529,0.209996375181442,0.139631423563212,0.143211428644478,0.161531500626637,0.149370232342146,0.113519091049366,0.0834845764090809,0.0507998816785986
"[10,15)",0.264439737173706,0.565602532050411,0.924073596081109,0.483219465177851,0.165292962817748,0.120775100519849,0.24087365586836,0.515994876911536,0.603978469979799,0.379737583933421,0.191254624439133,0.126738205275483,0.12403432378472,0.134655887209411,0.126069329522037,0.0988475974520249,0.0574782199238679
"[15,20)",0.177908316067317,0.207845516573068,0.485087071873037,0.772773153775713,0.393109356260706,0.147561255184437,0.125702705162695,0.244117384557246,0.460230968384157,0.503828944036263,0.315821284295945,0.155987977318025,0.0960395543031584,0.0877816361407468,0.094611691942926,0.0904899213816052,0.0553878954617301
"[20,25)",0.216278600753608,0.115451201054983,0.143586456513056,0.340170943093815,0.53231744383922,0.28583543715485,0.122507168266153,0.105201031311371,0.182085544793838,0.319946414043543,0.347514182246884,0.212106472304951,0.0973237539800577,0.056409772656126,0.0526718758512346,0.0602431662321136,0.0486259609453381
"[25,30)",0.334635023470073,0.160039565108902,0.0848247909614388,0.103238681936879,0.23110127810304,0.365296292191326,0.214807435923126,0.0923989966557776,0.0711733933060371,0.115152072668491,0.204486610707371,0.222136068142114,0.13022247841266,0.057944530378518,0.0353894436016847,0.0362034896258476,0.0401487585093818
"[30,35)",0.434565299381208,0.338396780335731,0.159157523916551,0.0827384181990104,0.0931837658165912,0.202088588474355,0.325305778435357,0.190765311705604,0.0754058855308936,0.0544031102910184,0.089331279078135,0.162395981422524,0.17623648713099,0.103944888713602,0.0494046504147545,0.032559969558465,0.0348262690294251
"[35,40)",0.377504058783417,0.515806689458209,0.391189117337561,0.184359194974157,0.0918125941397345,0.0997385935085144,0.218878403054799,0.350534560951599,0.197557945888409,0.0767708060558613,0.0571378490940145,0.0956026558285994,0.171731493547788,0.185076964481213,0.114260305143252,0.0568115541629564,0.0357234100087006
"[40,45)",0.252206606162465,0.427667941903359,0.565188260680646,0.429014759479814,0.196149873031773,0.0948296082955207,0.106792081070861,0.243851146764675,0.399777363152328,0.232023528237664,0.0954367365259959,0.0720386020458889,0.114697614989884,0.195611433605937,0.212687081699717,0.134562633278587,0.0520736552231398
"[45,50)",0.192566611374582,0.245970672781596,0.406443894287055,0.537186208513339,0.394216823608731,0.17548636975938,0.088125761076565,0.108385640088332,0.265385611219444,0.464788725134262,0.284848440237439,0.116499760054577,0.0810990942738922,0.119597989301267,0.205291928913425,0.232437594546645,0.103440104380083
"[50,55)",0.201690472529314,0.166948006096703,0.208956317517816,0.343723856874111,0.437076020743678,0.318099544552508,0.147709777393176,0.0823428840431432,0.11142623750479,0.290763833302058,0.530766144515535,0.316256161311044,0.11768517774174,0.0763311380700612,0.116786052377913,0.215964013567626,0.183194362428386
"[55,60)",0.215492414585843,0.157254584952073,0.127168246402378,0.155914668761574,0.244999916914761,0.317354616130263,0.246608781941163,0.126531807543107,0.077243995722025,0.109214207739819,0.290446778551231,0.525190591974979,0.294752798063007,0.105507146483254,0.0725662748900014,0.119992284518935,0.203399405968361
"[60,65)",0.175562331037558,0.154133915262783,0.108150456321023,0.0834182988152558,0.0976891231708591,0.161669106879088,0.232565040030692,0.197512708793905,0.106873291519266,0.066067132244497,0.093921426364328,0.256137566850947,0.476991713503629,0.26883523719091,0.100605805821194,0.0718406777541361,0.143826509813721
"[65,70)",0.106778302483753,0.119061523196559,0.0980794933477159,0.0636914680656673,0.0472985801434853,0.0600924519665744,0.114582458640486,0.177813144070281,0.152256355101857,0.0813878779928662,0.0508874917079763,0.0765885091372302,0.224570438889945,0.431611842885841,0.245139736074769,0.090870506415612,0.0807791853424777
"[70,75)",0.0582632325741964,0.0715319123137343,0.0725915155835114,0.0542682665840676,0.0349137174249806,0.0290138101461734,0.0430532936638556,0.0867821540119272,0.130871734361712,0.110441240241839,0.0615494020662797,0.0416428189304178,0.0664374556172169,0.193792634538433,0.358103067919328,0.195212376083333,0.057611153651407
"[75,80)",0.0334187201071188,0.0398616983530272,0.0431281827068598,0.0393296400357274,0.0302582436934404,0.0224905504118101,0.0215001337203137,0.0326956771348712,0.0627404808532879,0.0947511286896121,0.0862447901132666,0.0521767750677101,0.0359483522509656,0.0544333572670349,0.14791968305486,0.259012440953788,0.0829324310867854
"[80,Inf)",0.0276713050434271,0.0356041063100192,0.036811726642593,0.0353364130246426,0.0358502312935077,0.0366108328486129,0.0337560762626899,0.0301782750210668,0.0356393083273258,0.0618948917567355,0.107386928867331,0.129825926046538,0.105641691753538,0.0710279825915446,0.0640786022518531,0.121734095846579,0.167011145938909
