"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.46532340817456,0.740011720765949,0.168958529133147,0.0834714605870183,0.107136910262875,0.175852176605084,0.22649557594147,0.229343185381762,0.221157356535622,0.206032070781952,0.162678422799503,0.0992834074036824,0.0442387362297916,0.0134410502657791,0.00309627324101511,0.000935251364316947,0.00254409645916004
"[5,10)",0.638439754298032,4.9504850350814,0.613852090025877,0.093158897080652,0.108464814295298,0.228077617139212,0.372132140548391,0.380024742937999,0.348825526847665,0.379668264765313,0.372091533682936,0.229778824373689,0.0958760586061337,0.0384171785534185,0.0169924137720118,0.00830874798177056,0.00725462116107368
"[10,15)",0.125426190362839,0.53971752898484,7.45730458556895,0.684541632446584,0.148652733901131,0.160427932668424,0.278012580799183,0.360609132762927,0.345423554720497,0.360044971788022,0.388179036838481,0.254486064283172,0.0848033223972314,0.0245782529942456,0.0120300642272722,0.00921759820259885,0.00656965041802764
"[15,20)",0.0548688940923114,0.0714909871353831,0.613691645763083,6.28265475223391,0.559046082174302,0.146643200589831,0.133716935623515,0.192395129356241,0.236543979432668,0.24260732331781,0.22390797878646,0.140913167838895,0.0439800079680378,0.00914772809797111,0.0029638345213529,0.00252515865628971,0.00279545729063767
"[20,25)",0.0628926279231596,0.0743341299939409,0.117550752547221,0.501827365847564,2.17390185519734,0.342696604964583,0.106300722097135,0.0840789072797326,0.115188377492835,0.145879935165423,0.124556149286106,0.0650785712522455,0.0196827070554982,0.00415531947139334,0.00101987536235914,0.000635742938725061,0.000952677231478962
"[25,30)",0.0901271076721165,0.136467461922194,0.110759136613132,0.114335586199064,0.299646983335735,0.640186453112459,0.190654051599035,0.0581409005930278,0.0454755500735214,0.0674205875278533,0.0771859882306816,0.0435862661929666,0.0129647911855876,0.00315264657067698,0.00087828147273295,0.000412951047367219,0.000382462153500236
"[30,35)",0.0970100655017422,0.186077137673992,0.16040334192504,0.0871275086085406,0.0775590828343218,0.159438384913582,0.293381430191675,0.098104241169219,0.0328819637001382,0.0324609849412094,0.0516767221317641,0.0471367183769079,0.0178636817980212,0.00442579053288864,0.00124302931905301,0.000500569005856458,0.0002189623458543
"[35,40)",0.0786907360257783,0.152225848232251,0.1666734317219,0.100425417652649,0.0491432870520981,0.0389234955987002,0.0786384523062722,0.134435565320021,0.0536266161618606,0.0279603394562638,0.0352447142127586,0.0459183351980437,0.0264282208993808,0.00710855264636549,0.0015870132197308,0.000517048254489791,0.000171837617017089
"[40,45)",0.0597761351360064,0.110071139418099,0.125768036186558,0.0972635566775237,0.0530364538707584,0.0239826250083407,0.0207504305854383,0.042265298904965,0.0672828502389792,0.0409704216885838,0.0285757411720813,0.0269719991759014,0.0185894102524164,0.00660063731985678,0.00152502165178484,0.000457093466718441,0.000181778746997804
"[45,50)",0.0440123966853802,0.0946854505363902,0.103606935896579,0.0788416860758283,0.0530854041937256,0.0281012111337297,0.0161899239955356,0.0174078390859559,0.0323882241670557,0.0498346073602993,0.0337138356640407,0.0155326839632709,0.00714530561208062,0.00335606272370885,0.00138485429795718,0.000642965847487226,0.000349352054012456
"[50,55)",0.0283112863253991,0.0755993739162082,0.0910025612567595,0.059280386214125,0.0369261643175829,0.0262096023450264,0.0209974972458969,0.017876639199051,0.0183992750031783,0.02747020173874,0.0351943385178624,0.0166990239030745,0.00454888600841585,0.00191808782179005,0.00144596117282883,0.00130164537928078,0.000893226899715989
"[55,60)",0.0144708583167698,0.0390990659316556,0.0499658766665299,0.0312450340264014,0.0161582752985265,0.0123953729602714,0.01604057334303,0.0195058995967529,0.0145446847863257,0.0105980004237705,0.0139867341268416,0.0175793108646006,0.00771146258867741,0.00236222026327623,0.00136490032691229,0.00145553144395264,0.00136588596843905
"[60,65)",0.00526334751205203,0.0133170572565582,0.0135913967171073,0.00796024515247801,0.00398917912519382,0.00300965817978559,0.00496218821627708,0.00916409313269598,0.00818273531716389,0.00397960484507959,0.00310981631956431,0.00629523412911543,0.0110549498891798,0.00487296319902325,0.00120514807029924,0.000698961536436163,0.00103394876659831
"[65,70)",0.0011714803733474,0.00390900332053368,0.00288565701829548,0.00121290521988574,0.000616943803382129,0.000536129139438392,0.000900607569552184,0.0018056984640337,0.00212843915904506,0.00136927818675785,0.000960595727835199,0.00141255245616102,0.00356999831258716,0.00547791419634982,0.00154085076264541,0.0004257187195432,0.000594908136640779
"[70,75)",0.000174303960684639,0.00111676504626193,0.000912279279459015,0.000253824613956684,9.780351252141e-05,9.64703849912719e-05,0.000163377510536505,0.000260381876979617,0.00031762709609178,0.000364948739771723,0.000467729711835751,0.000527170738820118,0.000570228674716452,0.000995285192723462,0.00122695756079638,0.000460503370052859,0.000220514111485351
"[75,80)",2.87205082482937e-05,0.000297877786842806,0.000381305818649939,0.000117968008209885,3.3257124138158e-05,2.47431311273224e-05,3.58897680762871e-05,4.62761350388949e-05,5.1932872251982e-05,9.24296874861831e-05,0.000229681916241224,0.000306667494482668,0.000180408798743634,0.00014999773673444,0.000251213652248953,0.000103047026249389,1.55502158943226e-05
"[80,Inf)",4.45071109311561e-05,0.000148166264031464,0.000154821039790465,7.43978693177871e-05,2.8391019774306e-05,1.30549920193984e-05,8.94351404724813e-06,8.76145641171368e-06,1.17655570556561e-05,2.86100713240593e-05,8.97900007437274e-05,0.00016394291637006,0.000152032177837288,0.000119410887917452,6.85273978798962e-05,8.85869351660686e-06,9.50647857385735e-09
