"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.0074676633270402,0.0123657721760689,0.00932098705526424,0.00956434453191663,0.0190795491516791,0.0418074560694821,0.0695439333784875,0.0847205283632317,0.0875467657862154,0.082600608233061,0.063774182403034,0.0352456752906228,0.0145349134981794,0.00560124401247266,0.00248593580450867,0.00134825513002155,0.000965934115134538
"[5,10)",0.0108440719615674,0.0246826930247914,0.0192014937809606,0.0152972958308134,0.0324463013391174,0.062122187770289,0.0846370239855209,0.0902415100809538,0.0901477715908519,0.0885496710858178,0.0759061698099312,0.0497605967167932,0.0251794928500829,0.0115679610892817,0.00573060536220101,0.00338338445872931,0.00254543911402432
"[10,15)",0.0071359982339927,0.0167631910625549,0.050484987959271,0.0422459811418337,0.057980562972005,0.080248273360998,0.0890861416468471,0.0863839453286188,0.0849392346425147,0.0853984193005228,0.0763142073006037,0.054035271787327,0.0314655137663291,0.0173636806278501,0.00997556783174027,0.00633483494533568,0.00489434017411221
"[15,20)",0.00633771788098313,0.0115590250881262,0.0365653944416247,0.15469118996373,0.199775348608356,0.199163568347361,0.191100069768285,0.175777662722666,0.17056805467144,0.171335518515763,0.15232976638157,0.106633492985136,0.0631545346104363,0.0375587687227096,0.024564887242671,0.0171719879424078,0.0133290576556021
"[20,25)",0.0108087967476612,0.0209605796915095,0.0429041044253692,0.17079432980927,0.490282662508923,0.492841320242302,0.430763024951331,0.381135162156816,0.357924177210344,0.348409687772295,0.30089424425692,0.204184948635094,0.118034946803689,0.070595276722472,0.0497597764773293,0.0389381614774704,0.0325904698146093
"[25,30)",0.0199335681730993,0.0337758973163929,0.0499774589872001,0.143305715428584,0.414790855974742,0.674321887136858,0.618914281077914,0.528338706670021,0.475423463834669,0.443391634538712,0.370648952937728,0.246075550062947,0.139883732755509,0.0825448721291581,0.0592957431684818,0.0501843832045912,0.0486902482897376
"[30,35)",0.0274730531710555,0.0381273753896766,0.0459689937175917,0.113928093763813,0.300384038608673,0.512798653699279,0.617619263456459,0.542625315708596,0.466309171438471,0.417312400901486,0.339397947849093,0.222452953953919,0.125678035428498,0.0732616959076214,0.051960031268465,0.0450529973605666,0.0513950250643317
"[35,40)",0.0274170825017432,0.0333018060673632,0.0365151248182369,0.0858457062468025,0.21772202160879,0.358602826507404,0.444513503645462,0.49625178112847,0.43830084900718,0.381240359904366,0.304724301837388,0.197535845005323,0.110415732946529,0.0633093294042302,0.043975971292308,0.0380147034573363,0.0499351663928627
"[40,45)",0.0232071733636105,0.0272499673019322,0.0294101780808223,0.0682342064800239,0.167480378219914,0.264320865714276,0.312902059067744,0.359022666758378,0.39224882975365,0.353153005772597,0.279113539306245,0.177737971960301,0.0967390926948395,0.0539112933519078,0.0368533591026907,0.0322255108340079,0.0486667377460476
"[45,50)",0.0182161894843475,0.0222684552965315,0.0245997839520766,0.0570222043621306,0.135629846451183,0.205083386959474,0.23296351167781,0.259800855865642,0.293802209155295,0.31757898817916,0.259771458117947,0.16048615158863,0.0839295549520986,0.0452769250463864,0.0308982586737277,0.0281403235793515,0.0482043515434348
"[50,55)",0.0118999920497892,0.0161513080103563,0.0186000597806531,0.0428952157798781,0.0991074745931018,0.145055181092748,0.160310994245523,0.175701827656525,0.196471940995012,0.219795559352752,0.221427056814836,0.140397366291905,0.0707046530474522,0.0374701884040596,0.0259701992188172,0.024659010469733,0.0428120327420776
"[55,60)",0.00549937234272569,0.00885363714478274,0.0110126490784073,0.0251086425501843,0.0562369517600795,0.0805275433366819,0.0878613334873376,0.0952402705762743,0.104617748660758,0.113545666100153,0.117399021896373,0.0934073786705854,0.0492649125538091,0.0262870010460871,0.0184367136572075,0.0172041423661064,0.0248463066986705
"[60,65)",0.0017906405370712,0.00353729914431283,0.00506335011661357,0.0117414790827328,0.0256683130297958,0.0361436384752733,0.0391929242066902,0.0420333822090199,0.0449589158997207,0.0468852882954787,0.0466812185619191,0.0388979207695437,0.0276594473379253,0.0163754021811446,0.0109785826076461,0.00889201878779693,0.00874262699070473
"[65,70)",0.000500027399012859,0.00117759235792244,0.00202468874953243,0.00505991201501368,0.0111243773531564,0.0154549678121051,0.0165553589373535,0.0174640288254328,0.0181554459320826,0.0183278678152742,0.017926413695416,0.015039834684274,0.011866026779303,0.011808382177806,0.00807224992792402,0.00484580391962784,0.00285471261351524
"[70,75)",0.000148937391297008,0.000391510293643966,0.000780654073610316,0.00222101206320401,0.0052623897705891,0.00745085387434591,0.00788016953213044,0.00814135496338584,0.00832930513713313,0.00839408858384572,0.00833848866497493,0.00707929572493192,0.00533905195233667,0.00541750253936124,0.00524540668330693,0.00229555617969006,0.000836112100912708
"[75,80)",4.67391835602324e-05,0.000133748598687678,0.000286847794585349,0.00089836314001013,0.00238273223421572,0.00364876864769651,0.00395353014051655,0.0040721902914263,0.00421431225488852,0.00442347765256299,0.00458123862634051,0.00382238808675445,0.00250215063491109,0.00188176578537286,0.00132826011856254,0.000242746108805987,4.60459103049962e-05
"[80,Inf)",1.93657087095692e-05,5.81938986769134e-05,0.000128170244344299,0.000403280892805615,0.00115336633069204,0.00204737113338479,0.00260831053987699,0.00309356900839827,0.00368074716063682,0.00438225701950747,0.00459991670375621,0.00319257010534918,0.00142276076116531,0.000641119482753139,0.000279792820269608,2.66298005045602e-05,5.0136699613667e-08
