"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00330699347493651,0.00533650981670203,0.00399917538401149,0.00415508325614452,0.00834083035587751,0.0181890762841736,0.0300582334538651,0.0364424143520692,0.0375941023477369,0.035419897735572,0.0272872829886208,0.0150773782333479,0.00622414368114027,0.00240319658002772,0.00106614700248982,0.000575115611871132,0.000430086349972772
"[5,10)",0.00526383928186451,0.0120366503230485,0.00925341769658234,0.00753477452211868,0.0158442324751823,0.0300353639588239,0.0406716650783201,0.0432272787013503,0.0431765038231431,0.0423734772360359,0.0362487071254195,0.0237405408153879,0.0120202705807096,0.00553168725515334,0.00273939212744496,0.00161046755589655,0.00124010219972087
"[10,15)",0.00388267680393646,0.00910788732128716,0.0273811715217229,0.0233527369362443,0.0318414391374538,0.0437679220657227,0.0484023108227421,0.0468671056037428,0.0461249744923667,0.0463482715395641,0.0413263173348442,0.0292213829881673,0.0170209373367099,0.00940831695524099,0.00540526560352579,0.00341863751402754,0.00263984138547062
"[15,20)",0.00411763199029908,0.00756994547972385,0.0238366267255478,0.103139656585252,0.130699295569184,0.129544452938765,0.123947707547175,0.113919790296072,0.110617802550208,0.110986112375326,0.0983769870948559,0.068711119825499,0.0406677422346165,0.0242072068119384,0.0158404671151766,0.01103761198068,0.0084133240314125
"[20,25)",0.00864611552043529,0.0166508973547211,0.033997238611452,0.136715323183958,0.387457708155483,0.388687596795975,0.339533943719153,0.300336429123042,0.282185199614447,0.274346263944472,0.236209703653303,0.159972366295592,0.0924314300644239,0.0553388373508347,0.0390407848550025,0.0305159459394178,0.0251083221174505
"[25,30)",0.0189516135255392,0.0317265711247726,0.0469710950211024,0.136202967327136,0.390682972748981,0.629532302397483,0.577753275428602,0.493096668672739,0.443862426609132,0.413512831515937,0.344728690723306,0.228502191254794,0.129864014042661,0.0767182450608255,0.0551562666925779,0.0467186527457396,0.0462274896777817
"[30,35)",0.0304945274393811,0.0418316600049973,0.0505782455028738,0.126890513290825,0.33229966748314,0.562555433579887,0.676112014024418,0.593854104053868,0.510488991303215,0.456482043499226,0.370381779379217,0.242434503479069,0.136940617808104,0.0799112213744818,0.0567171390180192,0.0492876340843153,0.062228884406871
"[35,40)",0.0354385723078832,0.0426168811845852,0.046943602900518,0.11178935577796,0.281750920028263,0.460220115546407,0.569233411477286,0.635132587835391,0.561282240252172,0.487995097810959,0.389244049740877,0.251996157904274,0.140805150635226,0.0808035905268607,0.0561655018450263,0.0487074209793195,0.0796246979542277
"[40,45)",0.0353953348167453,0.0412124535039838,0.044730283815717,0.105095357815838,0.256300109281725,0.401087513146484,0.473755463970195,0.543423644191875,0.593618223145256,0.534334349780205,0.421422499893432,0.267947905420514,0.145737615250403,0.0812740536901725,0.0556102091806259,0.0488580067394015,0.103794715609335
"[45,50)",0.0331303438302554,0.040181619466055,0.044653077116427,0.104756138264038,0.247551718064473,0.371220613017319,0.420866040466521,0.469380478912428,0.530842185462242,0.573706546060688,0.468241718959948,0.288762899552397,0.150897096735316,0.081481572099873,0.0556989246125608,0.0510744835488102,0.131071517607496
"[50,55)",0.0256177650391357,0.0345007198370282,0.0399619671841897,0.0931980148438954,0.213927655838566,0.310615287231995,0.342745769096754,0.375780162536876,0.420215779790305,0.469972459113794,0.47236926873687,0.299065404536365,0.150547299129812,0.0799069878183964,0.05550889320686,0.0530987812770004,0.130855398715019
"[55,60)",0.013610380903518,0.0217264990005641,0.0271696738854176,0.0625898163656271,0.139308518329404,0.197969949390536,0.215715039293256,0.233921043998997,0.256902606728085,0.278680899630355,0.287560800590838,0.228145711320497,0.120388968382919,0.0643602316544452,0.0452235689896064,0.0424005861728478,0.0749699145317833
"[60,65)",0.00497052775705463,0.00973176985169953,0.0140005654468679,0.0327721668234827,0.0712083332487501,0.0995350799042723,0.107794529729005,0.115630488318144,0.123614167158231,0.128832412003096,0.128060419199162,0.106503808203857,0.0758141818017532,0.0449926696050761,0.0301605599471484,0.0243791359200343,0.024501277405189
"[65,70)",0.0015620141999131,0.00364508777490038,0.00629864061977819,0.0158771505116901,0.0346987608118975,0.0478584680891302,0.0511970567142747,0.0540078966466537,0.0561075488773827,0.0566208571885474,0.0553222069440358,0.0463413657598791,0.0366196803430827,0.0365719967795104,0.0249273320929914,0.0147869998918553,0.00765001902023026
"[70,75)",0.000529899541341207,0.00138033769686148,0.00276715000120039,0.00794468419615432,0.0187190260056323,0.0263109039537023,0.0277864019953566,0.0287062869287929,0.0293565270857438,0.0295967908538951,0.0293871911719892,0.0248998560770418,0.0187712398852083,0.0190614780197236,0.0182235733058221,0.00779091578750937,0.0022735191526567
"[75,80)",0.000217231157618954,0.000616699550098457,0.00133002321971647,0.00420701715739971,0.0111194178540137,0.0169364242045404,0.0183504397714988,0.0189187752778495,0.0196009174344071,0.0206249214567843,0.021363409716454,0.0177416648244251,0.011530877926907,0.00859312934588905,0.00592078125530573,0.00100520818247262,0.000142435973262905
"[80,Inf)",0.000233762419795442,0.000683331128176651,0.00147786947014052,0.00461443838768943,0.0131651248182991,0.0241148074374944,0.0333390020581279,0.0445038678454063,0.0599194713312899,0.0761638208543395,0.0757582156170305,0.0451400047939828,0.0166757305334848,0.00639714021157534,0.00248622940602983,0.000204961250867202,2.39556135576589e-07
