"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.4357423793105,0.718214222900037,0.162907157957954,0.080485122966538,0.103300307271712,0.169871081016264,0.218808819507657,0.221364988847953,0.213500501188727,0.199105362086174,0.157677742502526,0.096240021973567,0.0427794714656632,0.0129195644562823,0.00294338681769603,0.000895516774054921,0.00340858539425127
"[5,10)",0.629127407258771,4.94348874342671,0.607096309282886,0.0913286408808982,0.10614395846424,0.223547446813149,0.364874085701685,0.371921821980123,0.341639728917616,0.37165255762516,0.365320526923559,0.226057433892486,0.0939922824679456,0.0374882353836824,0.0164894990116856,0.00806674893626343,0.00800691869869747
"[10,15)",0.12406782486811,0.538526489809924,7.45142473333118,0.682701128634313,0.14709563398519,0.158736292006969,0.27556653656256,0.356640480277975,0.341511346069143,0.355752043402793,0.384124026860152,0.252770192483471,0.0839471452088525,0.0241939854555057,0.0118317729850911,0.00908157687074401,0.00618679470404157
"[15,20)",0.0540672577704322,0.0705018167997212,0.609957515521769,6.27495428651364,0.553393513761506,0.144241569731163,0.131993913822053,0.19004676804554,0.233147043760462,0.239070680892866,0.221093285661607,0.139534099107479,0.0434111474495654,0.00896339699696398,0.00290182751311392,0.00249847882641952,0.00260261221749679
"[20,25)",0.0609620941918687,0.0719826990569944,0.113982727626745,0.489169691790761,2.15095309115693,0.331533160130262,0.102609470007557,0.0816134020282739,0.111799439723785,0.141387354017803,0.121215187921226,0.0634263048606669,0.0191092886153259,0.00400183889128526,0.000976622977218186,0.000617570077482337,0.000901209816847536
"[25,30)",0.0875615780464329,0.132415378455491,0.107436378200825,0.110679155835575,0.290027765665926,0.624650177424219,0.183862769879047,0.0561273115252442,0.0440623167954264,0.0651550457363957,0.0749403985101415,0.0424854483174845,0.0125864872172222,0.00303923949306255,0.000840745110839006,0.000397797217061212,0.000358082617826997
"[30,35)",0.0982854737620405,0.18833980429316,0.16252942129646,0.0882591392346618,0.0781004781034045,0.160307240411266,0.29501589417471,0.0987727151880016,0.0332584122066042,0.0326852198697493,0.0520227914604326,0.0478909156909617,0.018150333232974,0.00446493547412819,0.0012435788435285,0.000500536875462271,0.00020278276876868
"[35,40)",0.0859577595936454,0.165959606760103,0.181839315737037,0.109854514916057,0.0537006288011824,0.0422820723015644,0.0854181512107178,0.144549787335455,0.058585881640479,0.0306012715519898,0.0382461478250079,0.0500922985458324,0.0289173306747297,0.00772979569217106,0.00170668168645471,0.000555585897779728,0.000168388529528381
"[40,45)",0.0691567744405873,0.127168275360241,0.145251948115673,0.1124208881415,0.0613644990228703,0.027689112092214,0.0239835147967563,0.048887417490623,0.0767236339068971,0.047480298934674,0.0330701000611513,0.0311328967268648,0.0214559899323144,0.00757505142652296,0.00173151090981777,0.000520271646132905,0.000191508117566992
"[45,50)",0.0503524543092091,0.108006376574715,0.118131601047818,0.0900005731310897,0.0605884706893235,0.0319662441788054,0.0184019813553489,0.019929711273825,0.0370774593391026,0.0564596867326007,0.038611830755614,0.0178040815852698,0.00818457552130403,0.00382496611408191,0.00156078643303014,0.000722544333684081,0.000367788276227996
"[50,55)",0.0294278243314438,0.0783495343185323,0.0941326387799902,0.061424917788726,0.0383342116424181,0.0271337381930773,0.0216150826811647,0.0183822770380693,0.0190540561291236,0.0285011349139214,0.0364816453796359,0.0173001552714411,0.00469337403441921,0.00197882591531823,0.00148864796108734,0.00133064305170855,0.000849406864592706
"[55,60)",0.0136111536674858,0.03673944570339,0.0469403238545656,0.0293765536811714,0.0152002373696669,0.011656959824533,0.0150788371979496,0.0182445867262951,0.0135932381122477,0.00995683044151799,0.0131117727681467,0.016514723906426,0.00718586654427406,0.0021915312113522,0.00127475194895764,0.00136498073777962,0.00120794750234594
"[60,65)",0.00475847921329485,0.0120143295551469,0.012260824960801,0.00718811962262992,0.00360179522020109,0.00271608384005501,0.00449461868044402,0.00828351779331576,0.00736792995419419,0.00359990661057689,0.0027972428136307,0.00565216229016367,0.00997651513022575,0.00436053491850573,0.00107161141994945,0.000630246675418227,0.000945372207094463
"[65,70)",0.00106839996562303,0.00356250574392794,0.00262708670404003,0.00110341756534583,0.000560773301517667,0.000487592242000533,0.00082200917879686,0.00164618201980846,0.00193390772321424,0.00125076550849511,0.000876810658298046,0.00128142864782983,0.00324210997093293,0.00498454421573038,0.00138553690659887,0.000386699312109334,0.000569914651809981
"[70,75)",0.000175870210345974,0.00113220999960078,0.000928273109002796,0.00025810582461309,9.88811744456631e-05,9.74574768958723e-05,0.000165422185830823,0.000262616081638673,0.000319399582865043,0.000368765884004955,0.000476594677594833,0.000538556663218722,0.000575638077114929,0.00100113492011915,0.00123112047568809,0.000464791033387429,0.00021117335854254
"[75,80)",3.52135330971643e-05,0.000364509624288451,0.000468897739028186,0.000146248970792183,4.11494332026895e-05,3.03461421348568e-05,4.38174845670986e-05,5.62614520231254e-05,6.3158266950955e-05,0.000112347312534866,0.000280355890601616,0.000379509957756223,0.000222799226115737,0.000183875253121315,0.000305884617213431,0.000120403058230207,1.59124272745165e-05
"[80,Inf)",0.000107446556087183,0.000290040284634382,0.000256073728572776,0.000122126259044755,4.81377703528713e-05,2.18981502707466e-05,1.42306539322439e-05,1.36695642918183e-05,1.86367284977975e-05,4.58435789004867e-05,0.000143465120103004,0.000269232297771539,0.000267909670152907,0.000217241178994158,0.000111407006714274,1.27561484444156e-05,1.16850370544631e-08
